	time	open	high	low	close	volume
0	2009-01-14	1.41	1.52	1.41	1.51	15400
1	2009-01-15	1.51	1.51	1.51	1.51	0
2	2009-01-16	1.52	1.52	1.5	1.5	7000
3	2009-01-19	1.41	1.41	1.41	1.41	10900
4	2009-01-20	1.41	1.41	1.41	1.41	0
5	2009-01-21	1.41	1.41	1.41	1.41	600
6	2009-01-22	1.41	1.42	1.41	1.42	10800
7	2009-01-23	1.41	1.44	1.41	1.43	3300
8	2009-02-02	1.41	1.41	1.41	1.41	500
9	2009-02-03	1.41	1.41	1.41	1.41	4300
10	2009-02-04	1.41	1.41	1.41	1.41	0
11	2009-02-05	1.41	1.41	1.41	1.41	0
12	2009-02-06	1.47	1.47	1.33	1.34	16500
13	2009-02-09	1.36	1.42	1.34	1.42	2800
14	2009-02-10	1.26	1.28	1.26	1.26	15200
15	2009-02-11	1.34	1.34	1.34	1.34	100
16	2009-02-12	1.25	1.31	1.25	1.25	8100
17	2009-02-13	1.26	1.26	1.24	1.26	7500
18	2009-02-16	1.33	1.33	1.33	1.33	100
19	2009-02-17	1.26	1.29	1.26	1.27	7000
20	2009-02-18	1.28	1.28	1.28	1.28	100
21	2009-02-19	1.27	1.27	1.26	1.26	6000
22	2009-02-20	1.24	1.27	1.24	1.26	6900
23	2009-02-23	1.26	1.26	1.24	1.25	6500
24	2009-02-24	1.25	1.25	1.23	1.24	9000
25	2009-02-25	1.24	1.24	1.24	1.24	3000
26	2009-02-26	1.24	1.26	1.24	1.26	4800
27	2009-02-27	1.27	1.27	1.27	1.27	4100
28	2009-03-02	1.27	1.28	1.27	1.27	7000
29	2009-03-03	1.27	1.27	1.27	1.27	1800
30	2009-03-04	1.28	1.28	1.26	1.26	6500
31	2009-03-05	1.27	1.27	1.27	1.27	3000
32	2009-03-06	1.33	1.33	1.28	1.28	3500
33	2009-03-09	1.33	1.33	1.3	1.3	1800
34	2009-03-10	1.3	1.3	1.3	1.3	0
35	2009-03-11	1.41	1.41	1.31	1.41	700
36	2009-03-12	1.36	1.36	1.36	1.36	500
37	2009-03-13	1.36	1.41	1.31	1.31	19400
38	2009-03-16	1.31	1.31	1.31	1.31	0
39	2009-03-17	1.39	1.39	1.39	1.39	100
40	2009-03-18	1.36	1.36	1.31	1.31	19700
41	2009-03-19	1.3	1.31	1.3	1.31	3500
42	2009-03-20	1.31	1.31	1.31	1.31	1000
43	2009-03-23	1.39	1.39	1.26	1.26	300
44	2009-03-24	1.3	1.35	1.3	1.35	3600
45	2009-03-25	1.34	1.34	1.31	1.32	4700
46	2009-03-26	1.32	1.32	1.32	1.32	100
47	2009-03-27	1.31	1.33	1.31	1.31	1400
48	2009-03-30	1.31	1.31	1.31	1.31	0
49	2009-03-31	1.31	1.31	1.31	1.31	0
50	2009-04-01	1.31	1.31	1.28	1.29	6000
51	2009-04-02	1.29	1.3	1.29	1.3	3000
52	2009-04-03	1.31	1.32	1.31	1.31	6800
53	2009-04-07	1.31	1.35	1.28	1.35	12200
54	2009-04-08	1.32	1.32	1.31	1.31	11000
55	2009-04-09	1.31	1.31	1.31	1.31	0
56	2009-04-10	1.31	1.32	1.3	1.32	18000
