time	open	high	low	close	volume
2006-11-28	17.0	19.15	16.76	17.72	70400
2006-11-29	18.91	19.39	17.96	19.27	45500
2006-11-30	19.51	20.23	19.39	19.75	5800
2006-12-01	20.35	20.35	19.89	20.06	6600
2006-12-04	19.15	20.35	18.91	20.06	13700
2006-12-05	19.39	19.39	17.72	17.72	9600
2006-12-06	17.48	17.48	16.69	16.69	6600
2006-12-07	16.28	16.52	15.06	16.52	13500
2006-12-08	15.8	17.0	15.8	16.88	14200
2006-12-11	17.96	17.96	17.36	17.96	11900
2006-12-12	19.39	19.39	18.55	18.55	8700
2006-12-13	19.15	19.15	18.55	18.67	8000
2006-12-14	18.67	19.27	18.67	19.15	43000
2006-12-15	19.15	19.15	18.67	18.67	75300
2006-12-18	19.13	19.15	18.67	18.67	18400
2006-12-19	19.15	19.63	19.15	18.67	30200
2006-12-20	19.75	20.59	19.63	20.59	72800
2006-12-21	20.11	20.71	20.09	20.11	156800
2006-12-22	18.39	20.11	18.39	19.63	8800
2006-12-25	19.15	20.35	18.79	20.35	13300
2006-12-26	20.35	20.59	20.11	20.59	26900
2006-12-27	22.38	22.38	21.07	22.14	12500
2006-12-28	22.38	23.34	22.02	22.14	24400
2006-12-29	24.83	24.83	23.94	24.83	31000
2007-01-02	27.15	27.15	27.15	24.83	2800
2007-01-03	29.85	29.85	29.85	29.85	7800
2007-01-04	32.82	32.82	32.82	32.82	18300
2007-01-05	35.91	36.1	32.8	32.87	21500
2007-01-08	31.22	35.91	31.22	33.52	96900
2007-01-09	35.55	36.87	33.52	35.58	53100
2007-01-10	37.11	37.11	35.91	35.91	22900
2007-01-11	36.63	37.11	35.91	35.91	13000
2007-01-12	32.87	36.63	32.87	33.52	67500
2007-01-15	39.19	39.19	39.02	39.02	104400
2007-01-16	43.07	43.07	39.0	39.02	35500
2007-01-17	39.02	39.02	35.84	35.84	33500
2007-01-18	35.91	36.27	33.52	36.27	99700
2007-01-19	31.89	36.39	31.89	34.71	16600
2007-01-22	33.76	35.91	33.04	34.71	97000
2007-01-23	34.95	35.43	33.76	34.59	65500
2007-01-24	31.46	34.47	31.46	31.46	27700
2007-01-25	29.93	31.6	28.58	29.21	78300
2007-01-26	29.93	33.4	29.93	33.4	54700
2007-01-29	33.28	34.02	32.8	34.02	56000
2007-01-30	35.19	36.87	34.95	36.87	97600
2007-01-31	39.26	39.98	39.26	39.86	61500
2007-02-01	40.94	43.09	38.3	38.3	13600
2007-02-02	40.22	40.22	36.17	37.59	7900
2007-02-05	36.39	36.39	34.71	35.91	22300
2007-02-06	34.98	35.91	33.04	34.0	39700
2007-02-07	34.02	34.71	33.52	34.0	30900
2007-02-08	34.71	34.71	32.32	33.28	18200
2007-02-09	33.76	36.63	33.52	34.71	29100
2007-02-12	35.91	38.3	35.91	36.15	36800
2007-02-13	37.11	38.3	37.11	37.11	30300
2007-02-14	37.85	39.5	37.85	39.5	48000
2007-02-15	40.7	42.42	39.86	42.42	39800
2007-02-26	46.04	46.04	45.97	46.04	42700
2007-02-27	50.61	50.61	49.8	50.27	24600
2007-02-28	55.3	55.3	50.27	50.51	24500
2007-03-01	50.27	51.47	46.28	46.28	40800
2007-03-02	45.49	45.49	42.81	46.28	44300
2007-03-05	43.57	47.81	43.09	47.52	102100
2007-03-06	50.63	50.71	41.9	41.9	70100
2007-03-07	47.4	50.27	42.85	47.88	67200
2007-03-08	48.36	49.08	47.88	48.84	40800
2007-03-09	49.08	50.27	49.08	49.08	55300
2007-03-12	49.8	51.71	49.08	49.08	30500
2007-03-13	51.47	51.47	45.73	45.73	18700
2007-03-14	44.53	46.2	42.66	45.73	75600
2007-03-15	44.29	45.49	41.9	45.49	30600
2007-03-16	44.29	48.93	44.29	48.93	17800
2007-03-19	45.49	50.04	44.77	48.6	41200
2007-03-20	47.88	48.84	42.45	47.38	24800
2007-03-21	47.88	47.88	46.68	46.92	4900
2007-03-22	47.88	49.08	45.97	46.68	5900
2007-03-23	46.68	46.68	45.49	45.49	7600
2007-03-26	46.2	46.2	41.9	45.49	4800
2007-03-27	41.18	41.18	38.78	45.49	10500
2007-03-28	37.11	43.57	37.11	43.57	14400
2007-03-29	45.01	45.01	43.09	43.81	12500
2007-03-30	39.91	44.77	39.91	43.81	13300
2007-04-02	44.29	44.29	39.5	39.5	4500
2007-04-03	41.9	41.9	38.3	40.1	5800
2007-04-04	39.86	43.09	39.79	42.85	8900
2007-04-05	41.18	41.9	41.18	41.18	2600
2007-04-06	41.3	42.85	41.23	42.49	23100
2007-04-09	42.49	43.07	40.7	42.9	9800
2007-04-10	41.9	42.97	41.9	41.92	9500
2007-04-11	41.42	42.37	41.39	42.13	4800
2007-04-12	41.9	42.61	40.94	41.2	5500
2007-04-13	41.9	41.9	41.42	41.78	23400
