time	open	high	low	close	volume
2011-01-11	4.08	4.08	4.08	4.08	20120
2011-01-12	3.88	3.88	3.88	3.88	2460
2011-01-13	3.71	3.71	3.71	3.71	2420
2011-01-14	3.55	3.55	3.55	3.55	1820
2011-01-17	3.47	3.55	3.39	3.55	9370
2011-01-18	3.47	3.47	3.39	3.39	36000
2011-01-19	3.26	3.39	3.26	3.39	16720
2011-01-20	3.47	3.47	3.22	3.35	22590
2011-01-21	3.39	3.39	3.26	3.35	6700
2011-01-24	3.26	3.26	3.18	3.18	6450
2011-01-25	3.26	3.26	3.1	3.1	2180
2011-01-26	3.18	3.22	3.18	3.22	6920
2011-01-27	3.35	3.35	3.26	3.26	3590
2011-01-28	3.26	3.39	3.26	3.39	770
2011-02-08	3.22	3.39	3.22	3.39	2990
2011-02-09	3.26	3.47	3.26	3.39	1120
2011-02-10	3.22	3.26	3.22	3.22	3670
2011-02-11	3.18	3.22	3.1	3.22	22600
2011-02-14	3.14	3.14	3.14	3.14	30
2011-02-15	3.14	3.14	3.02	3.14	6870
2011-02-16	3.06	3.06	3.02	3.02	2360
2011-02-17	3.02	3.02	2.94	3.02	1590
2011-02-18	3.02	3.02	2.98	3.02	8130
2011-02-21	2.98	2.98	2.9	2.98	4900
2011-02-22	2.86	2.86	2.86	2.86	4000
2011-02-23	2.94	2.98	2.82	2.94	10660
2011-02-24	2.86	2.94	2.82	2.94	520
2011-02-25	2.94	3.02	2.94	3.02	3020
2011-02-28	3.02	3.02	2.9	3.02	1110
2011-03-01	3.02	3.02	2.9	2.94	4110
2011-03-02	2.94	2.94	2.82	2.82	2600
2011-03-03	2.73	2.82	2.69	2.82	2110
2011-03-04	2.69	2.77	2.69	2.77	1600
2011-03-07	2.69	2.86	2.65	2.65	22150
2011-03-08	2.57	2.65	2.53	2.65	11570
2011-03-09	2.57	2.61	2.57	2.57	6690
2011-03-10	2.61	2.69	2.61	2.69	1270
2011-03-11	2.73	2.82	2.73	2.82	21510
2011-03-14	2.82	2.82	2.69	2.69	3010
2011-03-15	2.82	2.82	2.82	2.82	210
2011-03-16	2.82	2.9	2.82	2.9	530
2011-03-17	2.86	2.94	2.86	2.94	250
2011-03-18	2.94	2.94	2.94	2.94	40
2011-03-21	2.9	2.94	2.82	2.82	6430
2011-03-22	2.82	2.82	2.77	2.77	2150
2011-03-23	2.82	2.82	2.77	2.82	12280
2011-03-24	2.86	2.86	2.82	2.86	4330
2011-03-25	2.94	2.94	2.94	2.94	100
2011-03-28	2.94	2.94	2.82	2.94	1070
2011-03-29	2.82	2.82	2.82	2.82	8160
2011-03-30	2.77	2.82	2.73	2.82	4860
2011-03-31	2.82	2.82	2.77	2.82	3470
2011-04-01	2.82	2.82	2.69	2.69	17210
2011-04-04	2.82	2.82	2.82	2.82	7320
2011-04-05	2.82	2.86	2.82	2.82	2890
2011-04-06	2.9	2.9	2.9	2.9	1300
2011-04-07	2.9	2.9	2.86	2.9	9730
2011-04-08	2.9	2.9	2.9	2.9	5520
2011-04-13	2.86	2.86	2.86	2.86	7490
2011-04-14	2.86	2.94	2.86	2.94	1110
2011-04-15	2.94	2.94	2.94	2.94	10
2011-04-18	2.94	2.94	2.86	2.94	1000
2011-04-19	2.94	2.94	2.94	2.94	0
2011-04-20	2.94	2.94	2.94	2.94	0
2011-04-21	2.86	2.94	2.86	2.94	160
2011-04-22	2.94	2.94	2.86	2.86	1870
2011-04-25	2.98	2.98	2.86	2.94	30
2011-04-26	2.9	2.94	2.9	2.94	20
2011-04-27	2.94	2.94	2.9	2.9	5260
2011-04-28	2.94	2.94	2.94	2.94	200
2011-04-29	2.94	2.94	2.86	2.94	5520
2011-05-04	2.86	2.86	2.86	2.86	2000
2011-05-05	2.9	2.9	2.86	2.86	2040
2011-05-06	2.86	2.94	2.86	2.94	7940
2011-05-09	2.94	3.06	2.94	3.06	1720
2011-05-10	3.18	3.18	3.18	3.18	14660
2011-05-11	3.26	3.26	3.18	3.26	15340
2011-05-12	3.26	3.26	3.26	3.26	11350
2011-05-13	3.26	3.26	3.22	3.26	4680
2011-05-16	3.35	3.35	3.26	3.26	18050
2011-05-17	3.26	3.26	3.1	3.1	4090
2011-05-18	3.22	3.22	3.18	3.22	17830
2011-05-19	3.3	3.3	3.18	3.18	9320
2011-05-20	3.09	3.23	3.09	3.14	2970
2011-05-23	3.23	3.28	3.09	3.23	4490
2011-05-24	3.09	3.18	3.09	3.09	13620
2011-05-25	2.95	2.95	2.95	2.95	5650
2011-05-26	2.81	3.09	2.81	3.09	910
2011-05-27	3.23	3.23	3.14	3.18	11120
2011-05-30	3.23	3.23	3.14	3.14	4140
2011-05-31	3.0	3.14	3.0	3.14	15150
2011-06-01	3.04	3.18	3.04	3.18	2470
2011-06-02	3.18	3.18	3.18	3.18	1670
2011-06-03	3.28	3.28	3.04	3.18	18320
2011-06-06	3.23	3.23	3.18	3.23	3640
2011-06-07	3.23	3.23	3.23	3.23	300
2011-06-08	3.23	3.23	3.23	3.23	0
2011-06-09	3.18	3.23	3.14	3.14	1800
2011-06-10	3.14	3.23	3.14	3.18	6600
2011-06-13	3.23	3.23	3.18	3.18	6830
2011-06-14	3.23	3.23	3.23	3.23	5100
2011-06-15	3.23	3.23	3.14	3.14	12500
2011-06-16	3.14	3.23	3.14	3.23	3010
2011-06-17	3.23	3.23	3.14	3.18	4660
2011-06-20	3.18	3.28	3.18	3.28	5100
2011-06-21	3.28	3.32	3.28	3.32	5400
2011-06-22	3.28	3.32	3.28	3.28	18800
2011-06-23	3.32	3.32	3.28	3.28	15750
2011-06-24	3.32	3.32	3.32	3.32	3670
2011-06-27	3.42	3.46	3.42	3.46	16830
2011-06-28	3.46	3.46	3.46	3.46	25960
2011-06-29	3.46	3.51	3.32	3.51	2630
2011-06-30	3.42	3.46	3.42	3.46	2300
2011-07-01	3.51	3.51	3.42	3.42	1710
2011-07-04	3.42	3.42	3.37	3.42	4000
2011-07-05	3.42	3.42	3.42	3.42	0
2011-07-06	3.42	3.42	3.37	3.37	2230
2011-07-07	3.32	3.46	3.28	3.28	3010
2011-07-08	3.37	3.37	3.37	3.37	10
2011-07-11	3.37	3.42	3.37	3.42	2050
2011-07-12	3.28	3.28	3.28	3.28	2090
2011-07-13	3.37	3.37	3.37	3.37	20
2011-07-14	3.37	3.37	3.37	3.37	0
2011-07-15	3.37	3.37	3.23	3.23	1110
2011-07-18	3.23	3.23	3.18	3.18	2720
2011-07-19	3.28	3.28	3.28	3.28	50
2011-07-20	3.37	3.37	3.37	3.37	1210
2011-07-21	3.37	3.37	3.37	3.37	0
2011-07-22	3.37	3.37	3.32	3.32	1020
2011-07-25	3.32	3.32	3.32	3.32	0
2011-07-26	3.23	3.37	3.23	3.37	20
2011-07-27	3.37	3.37	3.37	3.37	1500
2011-07-28	3.37	3.37	3.37	3.37	0
2011-07-29	3.37	3.37	3.37	3.37	1070
2011-08-01	3.32	3.32	3.32	3.32	80
2011-08-02	3.28	3.28	3.28	3.28	5000
2011-08-03	3.23	3.23	3.23	3.23	90
2011-08-04	3.23	3.23	3.23	3.23	2000
2011-08-05	3.23	3.23	3.23	3.23	50
2011-08-08	3.28	3.28	3.28	3.28	10
2011-08-09	3.14	3.14	3.14	3.14	1020
2011-08-10	3.04	3.18	3.04	3.18	1070
2011-08-11	3.18	3.18	3.18	3.18	300
2011-08-12	3.18	3.18	3.18	3.18	0
2011-08-15	3.18	3.18	3.04	3.04	10000
2011-08-16	3.14	3.14	3.14	3.14	850
2011-08-17	3.28	3.28	3.28	3.28	10
2011-08-18	3.28	3.28	3.28	3.28	0
2011-08-19	3.28	3.28	3.28	3.28	0
2011-08-22	3.28	3.32	3.28	3.32	4000
2011-08-23	3.37	3.37	3.32	3.32	18900
2011-08-24	3.32	3.32	3.32	3.32	1000
2011-08-25	3.28	3.32	3.28	3.32	6000
2011-08-26	3.32	3.42	3.32	3.42	1210
2011-08-29	3.51	3.51	3.32	3.32	260
2011-08-30	3.42	3.42	3.32	3.32	9940
2011-08-31	3.42	3.42	3.42	3.42	20
2011-09-01	3.42	3.42	3.28	3.37	1760
2011-09-05	3.37	3.37	3.37	3.37	0
