time	open	high	low	close	volume
2007-11-05	21.67	21.67	21.01	21.01	3379950
2007-11-06	20.01	20.01	20.01	20.01	572750
2007-11-07	19.02	20.34	19.02	19.57	2758160
2007-11-08	19.46	19.68	19.02	19.13	1424890
2007-11-09	18.35	18.68	18.35	18.57	2272600
2007-11-12	18.57	18.91	18.35	18.79	1667190
2007-11-13	18.79	18.91	18.35	18.68	2910860
2007-11-14	18.79	19.57	18.68	19.57	2139660
2007-11-15	19.24	19.35	18.79	18.79	1016050
2007-11-16	18.46	18.68	18.35	18.46	855700
2007-11-19	18.46	18.57	18.24	18.24	887740
2007-11-20	17.8	17.91	17.8	17.8	1203340
2007-11-21	17.47	17.69	17.47	17.69	1338580
2007-11-22	17.8	18.02	17.69	17.69	900600
2007-11-23	17.69	17.8	17.47	17.47	588830
2007-11-26	17.47	17.69	17.47	17.47	528680
2007-11-27	17.69	17.69	17.47	17.47	615750
2007-11-28	17.47	17.58	17.25	17.25	667720
2007-11-29	17.25	17.25	17.03	17.03	834760
2007-11-30	16.8	17.14	16.8	17.14	848210
2007-12-03	17.47	17.47	17.36	17.47	630220
2007-12-04	17.58	17.69	17.47	17.58	796420
2007-12-05	17.58	17.58	17.25	17.36	973250
2007-12-06	17.25	17.36	17.25	17.36	456540
2007-12-07	17.25	17.36	17.14	17.25	377460
2007-12-10	16.8	17.03	16.58	16.58	852870
2007-12-11	16.03	16.58	15.81	16.14	1485050
2007-12-12	16.14	16.69	16.14	16.47	581180
2007-12-13	16.47	16.58	16.25	16.25	427130
2007-12-14	16.25	16.25	16.14	16.14	492400
2007-12-17	16.03	16.03	15.59	15.59	384540
2007-12-18	15.7	16.14	15.59	16.14	1043170
2007-12-19	16.47	16.92	16.36	16.8	948480
2007-12-20	16.8	16.8	16.25	16.25	524070
2007-12-21	16.25	16.36	16.25	16.36	425260
2007-12-24	16.14	16.36	16.03	16.25	532460
2007-12-25	16.03	16.14	15.92	16.03	552150
2007-12-26	16.03	16.03	15.92	16.03	537030
2007-12-27	16.03	16.14	16.03	16.03	389360
2007-12-28	16.03	16.36	15.92	16.36	539370
2008-01-02	16.36	16.36	16.25	16.36	700320
2008-01-03	16.14	16.25	16.03	16.03	336450
2008-01-04	15.92	16.14	15.92	15.92	277810
2008-01-07	15.92	15.92	15.48	15.48	650020
2008-01-08	15.7	15.92	15.7	15.7	630360
2008-01-09	15.59	15.81	15.48	15.48	678580
2008-01-10	15.26	15.37	14.93	15.04	789140
2008-01-11	15.26	15.37	15.15	15.15	706860
2008-01-14	15.26	15.26	14.7	14.7	567450
2008-01-15	14.26	14.37	14.04	14.04	1022110
2008-01-16	14.7	14.7	14.48	14.7	1056830
2008-01-17	14.7	14.7	14.15	14.37	830310
2008-01-18	14.37	14.7	14.26	14.59	337570
2008-01-21	14.37	14.48	14.26	14.26	248090
2008-01-22	13.93	14.04	13.82	13.93	482620
2008-01-23	13.71	13.71	13.27	13.38	911760
2008-01-24	13.6	13.71	13.38	13.38	1071270
2008-01-25	13.38	13.71	13.27	13.49	742600
2008-01-28	13.38	13.71	13.38	13.71	678990
2008-01-29	13.82	14.37	13.71	14.37	1132100
2008-01-30	15.04	15.04	14.81	15.04	1473030
2008-01-31	14.81	14.93	14.37	14.93	1554860
2008-02-01	15.04	15.15	14.93	15.15	1169310
2008-02-12	15.15	15.15	14.81	14.81	735250
2008-02-13	14.81	14.81	14.37	14.59	676590
2008-02-14	14.7	14.93	14.59	14.59	1001960
2008-02-15	14.59	14.59	14.37	14.37	490090
2008-02-18	13.82	13.93	13.71	13.71	1300970
2008-02-19	13.49	13.82	13.49	13.71	1054750
2008-02-20	13.71	13.71	13.05	13.05	1099330
2008-02-21	12.49	12.6	12.49	12.49	1570450
2008-02-22	11.94	12.6	11.94	12.49	1917560
2008-02-25	12.82	13.05	12.71	13.05	986860
2008-02-26	12.94	12.94	12.49	12.49	1462260
2008-02-27	12.38	12.82	12.38	12.6	776840
2008-02-28	12.6	12.82	12.49	12.6	966770
2008-02-29	12.6	12.71	12.27	12.38	932430
2008-03-03	12.16	12.27	11.83	11.83	1488990
2008-03-04	11.28	11.39	11.28	11.28	1176050
2008-03-05	10.72	11.06	10.72	10.95	1943170
2008-03-06	11.39	11.39	11.39	11.39	310750
2008-03-07	11.94	11.94	11.94	11.94	66930
2008-03-10	12.49	12.49	12.27	12.49	2740580
2008-03-11	12.16	12.38	12.05	12.27	2036820
2008-03-12	12.38	12.82	12.38	12.6	1467140
2008-03-13	12.82	12.82	12.49	12.71	1035140
2008-03-14	12.6	12.82	12.49	12.71	957150
2008-03-17	12.38	12.49	12.16	12.16	1642900
2008-03-18	11.61	11.61	11.61	11.61	1194890
2008-03-19	11.5	11.83	11.17	11.28	2308980
2008-03-20	11.28	11.61	11.28	11.28	1277620
2008-03-21	11.28	11.39	11.06	11.06	1526440
2008-03-24	10.83	10.95	10.5	10.5	1436350
2008-03-25	9.99	10.06	9.99	9.99	1325860
2008-03-26	10.33	10.48	10.28	10.48	1483350
2008-03-27	10.57	10.57	10.57	10.57	38890
2008-03-28	10.66	10.66	10.66	10.66	26910
2008-03-31	10.75	10.75	10.75	10.75	25470
2008-04-01	10.83	10.83	10.83	10.83	26040
2008-04-02	10.92	10.92	10.92	10.92	720
2008-04-03	11.01	11.01	11.01	11.01	10830
2008-04-04	11.06	11.06	11.06	11.06	18410
2008-04-07	11.28	11.28	11.28	11.28	24750
2008-04-08	11.5	11.5	11.17	11.5	2428410
2008-04-09	11.72	11.72	11.61	11.72	911220
2008-04-10	11.72	11.72	11.5	11.5	1612540
2008-04-11	11.28	11.39	11.28	11.28	1438140
2008-04-16	11.06	11.28	11.06	11.28	1166460
2008-04-17	11.28	11.5	11.28	11.5	715050
2008-04-18	11.72	11.72	11.5	11.72	1785770
2008-04-21	11.83	11.83	11.61	11.72	789080
2008-04-22	11.61	11.72	11.49	11.61	954070
2008-04-23	11.38	11.49	11.38	11.38	1064470
2008-04-24	11.49	11.61	11.38	11.61	765670
2008-04-25	11.72	11.72	11.49	11.61	613620
2008-04-28	11.72	11.83	11.61	11.83	1022100
2008-04-29	12.06	12.06	11.83	12.06	1279060
2008-05-05	11.94	12.06	11.83	11.83	536630
2008-05-06	11.72	11.83	11.61	11.72	586880
2008-05-07	11.61	11.72	11.61	11.72	887940
2008-05-08	11.61	11.72	11.49	11.61	835170
2008-05-09	11.38	11.49	11.38	11.38	1195210
2008-05-12	11.16	11.25	11.16	11.16	1206960
2008-05-13	10.95	10.95	10.95	10.95	230630
2008-05-14	10.75	10.75	10.75	10.75	163910
2008-05-15	10.55	10.55	10.55	10.55	111400
2008-05-16	10.37	10.75	10.34	10.34	2270960
2008-05-19	10.25	10.48	10.19	10.37	779980
2008-05-20	10.16	10.32	10.16	10.16	551250
2008-05-21	9.96	9.96	9.96	9.96	429010
2008-05-22	9.78	9.78	9.78	9.78	483300
2008-05-23	9.6	9.6	9.6	9.6	159700
2008-05-26	9.42	9.42	9.42	9.42	104980
2008-05-30	9.24	9.24	9.24	9.24	65020
2008-06-02	9.06	9.06	9.06	9.06	20860
2008-06-03	8.88	8.88	8.88	8.88	12780
2008-06-04	8.72	8.72	8.72	8.72	12210
2008-06-05	8.56	8.56	8.56	8.56	17660
2008-06-06	8.41	8.41	8.41	8.41	25330
2008-06-09	8.25	8.25	8.25	8.25	9110
2008-06-10	8.09	8.09	8.09	8.09	65750
2008-06-11	7.93	8.25	7.93	8.0	1899000
2008-06-12	8.0	8.16	8.0	8.16	520940
2008-06-13	8.32	8.32	8.32	8.32	309190
2008-06-16	8.47	8.47	8.47	8.47	51750
2008-06-17	8.63	8.63	8.63	8.63	30130
2008-06-18	8.79	8.79	8.47	8.63	2813320
2008-06-19	8.38	8.45	8.38	8.38	935160
2008-06-20	8.14	8.38	8.14	8.14	688760
2008-06-23	8.36	8.36	8.36	8.36	107670
2008-06-24	8.61	8.61	8.61	8.61	39740
2008-06-25	8.86	8.86	8.86	8.86	86480
2008-06-26	9.1	9.1	8.86	9.1	2300550
2008-06-27	9.1	9.38	9.06	9.38	855020
2008-06-30	9.65	9.65	9.65	9.65	113990
2008-07-01	9.92	9.92	9.92	9.92	50980
2008-07-02	10.21	10.21	10.21	10.21	164770
2008-07-03	10.5	10.5	10.5	10.5	57220
2008-07-04	10.79	10.79	10.79	10.79	203170
2008-07-07	11.11	11.11	10.79	11.04	2684390
2008-07-08	10.89	11.27	10.84	11.27	1849480
2008-07-09	11.61	11.61	11.38	11.61	1831960
2008-07-10	11.94	11.94	11.94	11.94	335630
2008-07-11	12.28	12.28	12.28	12.28	192780
2008-07-14	12.62	12.62	12.62	12.62	206790
2008-07-15	12.96	12.96	12.96	12.96	65550
2008-07-16	13.3	13.3	12.96	13.3	3128060
2008-07-17	13.63	13.63	13.63	13.63	739010
2008-07-18	13.3	13.97	13.3	13.3	4523280
2008-07-21	12.96	12.96	12.96	12.96	488970
2008-07-22	12.62	12.62	12.62	12.62	169680
2008-07-23	12.28	12.28	12.28	12.28	317640
2008-07-24	11.94	12.62	11.94	11.94	4694090
2008-07-25	11.83	12.06	11.61	11.72	1249960
