time	open	high	low	close	volume
2007-11-30	11.76	12.23	11.53	11.65	456960
2007-12-03	11.29	11.41	11.18	11.29	186050
2007-12-04	11.29	11.41	11.18	11.18	126880
2007-12-05	11.12	11.12	10.94	11.0	75740
2007-12-06	10.7	10.82	10.7	10.7	119550
2007-12-07	10.59	10.94	10.59	10.82	91490
2007-12-10	10.7	10.7	10.47	10.53	112090
2007-12-11	10.29	10.35	10.12	10.12	59930
2007-12-12	10.0	10.47	9.94	10.29	58290
2007-12-13	10.23	10.23	9.94	9.94	64800
2007-12-14	9.82	9.88	9.65	9.65	89610
2007-12-17	9.41	9.47	9.23	9.23	125770
2007-12-18	9.23	9.53	9.23	9.53	35090
2007-12-19	9.76	10.0	9.76	10.0	78920
2007-12-20	10.12	10.12	9.65	9.76	85820
2007-12-21	9.71	9.94	9.71	9.88	55120
2007-12-24	9.88	9.88	9.82	9.82	40280
2007-12-25	9.71	9.82	9.71	9.76	53110
2007-12-26	9.76	9.88	9.76	9.88	40630
2007-12-27	9.88	10.0	9.88	9.94	111370
2007-12-28	10.0	10.06	9.94	10.0	112470
2008-01-02	10.18	10.23	10.12	10.12	143780
2008-01-03	10.23	10.23	10.12	10.12	95550
2008-01-04	10.12	10.12	10.0	10.0	28890
2008-01-07	9.76	9.88	9.59	9.88	78990
2008-01-08	10.0	10.0	9.76	9.76	41550
2008-01-09	9.65	9.65	9.47	9.47	81550
2008-01-10	9.35	9.41	9.29	9.41	127650
2008-01-11	9.41	9.53	9.41	9.53	57180
2008-01-14	9.41	9.47	9.29	9.29	96000
2008-01-15	9.06	9.18	8.88	8.88	127900
2008-01-16	9.18	9.29	9.18	9.29	94060
2008-01-17	9.29	9.41	9.0	9.18	89260
2008-01-18	9.06	9.35	9.06	9.35	25160
2008-01-21	9.18	9.29	9.12	9.18	60070
2008-01-22	8.94	9.06	8.94	9.0	83220
2008-01-23	8.82	8.82	8.71	8.71	92950
2008-01-24	9.06	9.06	8.41	8.41	50870
2008-01-25	8.41	8.53	8.47	8.47	104950
2008-01-28	8.47	8.47	8.41	8.47	58900
2008-01-29	8.76	8.88	8.65	8.88	88620
2008-01-30	9.29	9.29	9.29	9.29	148960
2008-01-31	9.23	9.29	9.06	9.23	77760
2008-02-01	9.59	9.65	9.41	9.65	166430
2008-02-12	9.71	9.71	9.29	9.35	41900
2008-02-13	9.29	9.29	9.11	9.17	55420
2008-02-14	9.41	9.41	9.17	9.17	49930
2008-02-15	9.17	9.17	8.99	9.17	30520
2008-02-18	8.75	8.99	8.75	8.81	112410
2008-02-19	8.75	8.87	8.63	8.75	72890
2008-02-20	8.63	8.63	8.33	8.33	100940
2008-02-21	7.97	7.97	7.97	7.97	65980
2008-02-22	7.61	8.03	7.61	8.03	87280
2008-02-25	8.03	8.39	8.03	8.39	81970
2008-02-26	7.97	8.09	7.97	7.97	46980
2008-02-27	7.79	8.15	7.61	7.61	107110
2008-02-28	7.61	7.73	7.55	7.61	58690
2008-02-29	7.49	7.55	7.25	7.31	70030
2008-03-03	7.01	7.07	6.95	6.95	94230
2008-03-04	6.65	6.65	6.65	6.65	77860
2008-03-05	6.35	6.35	6.35	6.35	46450
2008-03-06	6.65	6.65	6.65	6.65	36390
2008-03-07	6.95	6.95	6.95	6.95	2450
2008-03-10	7.25	7.25	6.83	6.95	321290
