time	open	high	low	close	volume
2006-12-29	3.03	3.03	3.03	3.03	45520
2007-01-02	3.12	3.12	2.88	2.88	76340
2007-01-03	2.74	2.87	2.74	2.87	117380
2007-01-04	3.01	3.01	3.01	3.01	46370
2007-01-05	3.15	3.15	3.15	3.15	143090
2007-01-08	3.17	3.17	3.12	3.12	96590
2007-01-09	3.12	3.12	3.09	3.09	69130
2007-01-10	3.09	3.09	3.01	3.01	57710
2007-01-11	2.87	2.87	2.87	2.87	68260
2007-01-12	2.87	2.87	2.87	2.87	118950
2007-01-15	2.99	3.01	2.99	3.01	103090
2007-01-16	3.12	3.12	3.03	3.03	118640
2007-01-17	3.17	3.17	3.09	3.15	250760
2007-01-18	3.28	3.28	3.28	3.28	128360
2007-01-19	3.44	3.44	3.44	3.44	20170
2007-01-22	3.6	3.6	3.47	3.47	210930
2007-01-23	3.63	3.63	3.63	3.63	93310
2007-01-24	3.79	3.79	3.79	3.79	69680
2007-01-25	3.95	3.95	3.95	3.95	183980
2007-01-26	4.14	4.14	3.95	3.95	223120
2007-01-29	4.14	4.14	4.14	4.14	84300
2007-01-30	4.33	4.33	4.33	4.33	30370
2007-01-31	4.52	4.52	4.52	4.52	43200
2007-02-01	4.75	4.75	4.75	4.75	150900
2007-02-02	4.78	4.78	4.78	4.78	109490
2007-02-05	5.0	5.0	5.0	5.0	119920
2007-02-06	5.07	5.22	5.07	5.22	89790
2007-02-07	5.48	5.48	5.48	5.48	69260
2007-02-08	5.73	5.73	5.73	5.73	48440
2007-02-09	5.73	5.73	5.45	5.45	87630
2007-02-12	5.7	5.7	5.7	5.7	40530
2007-02-13	5.96	5.96	5.89	5.89	72030
2007-02-14	6.12	6.18	6.12	6.18	63570
2007-02-15	6.47	6.47	6.47	6.47	23280
2007-02-26	6.69	6.79	6.69	6.79	5720
2007-02-27	7.1	7.1	7.1	7.1	2480
2007-02-28	7.45	7.45	6.85	7.36	121260
2007-03-01	7.71	7.71	7.36	7.49	86930
2007-03-02	7.49	7.49	7.33	7.33	88360
2007-03-05	7.68	7.68	7.33	7.33	145320
2007-03-06	7.33	7.33	7.01	7.01	82880
2007-03-07	6.69	6.69	6.69	6.69	107770
2007-03-08	7.01	7.01	7.01	7.01	38360
2007-03-09	7.36	7.36	7.23	7.23	108760
2007-03-12	7.58	7.58	7.23	7.23	119500
2007-03-13	6.88	7.33	6.88	7.33	96390
2007-03-14	7.26	7.26	6.98	6.98	24450
2007-03-15	6.69	6.69	6.69	6.69	98750
2007-03-16	7.01	7.01	7.01	7.01	55160
2007-03-19	7.33	7.33	7.01	7.01	73930
2007-03-20	6.69	7.01	6.69	7.01	80300
2007-03-21	7.01	7.01	6.85	6.94	35330
2007-03-22	6.63	6.63	6.63	6.63	34610
2007-03-23	6.37	6.37	6.37	6.37	86420
2007-03-26	6.37	6.37	6.37	6.37	89630
2007-03-27	6.37	6.37	6.21	6.21	102060
2007-03-28	5.93	6.05	5.93	6.05	51140
2007-03-29	6.31	6.34	6.31	6.34	23920
2007-03-30	6.63	6.63	6.63	6.63	88620
2007-04-02	6.63	6.63	6.34	6.56	52120
2007-04-03	6.34	6.34	6.24	6.34	36100
2007-04-04	6.34	6.37	6.34	6.37	26200
2007-04-05	6.21	6.37	6.21	6.37	49130
2007-04-06	6.18	6.18	6.12	6.12	28130
2007-04-09	6.18	6.4	6.18	6.4	45140
2007-04-10	6.37	6.37	6.34	6.34	23050
2007-04-11	6.24	6.24	6.21	6.21	23740
2007-04-12	6.18	6.18	6.05	6.05	32530
2007-04-13	6.05	6.05	5.99	5.99	26670
2007-04-16	6.05	6.05	5.89	5.89	67460
2007-04-17	5.77	5.83	5.77	5.83	31710
2007-04-18	5.93	6.12	5.93	6.12	58150
2007-04-19	6.4	6.4	6.21	6.21	164580
2007-04-20	6.21	6.21	6.21	6.21	65720
2007-04-23	6.21	6.21	6.05	6.05	53720
2007-04-24	5.77	5.77	5.77	5.77	52260
2007-04-25	5.89	5.99	5.89	5.99	41900
2007-05-02	6.05	6.05	6.05	6.05	97710
2007-05-03	6.11	6.15	6.02	6.15	68610
2007-05-04	6.15	6.15	5.93	5.93	18580
2007-05-07	5.84	5.93	5.84	5.93	42520
2007-05-08	6.06	6.2	6.06	6.2	78040
2007-05-09	6.29	6.29	6.06	6.06	70180
2007-05-10	6.06	6.06	5.93	5.93	23540
2007-05-11	5.93	6.06	5.93	6.06	22660
2007-05-14	6.2	6.2	6.15	6.2	46260
2007-05-15	6.2	6.2	6.06	6.06	24300
2007-05-16	6.02	6.02	5.97	5.97	14820
2007-05-17	5.97	5.97	5.93	5.97	24250
2007-05-18	5.97	5.97	5.97	5.97	26280
2007-05-21	5.97	5.97	5.97	5.97	23910
2007-05-22	6.06	6.06	6.06	6.06	39300
2007-05-23	6.29	6.29	6.2	6.2	77370
2007-05-24	6.2	6.2	6.2	6.2	29300
2007-05-25	5.93	6.15	5.93	6.15	18590
2007-05-28	6.11	6.15	6.06	6.06	26680
2007-05-29	6.02	6.02	5.97	5.97	17880
2007-05-30	5.97	6.06	5.97	6.06	29140
2007-05-31	6.06	6.06	6.02	6.02	24150
2007-06-01	6.02	6.02	5.97	5.97	23510
2007-06-04	5.97	5.97	5.97	5.97	16010
2007-06-05	5.93	5.93	5.93	5.93	21930
2007-06-06	5.66	5.84	5.66	5.84	22180
2007-06-07	5.84	6.11	5.84	6.06	72360
2007-06-08	6.06	6.06	5.97	5.97	43430
2007-06-11	5.84	5.97	5.84	5.97	30230
2007-06-12	5.88	5.88	5.88	5.88	19330
2007-06-13	5.88	5.88	5.88	5.88	22300
2007-06-14	5.93	5.93	5.88	5.88	28570
2007-06-15	5.93	5.93	5.84	5.84	14780
2007-06-18	5.88	5.88	5.88	5.88	25830
2007-06-19	5.93	5.97	5.93	5.93	76970
2007-06-20	5.88	6.06	5.88	6.02	75180
2007-06-21	6.02	6.02	5.93	5.93	37820
2007-06-22	5.79	5.84	5.79	5.84	13190
2007-06-25	5.93	5.93	5.84	5.88	28670
2007-06-26	6.06	6.06	6.02	6.02	62270
2007-06-27	6.02	6.02	5.93	5.93	22820
2007-06-28	5.93	5.93	5.88	5.88	9910
2007-06-29	5.84	5.84	5.84	5.84	19200
2007-07-02	5.84	5.84	5.66	5.66	19910
2007-07-03	5.44	5.52	5.44	5.52	18610
2007-07-04	5.52	5.79	5.52	5.79	44440
2007-07-05	5.79	5.79	5.61	5.61	9250
2007-07-06	5.57	5.61	5.57	5.61	27860
2007-07-09	5.61	5.61	5.61	5.61	34970
2007-07-10	5.66	5.75	5.66	5.75	14070
2007-07-11	5.75	5.75	5.66	5.66	26110
2007-07-12	5.66	5.66	5.61	5.61	15400
2007-07-13	5.61	5.61	5.57	5.61	16980
2007-07-16	5.57	5.57	5.39	5.39	30150
2007-07-17	5.48	5.57	5.48	5.57	19950
2007-07-18	5.57	5.57	5.57	5.57	22670
2007-07-19	5.48	5.52	5.48	5.52	22470
2007-07-20	5.52	5.52	5.48	5.48	30820
2007-07-23	5.52	5.57	5.52	5.57	20970
2007-07-24	5.52	5.52	5.52	5.52	19000
2007-07-25	5.52	5.52	5.52	5.52	26780
2007-07-26	5.52	5.52	5.48	5.48	19620
2007-07-27	5.44	5.44	5.39	5.39	18670
2007-07-30	5.35	5.35	5.26	5.35	9340
2007-07-31	5.21	5.3	5.12	5.3	39070
2007-08-01	5.3	5.44	5.35	5.35	16930
2007-08-02	5.39	5.57	5.39	5.57	77360
2007-08-03	5.7	5.7	5.57	5.7	114960
2007-08-06	5.7	5.7	5.66	5.7	57000
2007-08-07	5.61	5.7	5.61	5.7	15110
2007-08-08	5.61	5.7	5.61	5.7	32640
2007-08-09	5.84	5.97	5.75	5.97	98950
2007-08-10	6.06	6.06	5.84	6.06	125890
2007-08-13	5.93	5.93	5.84	5.88	15220
2007-08-14	5.88	5.97	5.84	5.88	16100
2007-08-15	5.84	6.24	5.39	5.79	13720
2007-08-16	5.79	5.79	5.75	5.75	10300
2007-08-17	5.61	5.97	5.35	5.66	11240
2007-08-20	5.75	5.75	5.66	5.7	12390
2007-08-21	5.79	5.84	5.7	5.79	32190
2007-08-22	5.66	5.75	5.66	5.66	6690
2007-08-23	5.7	5.7	5.7	5.7	11040
2007-08-24	5.7	5.97	5.7	5.97	89890
2007-08-27	5.84	5.84	5.84	5.84	6320
