time	open	high	low	close	volume
2006-12-22	21.59	21.59	21.59	21.59	1000
2006-12-25	21.59	22.64	21.59	22.64	2320
2006-12-26	22.64	23.75	22.64	23.75	3000
2006-12-27	24.7	24.7	24.7	24.7	32270
2006-12-28	25.9	25.9	23.75	23.75	4100
2006-12-29	23.75	24.7	23.75	24.7	16300
2007-01-02	24.7	25.9	24.7	25.9	10
2007-01-03	25.9	25.9	24.7	24.7	2310
2007-01-04	23.51	23.51	23.51	23.51	500
2007-01-05	22.35	22.35	22.35	22.35	27230
2007-01-08	22.35	22.35	21.44	21.44	19670
2007-01-09	20.39	20.63	20.39	20.63	81290
2007-01-10	19.62	21.63	19.62	21.63	30060
2007-01-11	22.69	22.69	22.35	22.69	11230
2007-01-12	22.59	22.59	21.59	21.59	8180
2007-01-15	21.59	21.59	20.53	20.53	23100
2007-01-16	20.63	20.63	20.63	20.63	21360
2007-01-17	20.63	20.63	20.63	20.63	22200
2007-01-18	20.63	21.59	20.63	21.59	39600
2007-01-19	21.59	22.64	21.59	22.64	46150
2007-01-22	23.6	23.7	23.6	23.7	66090
2007-01-23	23.75	23.75	23.75	23.75	41970
2007-01-24	24.7	24.7	24.7	24.7	32690
2007-01-25	25.9	25.9	25.66	25.66	46460
2007-01-26	25.66	25.66	24.46	24.46	9550
2007-01-29	24.46	24.46	23.27	24.22	30750
2007-01-30	24.46	24.94	24.46	24.94	4650
2007-01-31	26.14	26.14	26.14	26.14	37660
2007-02-01	27.34	27.34	27.34	27.34	49850
2007-02-02	28.54	28.54	28.54	28.54	23600
2007-02-05	28.06	28.06	27.34	27.34	4910
2007-02-06	26.14	26.14	26.14	26.14	8190
2007-02-07	24.94	26.62	24.94	26.62	14720
2007-02-08	27.82	27.82	25.42	25.42	5790
2007-02-09	24.46	24.46	24.22	24.22	8200
2007-02-12	24.22	25.42	24.22	25.42	500
2007-02-13	26.62	26.62	25.42	25.42	1100
2007-02-14	25.42	25.66	25.42	25.66	3320
2007-02-15	25.66	26.62	25.42	26.62	3400
2007-02-26	27.34	27.34	27.34	27.34	9730
2007-02-27	28.54	28.54	27.34	28.54	13380
2007-02-28	28.78	28.78	28.78	28.78	6460
2007-03-01	28.78	28.78	27.34	27.34	2270
2007-03-02	26.14	26.38	26.14	26.38	11280
2007-03-05	25.66	26.38	25.66	26.38	25370
2007-03-06	26.38	27.58	26.38	27.58	23710
2007-03-07	28.3	28.78	27.82	28.78	23710
2007-03-08	30.22	30.22	30.22	30.22	27600
2007-03-09	31.66	31.66	31.66	31.66	22170
2007-03-12	33.1	33.1	33.1	33.1	19080
2007-03-13	34.54	34.54	31.66	32.62	40540
2007-03-14	32.62	32.62	31.18	31.18	20570
2007-03-15	30.22	30.22	29.74	29.74	8610
2007-03-16	28.3	29.74	28.3	29.74	20300
2007-03-19	30.94	31.18	30.94	31.18	17920
2007-03-20	29.74	31.18	29.74	30.22	5800
2007-03-21	28.78	29.74	28.78	29.74	7320
2007-03-22	28.78	29.26	28.78	29.02	8900
2007-03-23	27.82	27.82	27.82	27.82	13670
2007-03-26	27.82	27.82	26.86	26.86	6270
2007-03-27	25.66	25.66	25.66	25.66	6920
2007-03-28	24.7	26.38	24.7	26.38	6610
2007-03-29	27.58	27.58	27.58	27.58	4300
2007-03-30	28.54	28.54	28.54	28.54	5360
2007-04-02	27.34	27.34	27.34	27.34	14130
2007-04-03	26.14	26.14	26.14	26.14	2000
2007-04-04	27.1	27.1	27.1	27.1	7000
2007-04-05	27.1	27.1	26.38	26.38	5210
2007-04-06	25.66	26.62	25.66	26.62	2360
2007-04-09	26.62	26.62	25.9	26.38	2340
2007-04-10	26.38	26.38	25.42	25.9	3230
2007-04-11	26.38	26.38	25.42	25.42	920
2007-04-12	25.9	25.9	24.94	24.94	1820
2007-04-13	24.94	24.94	23.98	23.98	13440
2007-04-16	23.98	23.98	23.51	23.98	5480
2007-04-17	22.79	23.51	22.79	23.51	8530
2007-04-18	23.51	24.46	23.51	24.46	7470
2007-04-19	24.94	24.94	24.46	24.46	9010
2007-04-20	23.98	24.46	23.98	23.98	3860
2007-04-23	23.98	23.98	23.98	23.98	950
2007-04-24	23.98	23.98	23.98	23.98	3890
2007-04-25	23.98	23.98	23.98	23.98	5700
2007-05-02	23.98	23.98	23.51	23.51	2900
2007-05-03	23.51	23.51	23.03	23.03	200
2007-05-04	23.03	23.84	23.03	23.84	1480
2007-05-07	23.51	24.94	23.51	24.94	8720
2007-05-08	24.94	24.94	24.22	24.94	10450
2007-05-09	24.94	24.94	23.98	23.98	3140
2007-05-10	23.98	23.98	23.03	23.98	4300
2007-05-11	23.98	24.7	23.51	24.7	2600
2007-05-14	23.51	24.46	23.51	23.98	8640
2007-05-15	23.98	23.98	23.98	23.98	8310
2007-05-16	25.18	25.18	24.94	24.94	7040
2007-05-17	24.22	24.46	23.98	24.46	4600
2007-05-18	23.98	23.98	23.98	23.98	10620
2007-05-21	23.98	23.98	23.98	23.98	7290
2007-05-22	23.98	25.18	23.98	24.46	11200
2007-05-23	25.66	25.66	25.66	25.66	6560
2007-05-24	26.86	26.86	24.46	24.46	8510
2007-05-25	24.94	24.94	24.94	24.94	3680
2007-05-28	25.66	25.66	25.18	25.18	5700
2007-05-29	25.18	25.18	24.94	24.94	7070
2007-05-30	24.94	24.94	24.46	24.94	4480
2007-05-31	24.94	25.66	24.94	25.66	12220
2007-06-01	26.38	26.38	25.66	25.9	15600
2007-06-04	25.42	25.42	25.18	25.42	12980
2007-06-05	25.9	26.62	25.9	26.62	26980
2007-06-06	27.82	27.82	27.82	27.82	33790
2007-06-07	29.02	29.02	29.02	29.02	20190
2007-06-08	30.22	30.22	28.06	28.06	53350
2007-06-11	26.86	26.86	26.86	26.86	9280
2007-06-12	26.86	27.58	26.86	27.58	17630
2007-06-13	28.54	28.54	28.3	28.3	45960
2007-06-14	27.34	27.58	27.34	27.58	9000
2007-06-15	27.34	27.58	27.34	27.34	14110
2007-06-18	27.34	27.58	27.34	27.34	6900
2007-06-19	27.82	27.82	27.58	27.82	6600
2007-06-20	28.3	28.3	27.82	27.82	1800
2007-06-21	28.3	28.3	27.34	27.34	36260
2007-06-22	28.06	28.06	27.34	27.34	18850
