time	open	high	low	close	volume
2016-01-07	9.3	9.3	9.3	9.3	5000
2016-01-08	9.3	9.3	9.1	9.1	5080
2016-01-11	9.1	9.2	9.1	9.2	179000
2016-01-12	9.2	9.2	9.2	9.2	6260
2016-01-13	9.2	9.2	9.2	9.2	10620
2016-01-14	9.2	9.2	9.0	9.1	31320
2016-01-15	9.0	9.0	9.0	9.0	12100
2016-01-18	8.8	8.8	8.6	8.7	87590
2016-01-19	8.8	8.8	8.7	8.7	2770
2016-01-20	8.8	8.8	8.8	8.8	790
2016-01-21	8.7	8.7	8.7	8.7	10000
2016-01-22	8.7	8.7	8.6	8.7	10460
2016-01-25	8.8	8.9	8.8	8.9	20380
2016-01-26	8.9	8.9	8.8	8.8	4210
2016-01-27	8.8	9.0	8.8	9.0	10050
2016-01-28	9.0	9.0	9.0	9.0	606640
2016-01-29	8.9	9.0	8.9	8.9	27740
2016-02-01	9.4	9.4	8.9	9.0	6310
2016-02-02	9.0	9.0	9.0	9.0	10
2016-02-03	8.8	8.8	8.8	8.8	22050
2016-02-04	8.9	8.9	8.9	8.9	120
2016-02-05	9.0	9.0	9.0	9.0	10
2016-02-15	8.9	8.9	8.8	8.9	310
2016-02-16	9.3	9.3	9.0	9.0	2500
2016-02-17	9.0	9.0	9.0	9.0	3000
2016-02-18	9.4	9.4	9.0	9.0	12900
2016-02-19	9.0	9.0	9.0	9.0	2340
2016-02-22	9.1	9.1	9.0	9.1	19590
2016-02-23	8.5	9.1	8.5	9.1	10860
2016-02-24	9.2	9.2	9.2	9.2	300
2016-02-25	9.2	9.2	9.2	9.2	4000
2016-02-26	9.2	9.2	9.2	9.2	74300
2016-02-29	9.2	9.2	9.2	9.2	7000
2016-03-01	9.2	9.2	9.1	9.2	7060
2016-03-02	9.2	9.2	9.2	9.2	2380
2016-03-03	9.2	9.3	9.2	9.3	420
2016-03-04	9.2	9.2	9.2	9.2	1010
2016-03-07	9.2	9.2	9.2	9.2	4010
2016-03-08	9.2	9.2	9.2	9.2	1880
2016-03-09	9.2	9.2	9.2	9.2	2000
2016-03-10	9.2	9.2	9.2	9.2	2000
2016-03-11	9.3	9.3	9.3	9.3	1000
2016-03-14	9.2	9.4	9.2	9.4	64440
2016-03-15	9.3	9.3	9.2	9.2	6300
2016-03-16	9.3	9.3	9.2	9.3	3950
2016-03-17	9.3	9.3	9.3	9.3	300
2016-03-18	9.3	9.3	9.3	9.3	11900
2016-03-21	9.4	9.4	9.3	9.3	2550
2016-03-22	9.3	9.3	9.3	9.3	3000
2016-03-23	9.3	9.3	9.3	9.3	40
2016-03-24	9.2	9.3	9.2	9.2	4040
2016-03-25	9.3	9.3	9.1	9.2	1090
2016-03-28	9.2	9.2	9.2	9.2	12000
2016-03-29	9.1	9.1	9.1	9.1	4000
2016-03-30	9.2	9.2	9.2	9.2	60
2016-03-31	9.2	9.2	9.1	9.1	3010
2016-04-01	9.1	9.1	9.1	9.1	400
2016-04-04	9.1	9.1	9.1	9.1	600
2016-04-05	9.0	9.0	9.0	9.0	4000
2016-04-06	9.2	9.2	9.2	9.2	10
2016-04-07	9.2	9.2	9.2	9.2	300
2016-04-08	9.3	9.3	9.3	9.3	102920
2016-04-11	9.3	9.3	9.3	9.3	2150
2016-04-12	9.3	9.3	9.3	9.3	3100
2016-04-13	9.3	9.3	9.3	9.3	3000
2016-04-14	9.4	9.4	9.4	9.4	2100
2016-04-15	9.4	9.4	9.4	9.4	20
2016-04-19	9.4	9.4	9.2	9.2	50410
2016-04-20	9.2	9.2	9.1	9.2	2550
2016-04-21	9.2	9.3	9.2	9.3	4010
2016-04-22	9.3	9.4	9.3	9.4	2230
2016-04-25	9.5	9.5	9.5	9.5	3570
2016-04-26	9.5	9.5	9.4	9.5	339300
2016-04-27	9.6	9.6	9.5	9.5	4000
2016-04-28	9.7	10.1	9.4	9.4	30590
2016-04-29	9.5	9.5	9.5	9.5	73820
2016-05-04	9.5	9.5	9.5	9.5	103800
2016-05-05	9.6	9.6	9.6	9.6	10
2016-05-06	9.6	9.6	9.6	9.6	653000
2016-05-09	9.5	9.7	9.5	9.6	406490
2016-05-10	9.6	9.6	9.5	9.5	820
2016-05-11	9.6	9.6	9.6	9.6	2500
2016-05-12	9.0	9.7	9.0	9.7	118510
2016-05-13	9.7	9.7	9.7	9.7	0
2016-05-16	9.7	9.7	9.6	9.7	1110
2016-05-17	9.8	9.8	9.7	9.8	105790
2016-05-18	9.9	9.9	9.9	9.9	135000
2016-05-19	9.9	9.9	9.9	9.9	9600
2016-05-20	9.9	9.9	9.8	9.9	10600
2016-05-23	9.8	9.8	9.8	9.8	26600
2016-05-24	9.8	9.8	9.7	9.7	200510
2016-05-25	9.9	9.9	9.9	9.9	1000
2016-05-26	9.7	9.7	9.7	9.7	107550
2016-05-27	9.6	9.7	9.6	9.7	2300
2016-05-30	9.7	9.8	9.7	9.8	570
2016-05-31	9.8	9.8	9.7	9.8	715000
2016-06-01	9.8	9.8	9.8	9.8	30450
2016-06-02	9.8	9.8	9.8	9.8	200600
2016-06-03	9.8	9.9	9.8	9.9	15810
2016-06-06	9.9	9.9	9.9	9.9	100000
2016-06-07	9.9	9.9	9.9	9.9	2000
2016-06-08	10.0	10.0	10.0	10.0	65810
2016-06-09	10.1	10.1	10.1	10.1	70530
2016-06-10	10.1	10.1	10.1	10.1	31890
2016-06-13	10.0	10.0	10.0	10.0	90000
2016-06-14	9.9	9.9	9.9	9.9	2200
2016-06-15	9.9	9.9	9.9	9.9	3000
2016-06-16	9.9	9.9	9.9	9.9	20
2016-06-17	9.9	9.9	9.8	9.8	112400
2016-06-20	9.9	9.9	9.9	9.9	43060
2016-06-21	10.0	10.0	9.9	9.9	115510
2016-06-22	9.9	9.9	9.9	9.9	230000
2016-06-23	9.9	9.9	9.9	9.9	500
2016-06-24	9.7	9.8	9.5	9.7	291710
2016-06-27	9.6	9.7	9.6	9.7	16360
2016-06-28	9.7	9.7	9.7	9.7	200
2016-06-29	9.8	9.9	9.8	9.8	900000
2016-06-30	9.9	9.9	9.9	9.9	80200
2016-07-01	10.0	10.1	10.0	10.1	30300
2016-07-04	10.0	10.0	10.0	10.0	13460
2016-07-05	10.1	10.1	10.1	10.1	132250
2016-07-06	10.1	10.1	10.1	10.1	580
2016-07-07	10.1	10.2	10.1	10.2	210300
2016-07-08	10.2	10.2	10.2	10.2	168300
2016-07-11	10.2	10.3	10.2	10.2	44990
2016-07-12	10.2	10.2	10.2	10.2	1000
2016-07-13	10.3	10.4	10.3	10.4	202080
2016-07-14	10.4	10.5	10.3	10.3	181810
2016-07-15	10.4	10.5	10.4	10.5	33450
2016-07-18	10.4	10.4	10.4	10.4	220
2016-07-19	10.5	10.5	10.5	10.5	1100
2016-07-20	10.5	10.5	10.4	10.5	40
2016-07-21	10.4	10.4	10.4	10.4	680
2016-07-22	10.2	10.2	10.2	10.2	20
2016-07-25	10.2	10.2	10.2	10.2	130
2016-07-26	10.2	10.2	10.2	10.2	0
2016-07-27	10.2	10.2	10.2	10.2	810
2016-07-28	10.3	10.3	10.3	10.3	1710
2016-07-29	10.3	10.3	10.3	10.3	0
2016-08-01	10.2	10.2	10.2	10.2	17200
2016-08-02	10.1	10.1	10.1	10.1	600
2016-08-03	10.0	10.0	9.9	10.0	10460
2016-08-04	10.0	10.0	10.0	10.0	650
2016-08-05	9.9	9.9	9.8	9.8	3900
2016-08-08	9.8	9.8	9.8	9.8	1300
2016-08-09	10.0	10.0	9.9	9.9	150
2016-08-10	10.0	10.0	10.0	10.0	110
2016-08-11	10.2	10.2	10.1	10.1	10360
2016-08-12	10.3	10.3	10.3	10.3	210
2016-08-15	10.2	10.2	10.2	10.2	29800
2016-08-16	10.3	10.3	10.3	10.3	200
2016-08-17	10.4	10.4	10.4	10.4	500
2016-08-18	10.4	10.4	10.4	10.4	19670
2016-08-19	10.4	10.4	10.4	10.4	300000
2016-08-22	10.4	10.4	10.4	10.4	18090
2016-08-23	10.4	10.4	10.4	10.4	200
2016-08-24	10.4	10.4	10.4	10.4	10030
2016-08-25	10.4	10.4	10.4	10.4	12800
2016-08-26	10.4	10.5	10.4	10.5	34170
2016-08-29	10.5	10.6	10.5	10.6	16000
2016-08-30	10.6	10.6	10.6	10.6	0
2016-08-31	10.6	10.6	10.6	10.6	10100
2016-09-01	10.6	10.6	10.6	10.6	0
2016-09-05	10.6	10.6	10.6	10.6	29100
2016-09-06	10.6	10.6	10.6	10.6	100
2016-09-07	10.6	10.6	10.5	10.5	630
2016-09-08	10.5	10.6	10.5	10.6	1050
2016-09-09	10.6	10.7	10.6	10.6	17400
2016-09-12	10.6	10.6	10.5	10.5	970
2016-09-13	10.5	10.5	10.5	10.5	0
2016-09-14	10.58	10.58	10.58	10.58	30
2016-09-15	10.6	10.6	10.46	10.46	100360
2016-09-16	10.46	10.46	10.46	10.46	0
2016-09-19	10.46	10.46	10.4	10.4	1500
2016-09-20	10.4	10.4	10.4	10.4	2000
2016-09-21	10.53	10.6	10.53	10.6	100000
2016-09-22	10.64	10.75	10.64	10.75	2240
2016-09-23	10.75	10.75	10.75	10.75	0
2016-09-26	10.77	10.79	10.77	10.79	3010
2016-09-27	10.75	10.75	10.72	10.72	400000
2016-09-28	10.78	10.88	10.78	10.88	35600
2016-09-29	10.89	10.89	10.84	10.84	3810
2016-09-30	10.84	10.86	10.84	10.86	150
2016-10-03	10.84	10.84	10.8	10.8	200
2016-10-04	10.72	10.74	10.7	10.7	47800
2016-10-05	10.69	10.7	10.69	10.7	370
2016-10-06	10.8	10.8	10.77	10.77	80420
2016-10-07	10.72	10.72	10.64	10.64	17470
2016-10-10	10.6	10.6	10.6	10.6	50
2016-10-11	10.43	10.56	10.43	10.56	55060
2016-10-12	10.56	10.56	10.56	10.56	0
2016-10-13	10.53	10.6	10.53	10.6	20100
2016-10-14	10.66	10.66	10.66	10.66	35000
2016-10-17	10.59	10.59	10.59	10.59	10050
2016-10-18	10.5	10.64	10.46	10.64	31000
2016-10-19	10.6	10.6	10.6	10.6	232000
2016-10-20	10.6	10.6	10.6	10.6	200910
2016-10-21	10.64	10.64	10.64	10.64	10
2016-10-24	10.64	10.64	10.64	10.64	0
2016-10-25	10.4	10.45	10.4	10.45	2900
2016-10-26	10.4	10.4	10.39	10.39	35000
2016-10-27	10.39	10.39	10.39	10.39	0
2016-10-28	10.39	10.39	10.39	10.39	0
2016-10-31	10.52	10.52	10.52	10.52	24050
2016-11-01	10.42	10.42	10.4	10.4	50000
2016-11-02	10.4	10.4	10.38	10.38	6820
2016-11-03	10.21	10.21	10.21	10.21	500000
2016-11-04	10.2	10.2	10.2	10.2	50
2016-11-07	10.3	10.3	10.3	10.3	750540
2016-11-08	10.4	10.4	10.4	10.4	750000
