time	open	high	low	close	volume
2023-12-29	9.98	11.0	9.98	11.0	60100
2024-01-29	11.0	11.0	11.0	11.0	100
2024-02-27	10.25	11.0	10.25	11.0	14200
2024-03-04	11.2	11.2	11.2	11.2	35700
2024-03-05	11.0	11.0	11.0	11.0	4600
2024-03-11	10.8	10.8	10.8	10.8	46200
2024-03-27	11.5	11.5	11.5	11.5	100
2024-04-16	11.5	11.5	11.5	11.5	43400
2024-04-17	11.5	11.5	11.5	11.5	86600
2024-04-22	11.5	11.5	11.5	11.5	200
2024-05-07	11.0	11.1	11.0	11.1	54000
2024-05-09	11.1	11.1	11.1	11.1	9000
2024-05-15	11.0	11.0	11.0	11.0	27100
2024-05-22	11.2	11.2	11.2	11.2	89000
2024-05-23	11.2	11.2	11.2	11.2	8900
2024-05-31	11.2	11.2	11.2	11.2	4400
2024-06-13	11.2	11.2	11.2	11.2	44500
2024-06-20	10.45	10.45	10.45	10.45	400
2024-07-26	10.75	10.75	10.75	10.75	100
2024-08-02	10.2	10.2	10.2	10.2	9500
2024-08-05	10.2	10.2	10.2	10.2	7900
2024-08-27	10.8	10.8	10.8	10.8	100
2024-08-29	10.8	10.8	10.8	10.8	100
2024-08-30	11.0	11.0	11.0	11.0	100
2024-09-26	11.0	11.0	11.0	11.0	200
2024-09-27	11.5	11.5	11.5	11.5	100
2024-09-30	11.7	11.7	11.7	11.7	100
2024-10-02	10.9	10.9	10.9	10.9	99900
2024-10-03	10.8	10.8	10.8	10.8	100100
2024-10-30	11.35	11.35	11.35	11.35	100
2024-11-27	11.35	11.35	11.35	11.35	100
2024-12-23	12.0	12.0	12.0	12.0	100
2024-12-25	12.7	12.7	12.7	12.7	100
2024-12-26	13.4	13.4	13.4	13.4	100
2024-12-27	14.2	14.2	14.2	14.2	100
2024-12-30	15.0	15.0	15.0	15.0	100
2024-12-31	15.8	15.8	15.8	15.8	100
2025-01-22	15.8	15.8	15.8	15.8	100
2025-02-26	15.8	15.8	15.8	15.8	100
2025-03-03	14.7	14.7	14.7	14.7	6900
2025-03-10	13.7	13.7	13.7	13.7	18500
2025-03-19	12.75	12.75	12.75	12.75	15700
2025-03-20	11.9	12.75	11.9	12.75	112300
2025-03-24	12.0	12.0	12.0	12.0	12800
2025-03-28	12.0	12.0	12.0	12.0	8700
