time	open	high	low	close	volume
2022-01-07	12.14	12.14	10.06	10.15	3218300
2022-01-10	10.25	10.35	10.02	10.03	288200
2022-01-11	10.73	10.73	9.86	9.99	291900
2022-01-12	9.95	10.04	9.78	10.04	171500
2022-01-13	10.12	10.74	10.0	10.1	152500
2022-01-14	10.0	10.12	9.96	10.03	152700
2022-01-17	10.02	10.02	9.75	9.76	82700
2022-01-18	9.76	9.76	9.65	9.7	69500
2022-01-19	9.76	9.81	9.7	9.71	55800
2022-01-20	9.73	9.8	9.69	9.8	65900
2022-01-21	9.8	9.85	9.76	9.83	58600
2022-01-24	9.81	9.81	9.6	9.6	89700
2022-01-25	9.59	9.84	9.59	9.8	60600
2022-01-26	9.9	9.99	9.9	9.93	82400
2022-01-27	9.95	9.95	9.85	9.94	82600
2022-01-28	9.93	10.01	9.93	10.01	142900
2022-02-07	10.2	10.2	10.05	10.08	95300
2022-02-08	10.1	10.12	9.95	10.1	87900
2022-02-09	10.09	10.22	10.09	10.16	63900
2022-02-10	10.2	10.2	10.06	10.06	107100
2022-02-11	10.1	10.15	10.1	10.14	65600
2022-02-14	10.14	10.14	9.97	9.97	68600
2022-02-15	9.93	9.97	9.9	9.97	104000
2022-02-16	10.03	10.03	9.93	9.95	62100
2022-02-17	9.98	10.04	9.98	10.04	84400
2022-02-18	10.05	10.05	9.95	9.98	59000
2022-02-21	10.08	10.08	9.95	9.96	121400
2022-02-22	10.03	10.03	9.83	9.89	130700
2022-02-23	9.96	10.09	9.96	10.0	65700
2022-02-24	10.0	10.03	9.9	9.95	75500
2022-02-25	10.0	10.05	9.95	9.95	56900
2022-02-28	9.96	9.96	9.87	9.95	83400
2022-03-01	9.95	9.97	9.93	9.96	56900
2022-03-02	9.96	9.96	9.82	9.92	82100
2022-03-03	9.91	9.93	9.83	9.92	80200
2022-03-04	9.94	9.96	9.9	9.9	57200
2022-03-07	9.9	9.9	9.8	9.82	97000
2022-03-08	9.82	9.82	9.75	9.75	62000
2022-03-09	9.73	9.75	9.7	9.72	57200
2022-03-10	9.74	9.84	9.74	9.76	54900
2022-03-11	9.75	9.75	9.65	9.69	64600
2022-03-14	9.65	9.65	9.53	9.57	60500
2022-03-15	9.57	9.58	9.5	9.57	65100
2022-03-16	9.58	9.6	9.58	9.59	54000
2022-03-17	9.69	9.69	9.58	9.58	52600
2022-03-18	9.66	9.66	9.62	9.65	54100
2022-03-21	9.62	9.7	9.62	9.65	55400
2022-03-22	9.89	9.89	9.75	9.8	54700
2022-03-23	9.8	9.87	9.76	9.81	53600
2022-03-24	9.81	9.81	9.73	9.8	52300
2022-03-25	9.8	9.8	9.72	9.79	53500
2022-03-28	9.79	9.79	9.63	9.7	56200
2022-03-29	9.7	9.74	9.7	9.71	63200
2022-03-30	9.74	9.8	9.73	9.76	52100
2022-03-31	9.76	9.9	9.76	9.9	79300
2022-04-01	9.81	9.99	9.77	9.9	76800
2022-04-04	10.02	10.03	9.89	9.97	57400
2022-04-05	9.99	10.2	9.98	10.04	63900
2022-04-06	10.0	10.11	9.99	10.11	70300
2022-04-07	10.09	10.15	10.03	10.03	54800
2022-04-08	10.06	10.11	10.02	10.02	70900
2022-04-12	10.01	10.03	9.95	10.03	55900
2022-04-13	9.99	10.0	9.9	10.0	53900
2022-04-14	10.0	10.04	9.95	9.95	56300
2022-04-15	9.94	9.98	9.87	9.87	52600
2022-04-18	9.88	9.88	9.69	9.79	73300
2022-04-19	9.8	10.0	9.58	9.59	57000
2022-04-20	9.59	9.59	9.49	9.54	57300
2022-04-21	9.55	9.55	9.31	9.53	60500
2022-04-22	9.42	9.48	9.34	9.4	57600
2022-04-25	9.3	9.42	9.0	9.05	355500
2022-04-26	8.84	9.11	8.55	9.02	62500
2022-05-04	9.17	9.17	9.1	9.1	3500
2022-05-05	9.1	9.16	9.02	9.16	58300
2022-05-06	9.03	9.45	8.87	8.87	76800
2022-05-09	8.9	8.9	8.5	8.5	59100
2022-05-10	8.49	8.72	8.39	8.66	54000
