time	open	high	low	close	volume
2020-12-08	12.1	12.1	11.65	11.7	525970
2020-12-09	11.7	11.8	11.7	11.79	198190
2020-12-10	11.85	12.0	11.75	11.85	294190
2020-12-11	11.85	12.0	11.73	11.82	162710
2020-12-14	11.95	11.95	11.94	11.95	100170
2020-12-15	11.95	12.04	11.93	12.04	373700
2020-12-16	11.93	12.09	11.93	12.09	101820
2020-12-17	12.01	12.05	11.99	11.99	205400
2020-12-18	12.12	12.3	12.1	12.3	206200
2020-12-21	12.3	12.39	12.24	12.36	343680
2020-12-22	12.25	12.35	12.25	12.35	292270
2020-12-23	12.5	12.5	12.39	12.39	91610
2020-12-24	12.39	12.39	12.0	12.23	72460
2020-12-25	12.24	12.33	12.23	12.33	1300
2020-12-28	12.49	12.5	12.35	12.44	95800
2020-12-29	12.55	12.55	12.38	12.48	102030
2020-12-30	12.51	12.61	12.46	12.46	112660
2020-12-31	12.53	12.53	12.53	12.53	100
2021-01-04	12.69	12.94	12.69	12.94	101200
2021-01-05	13.0	13.0	12.91	12.95	40600
2021-01-06	13.08	13.22	13.06	13.12	105000
2021-01-07	13.14	13.26	13.11	13.26	100500
2021-01-08	13.54	13.55	13.45	13.5	24000
2021-01-11	13.6	13.7	13.6	13.68	34000
2021-01-12	13.68	13.78	13.66	13.78	37000
2021-01-13	13.8	13.83	13.66	13.66	200600
2021-01-14	13.69	13.7	13.66	13.7	17800
2021-01-15	13.85	13.92	13.85	13.92	7600
2021-01-18	13.89	13.9	13.87	13.87	46200
2021-01-19	13.74	13.74	13.1	13.1	80600
2021-01-20	13.1	13.22	12.8	13.08	50100
2021-01-21	13.17	13.6	13.17	13.6	38000
2021-01-22	13.6	13.65	13.5	13.57	126600
2021-01-25	13.57	13.66	13.57	13.59	30200
2021-01-26	13.48	13.48	13.08	13.08	162800
2021-01-27	13.08	13.08	12.8	12.8	6600
2021-01-28	12.5	12.8	11.91	11.91	283300
2021-01-29	11.64	12.37	11.64	12.37	80000
2021-02-01	12.48	13.23	12.21	12.8	200800
2021-02-02	12.26	12.69	12.24	12.68	101900
2021-02-03	13.01	13.2	12.92	13.12	104100
2021-02-04	13.05	13.11	13.0	13.0	127000
2021-02-05	13.08	13.36	13.08	13.33	102200
2021-02-08	14.2	14.2	12.81	12.87	167900
2021-02-09	12.9	13.08	12.9	13.08	18100
2021-02-17	13.6	13.74	13.6	13.74	5900
2021-02-18	13.74	13.85	13.74	13.83	56100
2021-02-19	13.85	14.08	13.83	14.08	3700
2021-02-22	14.0	14.02	13.85	14.0	189100
2021-02-23	13.95	13.97	13.89	13.97	1500
2021-02-24	14.0	14.0	13.72	13.72	7200
2021-02-25	13.82	13.83	13.5	13.5	152000
2021-02-26	13.56	13.8	13.56	13.8	9300
2021-03-01	13.87	14.01	13.87	14.01	4400
2021-03-02	14.11	14.11	14.0	14.01	87400
2021-03-03	14.01	14.01	13.91	13.98	232800
2021-03-04	13.95	14.0	13.8	13.8	7800
2021-03-05	13.77	13.78	13.65	13.78	11100
2021-03-08	13.78	13.78	13.72	13.74	9200
2021-03-09	13.7	13.74	13.56	13.64	7600
2021-03-10	13.64	14.0	13.61	14.0	9600
2021-03-11	13.95	13.95	13.79	13.86	107500
2021-03-12	13.9	14.0	13.9	14.0	3900
2021-03-15	14.0	14.0	14.0	14.0	25100
2021-03-16	14.0	14.0	13.83	13.83	3700
2021-03-17	13.85	13.9	13.81	13.9	78500
2021-03-18	14.0	14.21	14.0	14.18	32400
2021-03-19	14.2	14.24	14.04	14.18	106200
2021-03-22	14.19	14.19	14.09	14.13	12500
2021-03-23	14.1	14.1	13.94	13.94	11600
2021-03-24	13.73	13.86	13.7	13.7	7200
2021-03-25	13.8	13.8	13.71	13.71	1500
2021-03-26	13.75	13.75	13.4	13.58	112400
2021-03-29	13.58	13.58	13.58	13.58	0
2021-03-30	13.79	13.95	13.79	13.95	111200
2021-03-31	13.92	14.01	13.92	13.94	74000
2021-04-01	14.05	14.26	14.05	14.26	71300
2021-04-02	14.44	14.52	14.44	14.48	2000
2021-04-05	14.68	14.68	14.6	14.6	4900
2021-04-06	14.7	14.78	14.64	14.68	57000
2021-04-07	14.8	14.8	14.7	14.79	5300
2021-04-08	14.85	14.85	14.78	14.78	8700
2021-04-09	14.76	14.76	14.76	14.76	10000
2021-04-12	14.8	14.85	14.8	14.82	3300
2021-04-13	14.9	15.23	14.9	14.96	90200
2021-04-14	14.8	15.05	14.8	15.03	81500
2021-04-15	15.26	15.26	14.98	14.98	78600
2021-04-16	15.3	15.3	14.71	15.25	77300
2021-04-19	15.3	15.31	14.93	14.93	117900
2021-04-20	15.35	15.51	15.16	15.16	56500
2021-04-22	15.5	15.5	14.99	14.99	94400
2021-04-23	14.9	14.99	14.9	14.99	800
2021-04-26	15.18	15.33	14.65	14.65	188300
2021-04-27	14.8	15.07	14.8	14.83	127600
2021-04-28	14.98	15.1	14.86	14.86	51500
2021-04-29	15.31	15.69	15.06	15.69	27100
2021-05-04	15.69	15.69	15.15	15.57	43400
2021-05-05	15.77	15.78	15.75	15.77	8000
2021-05-06	15.77	15.81	15.47	15.56	141300
2021-05-07	15.82	15.82	15.36	15.75	91300
2021-05-10	15.75	16.1	15.7	16.1	85500
2021-05-11	16.0	16.23	15.67	15.67	11600
2021-05-12	15.79	16.08	15.7	16.08	50000
2021-05-13	16.13	16.3	16.13	16.13	4400
2021-05-14	16.27	16.34	16.01	16.34	31700
2021-05-17	16.34	16.36	15.94	16.31	13500
2021-05-18	15.3	16.06	15.3	15.94	100000
2021-05-19	16.2	16.43	16.2	16.43	9200
2021-05-20	16.43	16.62	16.43	16.62	4600
2021-05-21	16.65	16.8	16.63	16.7	54400
2021-05-24	16.75	16.75	16.69	16.73	42900
2021-05-25	16.86	16.86	16.86	16.86	2100
2021-05-26	16.86	17.07	16.85	17.07	11800
2021-05-27	17.07	17.09	16.83	16.83	20500
2021-05-28	16.8	17.14	16.8	17.02	4000
2021-05-31	17.02	17.3	17.02	17.3	11200
2021-06-01	17.3	17.6	17.3	17.6	8400
2021-06-02	17.6	17.6	17.3	17.35	40600
2021-06-03	17.36	17.73	17.36	17.73	93900
2021-06-04	17.79	18.0	17.54	17.8	26300
2021-06-07	17.8	17.8	17.37	17.54	26300
2021-06-08	17.54	17.65	16.68	16.99	90800
2021-06-09	16.99	17.5	16.74	17.5	24400
2021-06-10	17.5	17.5	17.0	17.0	19000
2021-06-11	17.25	17.48	17.06	17.4	104300
2021-06-14	17.45	17.79	17.4	17.4	110300
2021-06-15	17.48	17.72	17.35	17.4	105900
2021-06-16	17.4	17.69	17.3	17.3	20100
2021-06-17	17.22	17.33	17.02	17.33	11200
2021-06-18	17.28	17.51	17.1	17.5	103500
2021-06-21	17.39	17.7	17.3	17.3	5200
2021-06-22	17.48	17.62	17.31	17.4	54900
2021-06-23	17.5	17.58	17.05	17.05	65200
2021-06-24	17.95	17.95	17.37	17.38	7300
2021-06-25	17.39	17.56	17.39	17.56	12900
2021-06-28	17.6	17.93	17.6	17.93	27900
2021-06-29	17.94	18.2	17.93	18.2	15700
2021-06-30	18.3	18.3	17.99	18.0	21500
2021-07-01	18.28	18.28	17.86	18.13	67600
2021-07-02	19.38	19.38	18.1	18.35	55100
2021-07-05	18.3	18.33	17.9	18.3	60200
2021-07-06	18.3	19.57	18.0	19.57	55900
2021-07-07	19.49	19.49	18.21	18.21	42800
2021-07-08	17.9	18.3	17.7	18.3	82000
2021-07-09	17.69	17.9	17.5	17.81	78000
2021-07-12	18.0	18.0	16.57	16.98	39800
2021-07-13	16.98	17.1	16.57	17.1	112400
2021-07-14	17.49	17.49	16.5	16.81	46100
2021-07-15	16.81	16.92	16.62	16.92	14500
2021-07-16	16.92	17.0	16.9	16.92	32100
2021-07-19	16.74	16.74	16.12	16.25	31500
2021-07-20	16.25	16.5	16.06	16.5	11400
2021-07-21	16.5	16.73	16.34	16.73	59200
2021-07-22	16.71	16.89	16.6	16.8	9300
2021-07-23	16.8	16.8	16.61	16.61	9500
2021-07-26	16.62	16.7	16.33	16.7	13100
2021-07-27	16.7	16.77	16.57	16.77	35500
2021-07-28	16.81	16.81	16.4	16.6	55900
2021-07-29	16.71	16.8	16.68	16.8	34600
2021-07-30	16.8	17.0	16.78	17.0	30500
2021-08-02	17.01	17.12	16.99	17.09	98000
2021-08-03	16.94	17.4	16.94	17.4	154900
2021-08-04	17.4	17.4	17.08	17.3	350200
2021-08-05	17.3	17.7	17.16	17.7	359000
2021-08-06	17.69	17.69	17.21	17.44	426200
2021-08-09	17.0	17.72	17.0	17.72	452200
2021-08-10	17.99	17.99	17.16	17.74	511200
2021-08-11	17.26	17.6	17.26	17.6	370100
2021-08-12	17.4	17.69	17.2	17.54	371800
2021-08-13	17.54	17.54	17.07	17.4	637600
2021-08-16	17.4	17.77	17.34	17.77	498700
2021-08-17	17.77	17.77	17.5	17.76	70700
2021-08-18	17.71	17.71	17.45	17.63	56100
2021-08-19	17.63	17.73	17.45	17.73	86800
2021-08-20	17.39	17.54	16.89	17.2	136300
2021-08-23	17.2	17.2	16.44	16.7	159500
2021-08-24	16.7	16.75	16.53	16.75	90700
2021-08-25	16.75	16.85	16.46	16.85	139700
2021-08-26	16.9	16.9	16.49	16.71	57200
2021-08-27	16.51	16.73	16.35	16.73	37100
2021-08-30	16.76	16.85	16.6	16.85	172700
2021-08-31	16.85	16.85	16.71	16.83	53700
2021-09-01	16.8	16.85	16.61	16.84	140900
2021-09-06	16.91	17.0	16.4	17.0	192900
2021-09-07	16.98	17.05	16.8	17.05	143700
2021-09-08	16.99	16.99	16.52	16.96	139100
2021-09-09	16.96	17.09	16.72	17.09	105600
2021-09-10	17.16	17.16	16.66	17.13	112900
2021-09-13	17.1	17.12	16.78	17.12	175900
2021-09-14	17.0	17.0	16.75	16.98	277200
2021-09-15	16.75	17.09	16.75	17.09	19200
2021-09-16	17.09	17.1	17.0	17.1	15400
2021-09-17	17.03	17.2	16.91	17.2	122100
2021-09-20	17.2	17.28	17.15	17.28	45200
2021-09-21	17.27	17.27	16.78	17.05	26800
2021-09-22	17.0	17.1	16.86	17.1	18300
2021-09-23	17.0	17.15	16.93	17.15	23000
2021-09-24	17.09	17.2	16.89	17.2	60700
2021-09-27	17.2	17.2	16.8	17.05	75800
2021-09-28	16.99	17.1	16.71	17.1	63700
2021-09-29	17.04	17.1	16.85	17.1	87800
2021-09-30	17.1	17.14	17.01	17.14	118000
2021-10-01	17.14	17.14	16.86	17.01	119600
2021-10-04	16.9	17.0	16.9	17.0	39600
2021-10-05	17.0	17.16	16.93	17.16	156800
2021-10-06	17.1	17.2	16.99	17.2	124900
2021-10-07	17.2	17.2	16.78	17.2	107900
2021-10-08	17.16	17.4	17.16	17.4	53000
2021-10-11	17.4	17.8	17.4	17.8	72200
2021-10-12	17.79	17.79	17.6	17.76	86300
2021-10-13	17.76	17.85	17.6	17.72	119700
2021-10-14	17.7	17.78	17.6	17.69	67700
2021-10-15	17.79	17.81	17.67	17.73	16200
2021-10-18	17.73	17.85	17.71	17.77	41000
2021-10-19	17.68	17.76	17.68	17.76	30000
2021-10-20	17.73	17.83	17.6	17.65	327600
2021-10-21	17.7	17.7	17.6	17.6	8700
2021-10-22	17.11	17.61	17.11	17.57	76000
2021-10-25	17.6	17.6	17.4	17.48	21600
2021-10-26	17.6	17.6	17.2	17.49	124400
2021-10-27	17.49	17.87	17.49	17.87	27400
2021-10-28	17.8	18.03	17.8	18.03	11600
2021-10-29	18.01	18.06	17.94	18.06	18300
2021-11-01	17.9	17.96	17.74	17.9	62100
2021-11-02	17.9	17.95	17.85	17.92	23100
2021-11-03	17.92	18.08	17.92	18.08	32600
2021-11-04	17.91	18.0	17.91	17.97	21200
2021-11-05	17.97	18.09	17.86	18.09	86700
2021-11-08	18.08	18.09	18.0	18.09	63700
2021-11-09	18.06	18.07	17.9	18.0	39500
2021-11-10	17.85	17.97	17.85	17.97	35800
2021-11-11	18.2	18.2	17.71	17.83	28500
2021-11-12	17.83	17.98	17.71	17.98	32600
2021-11-15	17.98	18.06	17.93	18.0	24200
2021-11-16	18.0	18.0	17.82	17.83	22400
2021-11-17	17.83	17.92	17.8	17.92	22300
2021-11-18	17.86	17.86	17.66	17.74	74300
2021-11-19	17.74	17.8	17.4	17.7	54300
2021-11-22	17.71	17.88	17.6	17.88	135400
2021-11-23	17.9	18.04	17.6	18.04	116000
2021-11-24	18.04	18.46	17.9	18.46	114600
2021-11-25	17.51	18.46	17.51	18.46	119900
2021-11-26	18.3	18.49	18.3	18.45	11100
2021-11-29	18.38	18.38	18.06	18.27	49700
2021-11-30	18.39	18.39	18.05	18.11	23500
2021-12-01	18.11	18.24	18.0	18.24	42300
2021-12-02	18.14	18.21	18.1	18.19	82100
2021-12-03	18.19	18.19	17.8	17.8	65000
2021-12-06	18.2	18.2	17.2	17.3	62100
2021-12-07	17.5	17.77	17.5	17.77	43700
2021-12-08	17.8	17.85	17.75	17.85	65300
2021-12-09	17.69	18.01	17.69	18.01	73000
2021-12-10	18.05	18.05	17.75	17.89	65500
2021-12-13	17.9	17.9	16.89	17.9	78100
2021-12-14	17.9	17.95	17.8	17.91	10600
2021-12-15	17.9	17.9	17.84	17.9	12700
2021-12-16	18.0	18.0	17.65	17.76	10100
2021-12-17	17.7	17.85	17.7	17.85	113300
2021-12-20	17.85	17.85	17.6	17.82	91400
2021-12-21	17.83	17.83	17.65	17.8	85100
2021-12-22	17.8	17.8	17.56	17.7	115600
2021-12-23	17.7	17.7	17.35	17.37	66100
2021-12-24	17.37	17.71	17.37	17.71	6000
2021-12-27	17.71	17.84	17.28	17.84	90100
2021-12-28	17.84	17.89	17.68	17.89	112100
2021-12-29	17.75	17.88	17.62	17.62	88400
2021-12-30	18.14	18.14	17.5	17.89	101700
2021-12-31	17.86	18.09	17.86	18.09	134200
2022-01-04	18.1	18.36	17.85	18.36	110300
2022-01-05	18.36	18.36	18.0	18.0	105000
2022-01-06	18.0	18.2	18.0	18.2	89600
2022-01-07	18.6	18.6	17.95	18.12	55500
2022-01-10	18.18	18.24	17.77	17.89	122900
2022-01-11	17.84	17.84	17.59	17.67	136000
2022-01-12	17.65	17.99	17.46	17.99	132700
2022-01-13	18.03	18.11	17.84	18.11	115900
2022-01-14	17.94	17.95	17.8	17.9	111400
2022-01-17	18.19	18.6	17.25	17.48	121100
2022-01-18	17.37	17.48	17.01	17.45	134800
2022-01-19	17.41	17.45	17.3	17.44	68200
2022-01-20	17.44	17.64	17.3	17.64	116100
2022-01-21	17.43	17.7	17.13	17.7	112900
2022-01-24	17.7	17.7	17.13	17.34	128200
2022-01-25	17.38	17.78	17.16	17.78	131500
2022-01-26	17.78	17.95	17.75	17.95	112900
2022-01-27	17.9	17.9	17.55	17.85	139700
2022-01-28	17.84	18.04	17.83	18.04	140500
2022-02-07	18.04	18.2	18.0	18.17	100600
2022-02-08	18.17	18.25	18.0	18.25	26000
2022-02-09	18.25	18.32	18.21	18.32	142100
2022-02-10	18.32	18.32	17.94	18.17	112200
2022-02-11	18.18	18.23	18.0	18.23	84400
2022-02-14	18.22	18.22	17.78	17.9	139600
2022-02-15	17.73	18.22	17.65	18.01	135500
2022-02-16	18.01	18.01	17.79	17.94	12000
2022-02-17	17.92	18.03	17.78	18.03	94700
2022-02-18	18.03	18.04	17.85	18.04	6200
2022-02-21	18.04	18.04	17.85	18.0	7200
2022-02-22	17.91	18.0	17.65	18.0	24800
2022-02-23	18.0	18.1	17.85	18.1	119700
2022-02-24	17.8	17.9	17.7	17.9	18100
2022-02-25	17.87	17.96	17.8	17.95	33100
2022-02-28	17.79	17.9	17.61	17.9	117200
2022-03-01	17.8	17.86	17.67	17.86	8900
2022-03-02	17.8	17.8	17.6	17.66	191700
2022-03-03	17.66	17.91	17.63	17.91	18600
2022-03-04	17.91	17.91	17.5	17.91	86600
2022-03-07	17.75	17.77	17.52	17.7	437800
2022-03-08	17.6	17.6	17.48	17.5	17600
2022-03-09	17.5	17.53	17.4	17.53	17600
2022-03-10	17.66	17.66	17.53	17.58	16300
2022-03-11	17.5	17.5	17.24	17.36	20800
2022-03-14	17.36	17.36	17.15	17.21	20100
2022-03-15	17.58	17.58	17.09	17.25	22600
2022-03-16	17.25	17.35	16.82	17.35	83800
2022-03-17	17.35	17.37	17.31	17.35	13700
2022-03-18	17.38	17.44	17.35	17.44	13900
2022-03-21	17.33	17.62	17.33	17.62	14700
2022-03-22	17.65	17.81	17.56	17.81	28200
2022-03-23	17.85	17.85	17.63	17.74	15500
2022-03-24	17.5	17.63	17.46	17.58	13300
2022-03-25	17.58	17.6	17.41	17.6	24600
2022-03-28	17.58	17.58	17.28	17.45	14000
2022-03-29	17.4	17.6	17.4	17.6	13000
2022-03-30	17.59	17.6	17.44	17.6	53500
2022-03-31	17.55	17.75	17.47	17.75	85800
2022-04-01	17.6	18.08	17.53	18.08	58100
2022-04-04	18.15	18.5	17.9	17.99	44500
2022-04-05	17.99	18.05	17.85	17.88	14300
2022-04-06	17.79	18.11	17.79	18.07	23400
2022-04-07	18.16	18.18	18.02	18.02	3500
2022-04-08	17.99	18.0	17.9	18.0	5700
2022-04-12	18.0	18.0	17.62	17.76	29800
2022-04-13	17.67	17.95	17.67	17.95	7800
2022-04-14	17.95	17.95	17.7	17.86	14400
2022-04-15	17.75	17.82	17.6	17.62	35600
2022-04-18	17.79	17.79	17.29	17.34	27700
2022-04-19	17.38	17.41	17.0	17.0	23200
2022-04-20	17.0	17.15	16.9	16.91	27400
2022-04-21	16.89	17.01	16.73	16.9	38800
2022-04-22	16.9	17.08	16.85	16.97	144900
2022-04-25	17.0	17.0	15.86	16.09	50800
2022-04-26	15.67	16.39	15.63	16.39	43300
2022-05-04	16.7	16.7	16.29	16.33	41500
2022-05-05	16.43	16.5	16.16	16.5	22900
2022-05-06	16.24	16.32	16.01	16.16	15800
2022-05-09	15.99	16.12	15.3	15.33	18500
2022-05-10	15.1	15.74	15.1	15.74	16200
2022-05-11	15.76	15.93	15.49	15.93	9000
2022-05-12	15.61	15.62	14.91	15.0	26700
2022-05-13	15.0	15.3	14.28	14.38	203400
2022-05-16	14.38	14.68	14.24	14.24	56200
2022-05-17	14.01	14.94	14.01	14.94	32800
2022-05-18	15.11	15.19	14.93	15.09	26400
2022-05-19	14.72	15.13	14.72	15.13	22000
2022-05-23	16.05	16.05	14.56	14.69	12200
2022-05-24	14.61	14.86	14.5	14.86	20000
2022-05-25	14.94	15.4	14.94	15.4	17500
2022-05-26	15.4	15.44	15.2	15.44	24600
2022-05-27	15.42	15.69	15.31	15.69	10000
2022-05-30	16.77	16.77	15.5	15.79	35300
2022-05-31	15.0	15.69	15.0	15.69	23100
2022-06-01	15.56	15.74	15.48	15.74	28600
2022-06-02	15.6	15.62	15.4	15.62	8300
2022-06-03	15.45	15.65	15.37	15.65	5900
2022-06-06	15.65	15.65	15.5	15.6	10000
2022-06-07	15.5	15.57	15.19	15.55	11900
2022-06-08	15.55	15.72	15.52	15.72	8400
2022-06-09	15.73	15.8	15.62	15.8	15800
2022-06-10	15.8	15.8	15.52	15.67	15900
2022-06-13	15.09	16.0	14.81	14.81	20600
2022-06-14	14.44	14.91	14.44	14.8	28900
2022-06-15	14.75	14.95	14.47	14.81	13200
2022-06-16	14.77	15.14	14.75	15.14	7100
2022-06-17	14.66	14.84	14.32	14.84	16600
2022-06-20	14.7	14.7	14.33	14.54	12800
2022-06-21	14.25	14.56	14.24	14.45	50300
2022-06-22	14.45	14.55	14.34	14.51	13700
2022-06-23	14.36	14.6	14.33	14.6	9400
2022-06-24	14.53	14.93	14.43	14.55	60500
2022-06-27	14.56	14.83	14.51	14.83	14700
2022-06-28	14.8	15.04	14.71	15.04	5600
2022-06-29	14.82	15.03	14.81	15.03	11500
2022-06-30	14.92	14.92	14.7	14.84	22900
2022-07-01	14.6	14.75	14.36	14.75	120200
2022-07-04	14.76	15.2	14.52	15.2	110800
2022-07-05	14.69	14.75	14.5	14.65	62700
2022-07-06	14.59	14.63	14.18	14.39	96700
2022-07-07	14.26	14.47	14.26	14.47	86000
2022-07-08	14.6	14.6	14.37	14.55	116800
2022-07-11	14.29	14.4	14.17	14.2	12700
2022-07-12	14.94	14.94	14.2	14.4	13800
2022-07-13	14.33	14.38	14.3	14.38	7700
2022-07-14	14.25	14.42	14.22	14.42	14200
2022-07-15	14.43	14.78	14.3	14.4	14200
2022-07-18	14.35	14.39	14.29	14.34	13800
2022-07-19	14.29	14.8	14.23	14.28	6700
2022-07-20	14.34	14.46	14.34	14.45	15200
2022-07-21	14.45	14.52	14.4	14.52	12800
2022-07-22	14.52	14.57	14.42	14.57	14500
2022-07-25	14.49	14.49	14.35	14.4	6800
2022-07-26	14.36	14.42	14.0	14.42	74700
2022-07-27	14.27	14.37	14.23	14.37	77800
2022-07-28	14.42	14.58	13.99	14.55	87600
2022-07-29	14.49	14.57	14.43	14.57	84400
2022-08-01	14.59	14.79	14.52	14.79	102600
2022-08-02	14.75	14.91	14.58	14.91	18100
2022-08-03	14.81	15.1	14.65	15.0	4600
2022-08-04	15.0	15.12	14.9	15.12	18300
2022-08-05	15.0	15.05	14.93	15.05	4800
2022-08-08	14.94	15.05	14.94	15.05	2200
2022-08-09	15.05	15.18	15.05	15.1	8800
2022-08-10	15.3	15.3	14.96	15.12	9100
2022-08-11	15.87	15.87	15.06	15.06	7000
2022-08-12	15.06	15.1	15.06	15.08	1900
2022-08-15	15.24	15.26	15.22	15.26	18900
2022-08-16	15.27	15.27	15.25	15.27	3400
2022-08-17	15.3	15.42	15.3	15.42	4600
2022-08-18	15.22	15.42	15.22	15.42	12300
2022-08-19	15.42	15.42	15.07	15.3	58800
2022-08-22	15.3	15.3	14.8	15.23	53800
2022-08-23	14.82	15.25	14.82	15.25	14100
2022-08-24	15.25	15.25	15.25	15.25	8100
2022-08-25	15.2	15.4	15.2	15.4	19400
2022-08-26	15.5	15.5	15.28	15.45	12200
2022-08-29	15.19	15.29	14.97	15.29	117500
2022-08-30	15.25	15.39	15.2	15.39	122200
2022-08-31	15.26	15.43	15.2	15.43	11500
2022-09-05	15.4	15.4	15.06	15.37	71900
2022-09-06	15.03	15.37	15.03	15.37	138700
2022-09-07	15.37	15.37	14.87	15.05	149200
2022-09-08	14.9	15.09	14.9	15.0	10700
2022-09-09	14.99	15.03	14.9	15.03	8300
2022-09-12	15.05	15.12	14.97	15.05	11600
2022-09-13	15.1	15.1	14.94	15.01	7500
2022-09-14	14.78	14.9	14.76	14.9	7200
2022-09-15	14.87	14.93	14.72	14.9	64700
2022-09-16	14.85	14.85	14.53	14.72	104800
2022-09-19	14.73	14.73	14.3	14.54	76800
2022-09-20	14.54	14.62	14.3	14.62	94800
2022-09-21	14.62	14.62	14.22	14.5	66100
2022-09-22	14.55	14.55	14.12	14.48	99000
2022-09-23	14.39	14.6	14.25	14.39	23400
2022-09-26	14.35	14.35	13.7	14.0	101000
2022-09-27	13.76	13.96	13.76	13.95	34900
2022-09-28	13.79	13.8	13.7	13.76	12600
2022-09-29	13.71	13.83	13.34	13.55	17000
2022-09-30	13.54	13.74	13.2	13.74	79200
2022-10-03	13.73	13.73	12.9	12.9	39100
2022-10-04	13.0	13.04	12.9	12.9	16500
2022-10-05	12.91	13.2	12.91	13.2	21500
2022-10-06	13.2	13.2	12.65	12.65	38400
2022-10-07	12.5	12.5	12.07	12.16	19300
2022-10-10	12.15	12.31	11.95	12.3	78200
2022-10-11	12.25	12.25	11.54	11.72	32500
2022-10-12	11.73	12.2	11.73	12.15	32300
2022-10-13	12.0	12.29	11.76	12.29	20400
2022-10-14	12.3	12.65	12.3	12.65	207600
