time	open	high	low	close	volume
2020-08-18	11.76	11.76	9.75	10.0	197330
2020-08-19	10.0	10.0	9.73	9.82	6540
2020-08-20	9.84	9.84	9.75	9.77	54180
2020-08-21	9.8	10.45	9.75	9.86	17700
2020-08-24	9.91	10.04	9.91	10.04	104590
2020-08-25	10.04	10.13	10.04	10.13	241110
2020-08-26	10.13	10.13	10.08	10.09	6780
2020-08-27	10.07	10.08	10.04	10.04	2020
2020-08-28	10.13	10.23	10.13	10.23	11310
2020-08-31	10.2	10.24	10.2	10.24	1210
2020-09-01	10.18	10.34	10.18	10.34	2560
2020-09-03	10.34	10.43	10.34	10.4	2950
2020-09-04	10.35	10.4	10.31	10.4	200030
2020-09-07	10.41	10.41	10.25	10.25	50220
2020-09-08	10.22	10.28	10.18	10.28	7330
2020-09-09	10.16	10.28	10.16	10.28	10010
2020-09-10	10.27	10.27	10.23	10.23	1110
2020-09-11	10.21	10.26	10.21	10.26	7100
2020-09-14	10.3	10.3	10.26	10.28	120
2020-09-15	10.9	10.9	10.29	10.31	100340
2020-09-16	10.34	10.34	10.34	10.34	50
2020-09-17	10.35	10.35	10.35	10.35	430
2020-09-18	10.37	10.44	10.37	10.44	425670
2020-09-21	10.5	10.52	10.5	10.5	50230
2020-09-22	10.5	10.55	10.5	10.55	30
2020-09-23	10.62	10.62	10.58	10.6	191510
2020-09-24	10.59	10.59	10.56	10.59	460
2020-09-25	10.55	10.55	10.55	10.55	1220
2020-09-28	10.64	10.65	10.62	10.65	51220
2020-09-29	10.65	10.76	10.57	10.66	469070
2020-09-30	10.61	10.68	10.61	10.68	196600
2020-10-01	10.7	10.71	10.66	10.71	30
2020-10-02	10.75	10.75	10.57	10.68	382250
2020-10-05	10.71	10.75	10.71	10.75	4970
2020-10-06	10.79	10.79	10.71	10.77	252060
2020-10-07	10.78	10.83	10.74	10.82	749510
2020-10-08	10.77	10.77	10.72	10.77	3810
2020-10-09	10.76	10.77	10.76	10.77	200000
2020-10-12	10.86	10.86	10.84	10.84	10920
2020-10-13	10.84	10.91	10.82	10.91	470
2020-10-14	10.91	11.0	10.91	11.0	4250
2020-10-15	11.06	11.09	11.06	11.09	48010
2020-10-16	11.11	11.22	11.01	11.11	137980
2020-10-19	11.17	11.17	11.15	11.15	303230
2020-10-20	11.15	11.21	11.15	11.19	800500
2020-10-21	11.24	11.36	11.2	11.2	402320
2020-10-22	11.17	11.26	11.16	11.26	331300
2020-10-23	11.42	12.02	11.42	12.02	347150
2020-10-26	12.02	12.02	11.56	11.56	1590
2020-10-27	11.36	11.49	11.36	11.36	2540
2020-10-28	11.25	11.33	11.09	11.14	1310
2020-10-29	11.02	11.02	10.92	10.92	1350
2020-10-30	11.0	11.02	10.91	11.02	169980
2020-11-02	11.05	11.08	11.03	11.08	151340
2020-11-03	11.13	11.16	11.09	11.09	529910
2020-11-04	11.2	11.24	11.17	11.24	730
2020-11-05	11.22	11.32	11.22	11.22	83630
2020-11-06	11.14	11.2	11.14	11.2	110
2020-11-09	11.2	11.25	11.2	11.25	196060
2020-11-10	11.6	12.0	11.28	12.0	480800
2020-11-11	11.34	11.42	11.34	11.42	3310
2020-11-12	11.42	11.48	11.35	11.48	1440
2020-11-13	11.37	11.58	11.37	11.58	110
