time	open	high	low	close	volume
2020-03-18	9.99	9.99	9.99	9.99	3240
2020-03-19	10.68	10.68	10.6	10.6	23940
2020-03-20	10.6	11.34	10.6	11.34	3160
2020-03-23	11.99	11.99	11.2	11.2	290
2020-03-24	11.0	11.0	10.42	10.42	1610
2020-03-25	9.7	9.7	9.7	9.7	1150
2020-03-26	9.7	9.7	9.7	9.7	0
2020-03-27	9.7	9.7	9.7	9.7	0
2020-03-30	9.65	9.65	9.65	9.65	1000
2020-03-31	8.98	8.98	8.98	8.98	1090
2020-04-01	8.36	8.36	8.36	8.36	200
2020-04-03	7.78	7.78	7.78	7.78	2390
2020-04-06	7.24	7.81	7.24	7.81	4840
2020-04-07	7.81	7.83	7.77	7.77	8070
2020-04-08	7.77	7.79	7.77	7.79	150
2020-04-09	7.79	7.94	7.79	7.93	3070
2020-04-10	8.4	8.4	7.82	7.92	2060
2020-04-13	8.08	8.08	8.08	8.08	120
2020-04-14	7.97	7.97	7.96	7.96	20
2020-04-15	8.2	8.3	8.2	8.24	2230
2020-04-16	8.12	8.22	8.12	8.22	260
2020-04-17	8.31	8.41	8.31	8.41	150
2020-04-20	8.29	8.38	8.29	8.37	480
2020-04-21	8.37	8.37	7.94	7.94	350
2020-04-22	7.94	8.07	7.94	8.07	540
2020-04-23	8.05	8.07	8.05	8.07	1410
2020-04-24	8.07	8.07	7.89	7.93	1320
2020-04-27	8.1	8.11	8.06	8.06	40
2020-04-28	7.83	7.99	7.83	7.97	110
2020-04-29	8.0	8.0	8.0	8.0	50
2020-05-04	8.0	8.0	7.93	7.93	200
2020-05-05	7.95	8.04	7.94	8.04	21940
2020-05-06	8.06	8.09	8.0	8.09	20340
2020-05-07	8.12	8.21	8.12	8.2	25020
2020-05-08	8.27	8.77	8.27	8.57	1110
2020-05-11	8.6	8.88	8.6	8.86	3260
2020-05-12	8.86	8.89	8.78	8.89	160
2020-05-13	9.49	9.49	8.83	9.0	1020
2020-05-14	8.9	9.01	8.9	9.01	200
2020-05-15	9.01	9.01	8.8	8.86	720
2020-05-18	9.48	9.48	8.82	9.05	110
2020-05-19	9.22	9.25	9.22	9.24	20150
2020-05-20	9.18	9.18	9.18	9.18	28430
2020-05-21	9.21	9.27	9.21	9.27	31640
2020-05-22	9.36	9.38	9.32	9.32	2020
2020-05-25	9.3	9.33	9.25	9.31	180
2020-05-26	9.32	9.38	9.29	9.36	11400
2020-05-27	9.44	9.44	9.39	9.39	210
2020-05-28	9.25	9.3	9.23	9.3	880
2020-05-29	9.3	9.3	9.28	9.28	70
2020-06-01	9.32	9.58	9.32	9.58	106210
2020-06-02	9.57	9.66	9.57	9.65	10950
2020-06-03	9.68	9.74	9.68	9.74	80
2020-06-04	9.8	9.8	9.8	9.8	160
2020-06-05	9.71	9.71	9.69	9.71	2640
2020-06-08	9.84	9.99	9.81	9.89	2890
2020-06-09	9.81	9.85	9.81	9.85	5100
2020-06-10	9.82	10.02	9.5	9.5	50110
2020-06-11	10.0	10.0	9.62	9.7	23130
2020-06-12	9.7	9.7	9.4	9.56	108990
2020-06-15	9.62	9.62	9.3	9.35	62870
2020-06-16	9.35	9.52	9.1	9.45	27250
2020-06-17	9.11	9.48	9.11	9.37	5680
2020-06-18	9.43	9.43	9.37	9.41	18150
2020-06-19	9.45	9.45	9.45	9.45	860
2020-06-22	9.55	9.55	9.5	9.55	11700
2020-06-23	9.55	9.56	9.49	9.5	10610
2020-06-24	9.5	9.5	9.4	9.4	49040
2020-06-25	9.4	9.4	9.3	9.3	44310
2020-06-26	9.34	9.34	9.25	9.25	5260
2020-06-29	9.86	9.86	9.0	9.01	10030
2020-06-30	9.04	9.04	8.81	8.95	70100
2020-07-01	8.93	9.08	8.91	9.08	5050
2020-07-02	9.12	9.12	9.06	9.06	58360
2020-07-03	9.05	9.08	9.05	9.08	7140
2020-07-06	9.14	9.27	9.13	9.27	150220
2020-07-07	9.32	9.32	9.31	9.32	230
2020-07-08	9.32	9.32	9.26	9.28	51860
2020-07-09	9.43	9.5	9.43	9.5	20040
2020-07-10	9.5	9.5	9.44	9.44	310
2020-07-13	9.52	9.6	9.42	9.42	10630
2020-07-14	9.35	9.42	9.33	9.42	21780
2020-07-15	9.45	9.5	9.43	9.47	9040
2020-07-16	9.49	9.51	9.47	9.47	68230
2020-07-17	9.51	9.56	9.5	9.5	112550
2020-07-20	9.46	9.49	9.42	9.42	74400
2020-07-21	9.38	9.41	9.33	9.33	70220
2020-07-22	9.4	9.4	9.38	9.38	70030
2020-07-23	9.3	9.31	9.26	9.27	81070
2020-07-24	9.21	9.21	8.97	9.08	40910
2020-07-27	8.5	8.71	8.45	8.7	76980
