time	open	high	low	close	volume
2025-03-11	10.32	10.33	10.32	10.32	3200
2025-03-12	10.42	10.42	10.37	10.37	6500
2025-03-13	10.42	10.42	10.35	10.35	1700
2025-03-17	10.37	10.39	10.37	10.39	1700
2025-03-18	10.38	10.38	10.38	10.38	8000
2025-03-19	10.31	10.31	10.31	10.31	100
2025-03-21	10.27	10.27	10.26	10.26	200
2025-03-24	10.26	10.31	10.26	10.31	600
2025-03-25	10.36	10.36	10.33	10.33	3000
2025-03-26	10.36	10.36	10.36	10.36	400
2025-03-27	10.32	10.32	10.32	10.32	500
2025-03-28	10.24	10.24	10.21	10.22	600
2025-04-01	10.15	10.15	10.15	10.15	100
