time	open	high	low	close	volume
2009-11-17	3.96	3.96	3.96	3.96	213340
2009-11-18	4.14	4.14	4.05	4.06	71640
2009-11-19	3.86	3.95	3.86	3.86	31280
2009-11-20	3.67	3.67	3.67	3.67	17680
2009-11-23	3.5	3.5	3.5	3.5	3190
2009-11-24	3.33	3.41	3.33	3.33	109190
2009-11-25	3.17	3.18	3.17	3.17	44130
2009-11-26	3.01	3.01	3.01	3.01	1710
2009-11-27	3.01	3.16	2.87	2.87	105290
2009-11-30	2.73	2.87	2.73	2.73	50890
2009-12-01	2.8	2.86	2.76	2.86	24500
2009-12-02	2.91	2.91	2.86	2.9	21810
2009-12-03	2.9	2.9	2.76	2.87	18200
2009-12-04	2.89	2.89	2.73	2.86	13990
2009-12-07	2.75	2.85	2.72	2.72	13870
2009-12-08	2.59	2.59	2.58	2.58	30590
2009-12-09	2.46	2.57	2.46	2.57	2100
2009-12-10	2.57	2.57	2.45	2.57	10850
2009-12-11	2.45	2.47	2.45	2.45	5330
2009-12-14	2.33	2.57	2.33	2.55	10590
2009-12-15	2.45	2.63	2.43	2.45	101280
2009-12-16	2.51	2.51	2.4	2.5	12090
2009-12-17	2.4	2.47	2.37	2.43	17280
2009-12-18	2.45	2.55	2.45	2.55	8970
2009-12-21	2.66	2.67	2.65	2.67	21770
2009-12-22	2.8	2.8	2.55	2.8	14550
2009-12-23	2.68	2.78	2.67	2.78	5940
2009-12-24	2.67	2.89	2.64	2.89	11090
2009-12-25	3.03	3.03	2.89	3.03	86680
2009-12-28	3.18	3.18	3.04	3.18	115920
2009-12-29	3.19	3.25	3.18	3.19	29390
2009-12-30	3.09	3.2	3.09	3.19	18910
2009-12-31	3.04	3.21	3.04	3.04	28700
2010-01-04	3.04	3.11	3.02	3.04	54110
2010-01-05	3.04	3.04	2.89	2.89	54250
2010-01-06	2.81	3.02	2.78	2.99	18720
2010-01-07	2.91	2.99	2.88	2.88	26900
2010-01-08	2.88	3.02	2.88	3.02	181880
2010-01-11	2.93	3.02	2.91	3.02	36580
2010-01-12	2.9	3.1	2.9	2.9	15140
2010-01-13	2.9	2.9	2.81	2.9	10570
2010-01-14	2.9	2.99	2.85	2.9	4600
2010-01-15	2.9	2.9	2.84	2.84	7030
2010-01-18	2.71	2.78	2.71	2.71	11200
2010-01-19	2.71	2.78	2.71	2.74	7980
2010-01-20	2.67	2.78	2.67	2.67	6250
2010-01-21	2.54	2.67	2.54	2.54	17660
2010-01-22	2.46	2.64	2.46	2.64	4660
2010-01-25	2.75	2.76	2.75	2.75	210
2010-01-26	2.75	2.75	2.73	2.75	7560
2010-01-27	2.63	2.75	2.62	2.63	30970
2010-01-28	2.69	2.69	2.54	2.69	5590
2010-01-29	2.7	2.7	2.7	2.7	1030
2010-02-01	2.59	2.71	2.58	2.59	4680
2010-02-02	2.59	2.59	2.49	2.49	5170
2010-02-03	2.55	2.61	2.55	2.61	6650
2010-02-04	2.67	2.74	2.67	2.74	1780
2010-02-05	2.74	2.74	2.61	2.61	3460
2010-02-08	2.66	2.66	2.51	2.66	3640
2010-02-09	2.66	2.66	2.53	2.53	13220
2010-02-10	2.55	2.64	2.44	2.64	4620
2010-02-11	2.67	2.67	2.54	2.54	3890
2010-02-12	2.55	2.56	2.55	2.56	4930
2010-02-22	2.67	2.67	2.67	2.67	1720
2010-02-23	2.67	2.67	2.67	2.67	920
2010-02-24	2.67	2.67	2.67	2.67	3870
2010-02-25	2.54	2.76	2.54	2.67	910
2010-02-26	2.67	2.67	2.55	2.67	6540
2010-03-01	2.66	2.66	2.55	2.66	1750
2010-03-02	2.76	2.76	2.58	2.66	4320
2010-03-03	2.58	2.67	2.58	2.64	5770
2010-03-04	2.67	2.69	2.67	2.67	10500
2010-03-05	2.68	2.69	2.56	2.68	16770
2010-03-08	2.69	2.69	2.68	2.68	27740
2010-03-09	2.67	2.67	2.61	2.67	6150
2010-03-10	2.61	2.67	2.61	2.61	22990
2010-03-11	2.61	2.7	2.61	2.67	61380
2010-03-12	2.58	2.67	2.58	2.58	11380
2010-03-15	2.67	2.7	2.61	2.7	148240
2010-03-16	2.73	2.73	2.67	2.68	16600
2010-03-17	2.69	2.81	2.67	2.8	214210
2010-03-18	2.92	2.92	2.83	2.89	108430
2010-03-19	2.89	2.89	2.75	2.75	82980
2010-03-22	2.75	2.77	2.7	2.77	34250
2010-03-23	2.77	2.77	2.64	2.64	70950
2010-03-24	2.75	2.75	2.63	2.66	20900
2010-03-25	2.64	2.66	2.55	2.55	25700
2010-03-26	2.66	2.68	2.61	2.67	41110
2010-03-29	2.6	2.61	2.54	2.54	68360
2010-03-30	2.63	2.63	2.51	2.51	20010
2010-03-31	2.59	2.59	2.41	2.41	22210
2010-04-01	2.41	2.53	2.41	2.53	20390
2010-04-02	2.53	2.55	2.44	2.53	52620
2010-04-05	2.47	2.56	2.46	2.54	17000
2010-04-06	2.54	2.55	2.49	2.54	24720
2010-04-07	2.54	2.54	2.46	2.47	4500
2010-04-08	2.44	2.51	2.41	2.41	35380
2010-04-09	2.53	2.53	2.53	2.53	13110
2010-04-12	2.64	2.64	2.64	2.64	66760
2010-04-13	2.67	2.77	2.61	2.77	239340
2010-04-14	2.77	2.77	2.7	2.71	105980
2010-04-15	2.83	2.84	2.78	2.84	139720
2010-04-16	2.98	2.98	2.96	2.98	257240
2010-04-19	3.12	3.12	3.02	3.12	366850
2010-04-20	3.24	3.25	3.02	3.12	131880
2010-04-21	3.12	3.12	2.97	2.97	169880
2010-04-22	2.97	3.0	2.83	2.83	127580
2010-04-26	2.78	2.97	2.78	2.87	160370
2010-04-27	2.97	2.97	2.78	2.78	59720
2010-04-28	2.75	2.89	2.74	2.75	45120
2010-04-29	2.75	2.78	2.75	2.78	70290
2010-05-04	2.84	2.88	2.8	2.81	45980
2010-05-05	2.81	2.81	2.69	2.7	70420
2010-05-06	2.7	2.83	2.7	2.83	101710
2010-05-07	2.96	2.97	2.9	2.97	600220
2010-05-10	3.07	3.11	2.85	3.11	280180
2010-05-11	3.19	3.19	2.96	2.96	71390
2010-05-12	2.84	2.85	2.82	2.82	69180
2010-05-13	2.89	2.89	2.68	2.68	144740
2010-05-14	2.8	2.8	2.68	2.71	19260
2010-05-17	2.77	2.77	2.59	2.61	68870
2010-05-18	2.59	2.64	2.59	2.6	33050
2010-05-19	2.6	2.6	2.48	2.48	109780
2010-05-20	2.38	2.55	2.38	2.55	21380
2010-05-21	2.42	2.44	2.42	2.42	94800
2010-05-24	2.53	2.54	2.42	2.54	31880
2010-05-25	2.46	2.59	2.42	2.46	22630
2010-05-26	2.46	2.58	2.46	2.58	47340
2010-05-27	2.66	2.66	2.55	2.61	10680
2010-05-28	2.67	2.68	2.64	2.64	52530
2010-05-31	2.55	2.67	2.53	2.56	12500
2010-06-01	2.55	2.56	2.52	2.55	14740
2010-06-02	2.52	2.58	2.52	2.55	16150
2010-06-03	2.55	2.64	2.52	2.54	48770
2010-06-04	2.52	2.61	2.52	2.52	10870
2010-06-07	2.44	2.49	2.41	2.44	45860
2010-06-08	2.44	2.44	2.44	2.44	29300
2010-06-09	2.44	2.51	2.44	2.46	3720
2010-06-10	2.51	2.51	2.44	2.51	17450
2010-06-11	2.52	2.53	2.48	2.49	31010
2010-06-14	2.55	2.58	2.54	2.58	36910
2010-06-15	2.63	2.63	2.58	2.58	25040
2010-06-16	2.58	2.6	2.58	2.59	36940
2010-06-17	2.59	2.6	2.55	2.59	39510
2010-06-18	2.55	2.59	2.55	2.55	33130
2010-06-21	2.55	2.62	2.55	2.62	61190
2010-06-22	2.63	2.67	2.61	2.61	60830
2010-06-23	2.61	2.64	2.61	2.61	25310
2010-06-24	2.61	2.62	2.55	2.56	55160
2010-06-25	2.48	2.56	2.48	2.48	56870
2010-06-28	2.55	2.59	2.51	2.51	37060
2010-06-29	2.62	2.62	2.59	2.62	59930
2010-06-30	2.62	2.68	2.59	2.59	109310
2010-07-01	2.58	2.6	2.54	2.55	22900
2010-07-02	2.59	2.61	2.55	2.55	44210
2010-07-05	2.56	2.63	2.56	2.61	29610
2010-07-06	2.55	2.56	2.52	2.55	49620
2010-07-07	2.51	2.66	2.51	2.51	9440
2010-07-08	2.59	2.59	2.51	2.51	16280
2010-07-09	2.55	2.55	2.51	2.51	16160
2010-07-12	2.52	2.52	2.51	2.52	14870
2010-07-13	2.56	2.58	2.55	2.56	35120
2010-07-14	2.63	2.63	2.54	2.54	7900
2010-07-15	2.55	2.55	2.51	2.55	18050
2010-07-16	2.54	2.54	2.48	2.54	14030
2010-07-19	2.48	2.54	2.48	2.48	13150
2010-07-20	2.53	2.53	2.49	2.53	17280
2010-07-21	2.52	2.55	2.51	2.52	8590
2010-07-22	2.48	2.53	2.48	2.48	18160
2010-07-23	2.48	2.51	2.46	2.48	15850
2010-07-26	2.46	2.47	2.46	2.46	16730
2010-07-27	2.45	2.48	2.44	2.46	18240
2010-07-28	2.44	2.44	2.42	2.44	16720
2010-07-29	2.38	2.38	2.37	2.38	10970
2010-07-30	2.39	2.44	2.38	2.39	22670
2010-08-02	2.42	2.42	2.34	2.42	6160
2010-08-03	2.4	2.4	2.39	2.4	30280
2010-08-04	2.38	2.39	2.29	2.38	20470
2010-08-05	2.33	2.38	2.32	2.33	11800
2010-08-06	2.32	2.33	2.3	2.3	17970
2010-08-09	2.22	2.29	2.22	2.22	9610
2010-08-10	2.18	2.24	2.18	2.18	29210
2010-08-11	2.25	2.25	2.18	2.25	27580
2010-08-12	2.22	2.22	2.15	2.15	71170
2010-08-13	2.15	2.2	2.13	2.2	14280
2010-08-16	2.31	2.31	2.24	2.31	25130
2010-08-17	2.32	2.32	2.22	2.27	14240
2010-08-18	2.25	2.37	2.25	2.25	5440
2010-08-19	2.23	2.23	2.22	2.23	10340
2010-08-20	2.2	2.2	2.19	2.2	12160
2010-08-23	2.19	2.2	2.19	2.19	28950
2010-08-24	2.11	2.12	2.1	2.11	30130
2010-08-25	2.01	2.03	2.01	2.01	21350
2010-08-26	2.08	2.1	2.01	2.08	20050
2010-08-27	2.09	2.09	1.98	2.09	3890
2010-08-30	2.15	2.19	2.15	2.19	20810
2010-08-31	2.26	2.26	2.1	2.26	12470
2010-09-01	2.26	2.26	2.17	2.2	62310
2010-09-06	2.26	2.29	2.2	2.26	24720
2010-09-07	2.31	2.31	2.17	2.17	7420
2010-09-08	2.16	2.16	2.1	2.13	28500
2010-09-09	2.2	2.2	2.12	2.15	4620
2010-09-10	2.15	2.2	2.13	2.15	39150
2010-09-13	2.05	2.19	2.05	2.09	1030
2010-09-14	2.18	2.18	2.18	2.18	190
2010-09-15	2.1	2.2	2.1	2.1	2250
2010-09-16	2.1	2.16	2.1	2.15	2640
2010-09-17	2.2	2.23	2.12	2.2	2700
2010-09-20	2.13	2.26	2.13	2.2	2770
2010-09-21	2.25	2.25	2.15	2.25	1200
2010-09-22	2.2	2.24	2.18	2.2	4890
2010-09-23	2.12	2.19	2.12	2.12	8980
2010-09-24	2.15	2.15	2.12	2.15	3990
2010-09-27	2.2	2.2	2.12	2.2	1770
2010-09-28	2.2	2.2	2.2	2.2	3520
2010-09-29	2.15	2.16	2.15	2.15	6930
2010-09-30	2.17	2.17	2.15	2.16	6390
2010-10-01	2.19	2.19	2.12	2.19	2160
2010-10-04	2.2	2.2	2.19	2.2	18000
2010-10-05	2.2	2.2	2.19	2.2	3500
2010-10-06	2.2	2.2	2.2	2.2	8300
2010-10-07	2.18	2.18	2.18	2.18	3900
2010-10-08	2.2	2.2	2.18	2.18	5440
2010-10-11	2.18	2.18	2.15	2.18	5110
2010-10-12	2.19	2.19	2.17	2.19	6690
2010-10-13	2.2	2.2	2.2	2.2	9900
