time	open	high	low	close	volume
2009-12-10	3.0	3.26	3.0	3.18	44150
2009-12-11	3.26	3.26	3.05	3.1	49210
2009-12-14	3.26	3.26	3.0	3.21	16910
2009-12-15	3.21	3.21	3.05	3.21	13870
2009-12-16	3.05	3.1	3.05	3.05	4010
2009-12-17	2.92	2.92	2.92	2.92	4000
2009-12-18	2.79	2.92	2.79	2.92	67190
2009-12-21	2.92	3.03	2.79	3.0	24900
2009-12-22	2.95	3.0	2.9	2.97	29960
2009-12-23	3.0	3.0	2.9	3.0	10550
2009-12-24	3.0	3.0	2.9	2.9	35710
2009-12-25	2.95	3.0	2.84	3.0	28710
2009-12-28	3.08	3.08	3.0	3.0	30120
2009-12-29	3.05	3.05	2.95	2.95	11600
2009-12-30	3.08	3.08	3.0	3.08	48250
2009-12-31	3.21	3.21	3.18	3.21	109870
2010-01-04	3.36	3.36	3.36	3.36	24610
2010-01-05	3.52	3.52	3.52	3.52	29130
2010-01-06	3.62	3.67	3.62	3.67	130030
2010-01-07	3.78	3.78	3.52	3.67	19130
2010-01-08	3.62	3.65	3.54	3.54	37030
2010-01-11	3.49	3.52	3.41	3.41	41770
2010-01-12	3.31	3.49	3.31	3.31	31700
2010-01-13	3.41	3.41	3.21	3.26	66030
2010-01-14	3.41	3.41	3.36	3.41	31770
2010-01-15	3.47	3.47	3.39	3.44	9850
2010-01-18	3.28	3.36	3.28	3.28	19470
2010-01-19	3.28	3.34	3.26	3.31	13860
2010-01-20	3.26	3.36	3.26	3.26	33840
2010-01-21	3.1	3.26	3.1	3.1	30880
2010-01-22	3.13	3.13	3.0	3.13	8120
2010-01-25	3.18	3.18	3.1	3.13	3820
2010-01-26	3.28	3.28	3.28	3.28	18080
2010-01-27	3.34	3.34	3.28	3.31	21250
2010-01-28	3.36	3.36	3.18	3.23	1400
2010-01-29	3.26	3.28	3.13	3.26	11720
2010-02-01	3.36	3.36	3.26	3.26	2050
2010-02-02	3.23	3.26	3.23	3.23	8960
2010-02-03	3.23	3.26	3.21	3.26	5950
2010-02-04	3.18	3.28	3.18	3.26	13760
2010-02-05	3.26	3.26	3.26	3.26	660
2010-02-08	3.18	3.26	3.18	3.18	2870
2010-02-09	3.15	3.21	3.13	3.13	8440
2010-02-10	3.21	3.23	3.15	3.23	2830
2010-02-11	3.23	3.26	3.18	3.23	10480
2010-02-12	3.28	3.31	3.23	3.28	4640
2010-02-22	3.31	3.31	3.26	3.31	1450
2010-02-23	3.26	3.26	3.15	3.15	17580
2010-02-24	3.1	3.1	3.08	3.08	26540
2010-02-25	3.21	3.21	3.15	3.15	1600
2010-02-26	3.18	3.18	3.18	3.18	1990
2010-03-01	3.21	3.21	3.18	3.21	3820
2010-03-02	3.21	3.21	3.18	3.18	5090
