time	open	high	low	close	volume
2010-01-26	0.0	0.0	0.0	0.0	0
2010-01-27	0.0	0.0	0.0	0.0	0
2010-02-05	4.45	4.45	4.45	4.45	0
2010-03-01	3.22	3.22	3.22	3.22	0
2010-03-02	3.22	3.22	3.22	3.22	0
2010-03-03	3.22	3.22	3.22	3.22	0
2010-03-04	2.91	2.91	2.91	2.91	400
2010-03-05	3.08	3.18	3.08	3.18	1150
2010-03-08	3.08	3.18	3.18	3.18	0
2010-03-09	3.08	3.18	3.18	3.18	0
2010-03-10	2.77	2.81	2.77	2.81	1020
2010-03-11	2.6	2.6	2.53	2.53	1200
2010-03-12	2.57	2.57	2.57	2.57	500
2010-03-15	2.81	2.81	2.57	2.57	1200
2010-03-16	2.84	2.84	2.84	2.84	200
2010-03-17	2.84	2.84	2.84	2.84	0
2010-03-18	3.12	3.12	2.91	2.91	5320
2010-03-19	3.18	3.18	2.74	2.74	1600
2010-03-22	2.91	3.05	2.91	3.05	3000
2010-03-23	3.29	3.29	3.29	3.29	120
2010-03-24	3.29	3.29	3.29	3.29	0
2010-03-26	3.01	2.98	2.98	2.98	0
2010-03-29	3.29	3.29	3.29	3.29	4000
2010-03-30	3.29	0.0	0.0	0.0	0
2010-03-31	2.98	2.98	2.98	2.98	10
2010-04-01	3.25	3.25	3.25	3.25	2010
2010-04-02	2.94	2.94	2.94	2.94	10
2010-04-05	3.08	3.08	3.08	3.08	20
2010-04-06	3.25	3.39	3.25	3.39	2050
2010-04-07	3.08	3.08	3.08	3.08	10
2010-04-08	2.77	2.77	2.77	2.77	20
2010-04-09	2.77	2.77	2.77	2.77	0
2010-04-12	2.77	2.77	2.77	2.77	0
2010-04-13	3.05	3.05	2.53	2.53	20
2010-04-14	2.81	0.0	0.0	0.0	0
2010-04-15	2.6	2.6	2.6	2.6	0
2010-04-16	2.84	2.84	2.84	2.84	10
2010-04-19	2.84	2.84	2.84	2.84	0
2010-04-20	3.12	3.12	3.12	3.12	280
2010-04-21	3.25	3.42	3.12	3.42	8300
2010-04-22	3.39	3.39	3.39	3.39	500
2010-04-26	3.08	3.08	3.08	3.08	10020
2010-04-27	2.77	2.77	2.77	2.77	10
2010-04-28	3.05	3.05	2.91	2.91	210
2010-04-29	3.32	3.32	3.32	3.32	4550
2010-05-04	3.42	3.6	3.42	3.6	10000
2010-05-05	3.87	3.87	3.6	3.6	1010
2010-05-06	3.66	3.94	3.66	3.94	10030
2010-05-07	3.77	4.18	3.77	4.18	7350
2010-05-10	4.45	4.45	4.28	4.38	13770
