time	open	high	low	close	volume
2009-11-26	6.91	8.02	6.9	7.19	1050720
2009-11-27	6.87	7.53	6.87	7.53	213180
2009-11-30	7.88	7.88	7.88	7.88	10010
2009-12-01	8.22	8.22	8.22	8.22	50210
2009-12-02	8.29	8.57	8.02	8.57	938640
2009-12-03	8.78	8.84	8.29	8.5	252670
2009-12-04	8.57	8.57	8.29	8.29	299680
2009-12-07	8.29	8.36	8.22	8.29	75590
2009-12-08	8.22	8.22	7.88	7.88	394810
2009-12-09	7.88	7.88	7.52	7.59	345940
2009-12-10	7.73	7.81	7.23	7.3	267670
2009-12-11	7.23	7.3	6.95	6.95	404990
2009-12-14	7.23	7.23	7.09	7.23	215080
2009-12-15	7.59	7.59	7.3	7.59	333180
2009-12-16	7.59	7.59	7.23	7.23	325050
2009-12-17	7.09	7.59	7.02	7.52	225400
2009-12-18	7.66	7.88	7.52	7.81	349920
2009-12-21	7.88	8.09	7.52	8.02	268150
2009-12-22	7.81	8.09	7.66	7.66	223180
2009-12-23	7.52	7.73	7.52	7.59	159090
2009-12-24	7.59	7.73	7.38	7.73	208970
2009-12-25	7.88	8.09	7.88	8.09	421260
2009-12-28	7.88	8.16	7.81	7.81	169930
2009-12-29	7.59	7.81	7.59	7.66	112290
2009-12-30	7.66	8.02	7.66	8.02	342210
2009-12-31	8.16	8.16	7.73	7.81	351240
2010-01-04	8.09	8.16	8.02	8.16	325720
2010-01-05	8.45	8.52	7.81	8.52	757070
2010-01-06	8.31	8.88	8.31	8.81	611880
2010-01-07	8.81	9.02	8.59	8.59	324950
2010-01-08	8.74	8.74	8.16	8.16	538710
2010-01-11	8.45	8.45	8.02	8.09	276400
2010-01-12	8.16	8.16	7.73	7.81	530440
2010-01-13	7.81	7.95	7.52	7.88	265230
2010-01-14	8.02	8.02	7.73	7.88	112180
2010-01-15	7.88	7.88	7.73	7.73	243280
2010-01-18	7.59	7.59	7.52	7.52	301080
2010-01-19	7.59	7.66	7.52	7.52	137460
2010-01-20	7.3	7.59	7.3	7.3	139700
2010-01-21	7.3	7.45	7.16	7.23	275010
2010-01-22	7.1	7.38	7.1	7.23	59860
2010-01-25	7.23	7.52	7.23	7.38	86610
2010-01-26	7.73	7.73	7.59	7.73	133870
2010-01-27	7.66	7.66	7.38	7.45	211730
2010-01-28	7.45	7.45	7.23	7.23	63370
2010-01-29	7.23	7.3	7.16	7.23	37580
2010-02-01	7.16	7.3	7.16	7.3	17210
2010-02-02	7.3	7.38	7.3	7.3	62740
2010-02-03	7.38	7.52	7.38	7.45	90070
2010-02-04	7.52	7.59	7.45	7.59	178540
2010-02-05	7.3	7.52	7.3	7.52	68850
2010-02-08	7.38	7.45	7.38	7.45	36950
2010-02-09	7.3	7.3	7.16	7.3	69100
2010-02-10	7.52	7.52	7.3	7.38	18920
2010-02-11	7.3	7.52	7.3	7.52	69430
2010-02-12	7.59	7.59	7.45	7.59	19460
2010-02-22	7.66	7.66	7.3	7.45	85690
2010-02-23	7.45	7.45	7.3	7.3	52340
2010-02-24	7.23	7.38	7.23	7.3	42320
2010-02-25	7.38	7.45	7.38	7.38	37350
2010-02-26	7.45	7.45	7.3	7.45	47780
2010-03-01	7.38	7.45	7.38	7.38	19900
2010-03-02	7.3	7.38	7.3	7.3	34150
2010-03-03	7.45	7.59	7.38	7.59	94500
2010-03-04	7.59	7.95	7.59	7.81	224660
2010-03-05	7.59	7.88	7.59	7.88	249310
2010-03-08	7.95	8.16	7.95	8.09	170570
2010-03-09	8.02	8.16	8.02	8.09	170860
2010-03-10	8.09	8.09	7.88	8.02	160410
2010-03-11	7.95	8.09	7.95	7.95	125670
2010-03-12	7.95	8.02	7.95	8.02	167970
2010-03-15	8.02	8.09	7.95	8.09	228430
2010-03-16	8.02	8.02	7.81	7.81	122850
2010-03-17	7.88	7.95	7.81	7.81	116180
2010-03-18	8.16	8.16	7.95	8.16	405520
2010-03-19	8.31	8.31	8.02	8.02	87910
2010-03-22	7.95	8.24	7.88	7.95	352110
2010-03-23	8.09	8.09	7.81	7.81	249880
2010-03-24	7.88	7.95	7.81	7.88	120160
2010-03-25	7.81	7.88	7.66	7.73	136400
2010-03-26	7.73	7.81	7.59	7.59	170490
2010-03-29	7.52	7.73	7.52	7.66	202040
2010-03-30	7.52	7.52	7.3	7.3	818140
2010-03-31	7.16	7.16	6.95	6.95	685530
2010-04-01	6.82	7.16	6.8	7.02	264820
2010-04-02	6.96	7.09	6.87	6.99	160840
2010-04-05	7.15	7.15	6.95	6.96	182520
