time	open	high	low	close	volume
2011-07-29	3.29	3.29	3.29	3.29	3630
2011-08-01	3.13	3.13	3.13	3.13	25980
2011-08-02	3.0	3.0	3.0	3.0	10
2011-08-03	2.87	2.87	2.87	2.87	10
2011-08-04	2.75	2.75	2.75	2.75	10100
2011-08-05	2.62	2.62	2.62	2.62	2010
2011-08-08	2.49	2.49	2.49	2.49	1010
2011-08-09	2.4	2.4	2.4	2.4	3020
2011-08-10	2.3	2.36	2.3	2.3	53900
2011-08-11	2.2	2.2	2.2	2.2	21450
2011-08-12	2.11	2.3	2.11	2.24	61350
2011-08-15	2.24	2.24	2.14	2.17	54560
2011-08-16	2.17	2.17	2.08	2.14	37120
2011-08-17	2.11	2.24	2.11	2.2	58370
2011-08-18	2.27	2.3	2.27	2.3	83530
2011-08-19	2.27	2.33	2.24	2.3	17230
2011-08-22	2.3	2.4	2.3	2.4	180830
2011-08-23	2.43	2.43	2.3	2.3	95500
2011-08-24	2.36	2.36	2.27	2.27	61500
2011-08-25	2.33	2.33	2.27	2.33	69830
2011-08-26	2.3	2.43	2.3	2.43	93540
2011-08-29	2.52	2.52	2.52	2.52	88220
2011-08-30	2.62	2.62	2.62	2.62	16840
2011-08-31	2.75	2.75	2.71	2.75	119870
2011-09-01	2.87	2.87	2.81	2.87	97290
2011-09-05	2.78	2.84	2.75	2.75	57550
2011-09-06	2.65	2.78	2.65	2.68	42890
2011-09-07	2.78	2.81	2.78	2.81	91660
2011-09-08	2.75	2.91	2.75	2.81	25680
2011-09-09	2.71	2.87	2.71	2.87	36320
2011-09-12	2.94	3.0	2.91	3.0	50840
2011-09-13	2.87	3.03	2.87	3.0	46500
2011-09-14	2.97	3.03	2.87	2.87	54130
2011-09-15	2.87	2.94	2.78	2.94	80180
2011-09-16	2.97	2.97	2.84	2.94	63020
2011-09-19	2.87	2.94	2.84	2.87	106450
2011-09-20	2.81	2.87	2.81	2.81	15520
2011-09-21	2.84	2.94	2.81	2.91	136540
2011-09-22	2.91	3.0	2.87	2.94	174240
2011-09-23	2.94	2.94	2.81	2.81	139100
2011-09-26	2.75	2.75	2.75	2.75	9030
2011-09-27	2.78	2.84	2.78	2.84	38750
2011-09-28	2.87	2.87	2.84	2.87	27300
