time	open	high	low	close	volume
2006-12-28	7.74	7.74	7.74	7.74	12560
2006-12-29	8.08	8.11	8.08	8.11	49130
2007-01-02	8.08	8.08	7.74	7.74	26320
2007-01-03	7.56	7.56	7.36	7.36	16550
2007-01-04	7.22	7.72	7.22	7.56	9130
2007-01-05	7.82	7.82	7.39	7.39	25750
2007-01-08	7.13	7.13	7.03	7.03	29870
2007-01-09	7.05	7.37	7.05	7.37	30150
2007-01-10	7.01	7.22	7.01	7.22	27600
2007-01-11	7.22	7.22	7.05	7.05	23500
2007-01-12	7.05	7.05	6.88	6.88	31600
2007-01-15	6.84	6.88	6.7	6.88	30030
2007-01-16	6.88	6.88	6.88	6.88	31400
2007-01-17	7.22	7.22	7.22	7.22	51370
2007-01-18	7.56	7.58	7.56	7.58	21800
2007-01-19	7.91	7.94	7.91	7.91	67130
2007-01-22	7.51	7.51	7.51	7.51	46490
2007-01-23	7.17	7.51	7.17	7.51	38860
2007-01-24	7.87	7.87	7.87	7.87	64890
2007-01-25	7.91	7.91	7.56	7.56	53740
2007-01-26	7.56	7.56	7.24	7.24	21460
2007-01-29	7.31	7.34	7.31	7.34	4670
2007-01-30	7.7	7.7	7.7	7.7	16400
2007-01-31	7.87	7.87	7.7	7.7	24030
2007-02-01	7.7	7.7	7.37	7.37	19600
2007-02-02	7.56	7.56	7.56	7.56	38240
2007-02-05	7.56	7.56	7.22	7.22	30620
2007-02-06	7.58	7.58	7.58	7.58	33250
2007-02-07	7.96	7.96	7.96	7.96	123100
2007-02-08	8.35	8.35	8.08	8.08	79940
2007-02-09	8.16	8.16	8.08	8.08	52850
2007-02-12	8.42	8.47	8.42	8.47	38460
2007-02-13	8.85	8.85	8.85	8.85	14940
2007-02-14	9.28	9.28	9.28	9.28	19670
2007-02-15	9.71	9.71	9.71	9.71	36960
2007-02-26	10.14	10.14	10.14	10.14	15100
2007-02-27	10.57	10.57	10.57	10.57	6570
2007-02-28	11.09	11.09	10.49	10.57	48100
2007-03-01	11.09	11.09	11.09	11.09	52400
2007-03-02	11.6	11.6	11.6	11.6	30940
2007-03-05	12.12	12.12	12.12	12.12	42970
2007-03-06	12.72	12.72	12.72	12.72	34240
2007-03-07	13.32	13.32	13.32	13.32	77200
2007-03-08	13.24	13.24	13.24	13.24	91110
2007-03-09	12.89	12.89	12.63	12.63	54390
2007-03-12	12.63	12.63	12.63	12.63	47380
2007-03-13	12.63	12.89	12.63	12.63	37750
2007-03-14	13.24	13.24	12.63	12.63	43640
2007-03-15	12.63	13.24	12.63	12.63	116960
2007-03-16	12.03	13.06	12.03	13.06	101640
2007-03-19	13.67	13.67	13.67	13.67	54740
2007-03-20	13.67	13.67	13.58	13.58	62680
