time	open	high	low	close	volume
2006-12-05	19.12	19.12	19.12	19.12	25500
2006-12-06	18.24	18.24	18.24	18.24	17860
2006-12-07	17.36	17.36	17.36	17.36	24160
2006-12-08	16.62	16.62	16.62	16.62	20800
2006-12-11	16.62	17.36	16.62	17.36	334090
2006-12-12	18.09	18.09	17.65	17.65	536510
2006-12-13	18.53	18.53	18.53	18.53	362570
2006-12-14	19.42	19.42	19.42	19.42	164500
2006-12-15	20.3	20.3	20.3	20.3	123100
2006-12-18	21.18	21.18	21.18	21.18	194960
2006-12-19	22.21	22.21	22.21	22.21	124150
2006-12-20	23.24	23.24	23.24	23.24	140780
2006-12-21	24.27	24.27	22.36	22.36	810590
2006-12-22	21.33	21.33	21.33	21.33	495650
2006-12-25	20.3	22.36	20.3	22.36	476620
2006-12-26	23.39	23.39	21.62	23.39	308470
2006-12-27	24.42	24.42	24.42	24.42	264550
2006-12-28	24.42	24.42	24.42	24.42	456580
2006-12-29	24.42	24.57	24.42	24.57	190770
2007-01-02	24.71	24.71	23.83	23.83	319150
2007-01-03	23.83	24.71	23.83	24.71	148900
2007-01-04	25.89	25.89	25.89	25.89	147690
2007-01-05	27.07	27.07	27.07	27.07	120020
2007-01-08	28.39	28.39	28.39	28.39	462770
2007-01-09	29.71	29.71	29.71	29.71	277330
2007-01-10	31.18	31.18	31.18	31.18	107950
2007-01-11	32.66	32.66	32.66	32.66	81780
2007-01-12	34.27	34.27	34.27	34.27	40030
2007-01-15	35.89	35.89	35.89	35.89	60260
2007-01-16	37.66	37.66	37.66	37.66	86650
2007-01-17	39.42	39.42	39.42	39.42	560630
2007-01-18	40.89	41.33	40.89	41.33	680450
2007-01-19	43.39	43.39	43.39	43.39	352290
2007-01-22	43.39	43.39	43.39	43.39	403670
2007-01-23	44.13	44.13	43.39	43.39	364140
2007-01-24	42.66	42.66	41.33	41.33	187780
2007-01-25	39.27	39.27	39.27	39.27	143760
2007-01-26	37.36	37.36	37.36	37.36	269010
2007-01-29	35.6	39.13	35.6	39.13	532680
2007-01-30	41.04	41.04	41.04	41.04	222990
2007-01-31	42.95	42.95	42.95	42.95	388540
2007-02-01	42.95	42.95	40.89	40.89	222470
2007-02-02	41.78	41.78	41.78	41.78	300220
2007-02-05	43.83	43.83	41.78	41.78	421520
2007-02-06	41.78	41.78	41.48	41.78	232670
2007-02-07	41.78	41.78	40.6	41.78	210670
2007-02-08	39.72	39.72	39.72	39.72	230810
2007-02-09	37.8	39.72	37.8	39.72	347640
2007-02-12	41.19	41.63	41.19	41.33	262090
2007-02-13	41.19	41.19	41.19	41.19	176390
2007-02-14	41.19	41.19	41.19	41.19	133820
2007-02-15	41.19	41.48	41.19	41.48	84200
2007-02-26	43.54	43.54	43.54	43.54	220850
2007-02-27	45.6	45.6	45.6	45.6	363780
2007-02-28	43.39	43.83	43.39	43.83	242460
2007-03-01	43.39	43.39	42.66	42.66	201560
2007-03-02	42.66	43.39	42.66	43.39	248670
2007-03-05	44.86	44.86	42.51	42.51	253140
2007-03-06	41.19	41.19	40.45	40.45	199690
2007-03-07	41.19	41.19	40.89	40.89	107360
2007-03-08	40.45	40.75	40.45	40.75	202710
2007-03-09	40.75	40.75	40.75	40.75	274150
2007-03-12	41.92	41.92	41.19	41.19	108730
2007-03-13	41.19	41.19	39.72	39.72	155250
2007-03-14	38.25	38.25	37.8	38.1	162770
2007-03-15	36.77	36.77	36.77	36.77	113970
2007-03-16	36.77	38.54	36.77	38.54	159200
2007-03-19	39.72	39.72	38.25	38.54	197370
2007-03-20	36.77	37.07	36.77	37.07	252180
2007-03-21	37.51	37.51	37.22	37.22	201850
2007-03-22	37.07	37.07	36.33	36.33	143090
2007-03-23	35.16	36.63	35.16	36.48	178760
2007-03-26	36.63	36.63	36.48	36.48	199420
