time	open	high	low	close	volume
2004-09-21	4.67	4.67	4.67	4.67	14010
2004-09-22	4.45	4.45	4.45	4.45	13870
2004-09-23	4.24	4.24	4.24	4.24	42930
2004-09-24	4.39	4.39	4.39	4.39	6500
2004-09-27	4.32	4.32	4.32	4.32	2680
2004-09-28	4.3	4.3	4.3	4.3	3030
2004-09-29	4.3	4.3	4.3	4.3	1860
2004-09-30	4.28	4.28	4.28	4.28	5100
2004-10-01	4.22	4.22	4.22	4.22	50
2004-10-04	4.14	4.14	4.14	4.14	2340
2004-10-05	4.12	4.12	4.12	4.12	1100
2004-10-06	4.1	4.1	4.1	4.1	500
2004-10-07	4.0	4.0	4.0	4.0	4360
2004-10-08	3.85	3.85	3.85	3.85	8960
2004-10-11	3.85	3.85	3.85	3.85	0
2004-10-12	3.67	3.67	3.67	3.67	7090
2004-10-13	3.5	3.5	3.5	3.5	8790
2004-10-14	3.46	3.46	3.46	3.46	6960
2004-10-15	3.59	3.59	3.59	3.59	700
2004-10-18	3.69	3.69	3.69	3.69	2080
2004-10-19	3.79	3.79	3.79	3.79	7650
2004-10-20	3.77	3.77	3.77	3.77	600
2004-10-21	3.59	3.59	3.59	3.59	3760
2004-10-22	3.59	3.59	3.59	3.59	1990
2004-10-25	3.65	3.65	3.65	3.65	7120
2004-10-26	3.75	3.75	3.75	3.75	5340
2004-10-27	3.71	3.71	3.71	3.71	2670
2004-10-28	3.71	3.71	3.71	3.71	4080
2004-10-29	3.71	3.71	3.71	3.71	5380
2004-11-01	3.75	3.75	3.75	3.75	2100
2004-11-02	3.83	3.83	3.83	3.83	7350
2004-11-03	3.83	3.83	3.83	3.83	4240
2004-11-04	3.79	3.79	3.79	3.79	860
2004-11-05	3.77	3.77	3.77	3.77	7980
2004-11-08	3.77	3.77	3.77	3.77	1930
2004-11-09	3.73	3.73	3.73	3.73	4400
2004-11-10	3.71	3.71	3.71	3.71	10
2004-11-11	3.75	3.75	3.75	3.75	100
2004-11-12	3.71	3.71	3.71	3.71	500
2004-11-15	3.69	3.69	3.69	3.69	3210
2004-11-16	3.67	3.67	3.67	3.67	6010
2004-11-17	3.67	3.67	3.67	3.67	2500
2004-11-18	3.69	3.69	3.69	3.69	5760
2004-11-19	3.71	3.71	3.71	3.71	12510
2004-11-22	3.71	3.71	3.71	3.71	140
2004-11-23	3.73	3.73	3.73	3.73	590
2004-11-24	3.73	3.73	3.73	3.73	300
2004-11-25	3.75	3.75	3.75	3.75	3100
2004-11-26	3.73	3.73	3.73	3.73	880
2004-11-29	3.75	3.75	3.75	3.75	1230
2004-11-30	3.81	3.81	3.81	3.81	2730
2004-12-01	3.89	3.89	3.89	3.89	14800
2004-12-02	3.89	3.89	3.89	3.89	200
2004-12-03	3.81	3.81	3.81	3.81	1570
2004-12-06	3.85	3.85	3.85	3.85	600
2004-12-07	3.79	3.79	3.79	3.79	4100
2004-12-08	3.79	3.79	3.79	3.79	400
2004-12-09	3.83	3.83	3.83	3.83	1020
2004-12-10	3.85	3.85	3.85	3.85	750
2004-12-13	3.83	3.83	3.83	3.83	150
2004-12-14	3.85	3.85	3.85	3.85	10
2004-12-15	3.83	3.83	3.83	3.83	2100
2004-12-16	3.83	3.83	3.83	3.83	3820
2004-12-17	3.83	3.83	3.83	3.83	240
2004-12-20	3.83	3.83	3.83	3.83	1700
2004-12-21	3.83	3.83	3.83	3.83	2340
2004-12-22	3.93	3.93	3.93	3.93	2430
2004-12-23	4.12	4.12	4.12	4.12	9940
2004-12-24	4.32	4.32	4.32	4.32	3790
2004-12-27	4.43	4.43	4.43	4.43	6120
2004-12-28	4.39	4.39	4.39	4.39	7390
2004-12-29	4.18	4.18	4.18	4.18	3280
2004-12-30	4.1	4.1	4.1	4.1	3400
2004-12-31	4.06	4.06	4.06	4.06	6900
2005-01-04	3.89	3.89	3.89	3.89	13750
2005-01-05	3.93	3.93	3.93	3.93	2170
2005-01-06	3.81	3.81	3.81	3.81	3580
2005-01-07	3.93	3.93	3.93	3.93	100
2005-01-10	3.83	3.83	3.83	3.83	30
2005-01-11	3.93	3.93	3.93	3.93	10
2005-01-12	3.87	3.87	3.87	3.87	10
2005-01-13	3.89	3.89	3.89	3.89	100
2005-01-14	3.87	3.87	3.87	3.87	500
