time	open	high	low	close	volume
2006-12-15	5.76	16.45	0.0	7.5	293000
2006-12-18	6.99	7.5	6.99	7.5	340200
2006-12-19	8.02	8.12	7.44	7.5	326900
2006-12-20	8.89	8.89	8.06	8.06	651600
2006-12-21	8.22	8.22	7.72	7.72	200100
2006-12-22	6.95	6.95	6.95	6.95	41300
2006-12-25	6.25	6.25	6.25	6.25	289000
2006-12-26	5.63	6.66	5.63	6.54	435500
2006-12-27	6.58	6.96	6.58	6.58	376200
2006-12-28	6.83	6.87	6.17	6.58	162400
2006-12-29	5.88	6.41	5.88	6.37	235500
2007-01-02	6.5	6.58	6.25	6.37	236800
2007-01-03	6.31	6.5	6.29	6.5	301900
2007-01-04	6.5	6.97	6.5	6.97	213900
2007-01-05	7.63	7.63	7.63	7.63	357100
2007-01-08	8.39	8.39	6.87	7.24	317300
2007-01-09	7.4	7.81	6.64	7.69	535800
2007-01-10	8.38	8.38	7.81	8.1	606000
2007-01-11	7.61	8.35	7.61	8.1	520400
2007-01-12	8.97	8.97	8.22	8.76	759000
2007-01-15	9.25	9.46	8.87	9.17	492600
2007-01-16	9.33	9.66	8.63	8.96	304400
2007-01-17	9.0	9.0	8.29	8.29	212100
2007-01-18	7.57	8.84	7.57	8.72	461700
2007-01-19	8.84	9.05	8.63	8.68	482500
2007-01-22	8.63	8.63	7.89	8.68	279700
2007-01-23	8.25	8.43	8.02	8.18	272400
2007-01-24	8.26	8.43	7.38	8.24	236700
2007-01-25	8.31	8.31	7.73	7.94	189100
2007-01-26	8.02	8.22	7.73	8.22	208500
2007-01-29	8.39	8.63	8.39	8.63	257800
2007-01-30	8.72	9.43	8.63	9.03	259000
2007-01-31	9.29	9.29	8.76	9.0	215200
2007-02-01	9.05	9.29	8.18	8.72	236400
2007-02-02	8.76	8.76	8.22	8.59	273700
2007-02-05	8.63	9.05	8.45	8.53	260800
2007-02-06	8.59	8.63	8.43	8.51	202900
2007-02-07	8.51	8.59	8.22	8.39	391400
2007-02-08	8.43	8.43	7.81	8.0	432100
2007-02-09	7.89	8.05	7.81	8.02	314700
2007-02-12	8.1	8.43	8.1	8.43	173000
2007-02-13	8.47	8.59	8.29	8.48	173600
2007-02-14	8.51	8.68	8.47	8.51	221300
2007-02-15	8.55	8.63	8.51	8.61	246500
2007-02-26	8.84	9.47	8.8	9.47	379500
2007-02-27	9.91	10.24	9.46	9.58	331600
2007-02-28	9.87	9.87	8.93	9.09	381700
2007-03-01	9.27	9.27	8.88	9.13	239600
2007-03-02	9.46	9.46	8.96	9.13	271400
2007-03-05	9.0	9.25	9.0	9.15	261600
2007-03-06	9.21	9.21	8.97	9.0	302400
2007-03-07	9.05	9.17	8.63	8.72	293000
2007-03-08	8.72	9.82	8.72	8.96	234500
2007-03-09	9.05	9.25	8.96	8.96	302400
2007-03-12	9.25	9.47	9.05	9.29	412100
2007-03-13	9.87	9.87	9.37	9.49	384900
2007-03-14	9.66	9.66	8.84	9.49	371700
2007-03-15	9.25	9.25	8.8	8.91	319700
2007-03-16	9.46	9.79	8.97	9.42	423700
2007-03-19	10.35	10.35	10.35	10.35	669700
2007-03-20	11.35	11.38	10.32	10.49	702700
2007-03-21	10.69	11.02	10.4	10.49	505300
2007-03-22	10.44	10.51	10.24	10.36	498400
2007-03-23	10.4	10.49	10.09	10.21	542900
2007-03-26	10.07	10.36	9.46	10.21	459600
2007-03-27	9.37	9.37	8.78	10.21	504300
2007-03-28	8.64	9.75	8.63	9.75	450100
2007-03-29	9.87	10.07	8.88	9.75	426700
2007-03-30	9.87	9.87	9.29	9.75	345500
2007-04-02	9.66	9.66	8.94	9.27	271400
2007-04-03	9.21	9.29	8.96	9.27	200700
2007-04-04	9.46	9.66	9.46	9.47	187800
2007-04-05	9.54	9.54	9.25	9.33	159100
2007-04-06	9.33	9.42	9.05	9.4	234300
2007-04-09	9.5	9.87	9.46	9.66	354300
2007-04-10	9.66	9.83	9.54	9.6	303800
2007-04-11	9.62	9.66	9.48	9.6	228200
2007-04-12	9.6	9.62	9.42	9.42	257600
2007-04-13	9.29	9.46	9.29	9.35	233100
2007-04-16	9.33	9.33	8.84	8.88	336200
2007-04-17	8.96	9.05	8.63	9.05	319100
2007-04-18	9.13	9.46	9.05	9.42	262100
2007-04-19	9.37	9.46	9.05	9.16	199300
2007-04-20	9.11	9.21	8.96	9.17	213300
2007-04-23	9.33	9.33	8.84	8.84	392800
2007-04-24	8.74	8.92	8.67	8.83	349700
2007-04-25	8.72	9.09	8.72	9.0	387400
2007-05-02	9.09	9.17	8.96	8.99	179700
2007-05-03	9.09	9.09	8.92	9.0	99600
2007-05-04	8.89	9.02	8.76	8.98	115000
2007-05-07	9.09	9.29	9.09	9.29	281900
2007-05-08	9.38	9.5	9.29	9.31	341300
2007-05-09	9.46	9.5	9.13	9.25	284900
2007-05-10	9.31	9.31	9.09	9.25	156900
2007-05-11	9.25	9.48	9.25	9.48	387600
2007-05-14	9.71	10.33	8.49	10.08	601800
2007-05-15	10.33	10.33	9.73	9.89	462700
2007-05-16	9.79	9.91	9.76	9.83	342500
2007-05-17	9.83	10.08	9.71	10.08	484300
2007-05-18	9.95	10.24	9.95	10.04	395600
2007-05-21	10.26	10.26	10.01	10.05	341600
