time	open	high	low	close	volume
2011-07-28	1.75	1.75	1.75	1.75	30
2011-07-29	1.66	1.66	1.66	1.66	10
2011-08-01	1.58	1.58	1.58	1.58	10
2011-08-02	1.5	1.5	1.5	1.5	10
2011-08-03	1.43	1.43	1.43	1.43	10
2011-08-04	1.36	1.36	1.36	1.36	2990
2011-08-05	1.3	1.3	1.3	1.3	10
2011-08-08	1.24	1.24	1.24	1.24	1200
2011-08-09	1.18	1.18	1.18	1.18	60
2011-08-10	1.13	1.13	1.13	1.13	50
2011-08-11	1.07	1.07	1.07	1.07	110
2011-08-12	1.03	1.03	1.02	1.02	820
2011-08-15	0.98	1.07	0.98	0.98	3550
2011-08-16	0.93	0.98	0.93	0.93	14710
2011-08-17	0.89	0.89	0.89	0.89	15970
2011-08-18	0.85	0.85	0.85	0.85	6930
2011-08-19	0.89	0.89	0.82	0.82	35040
2011-08-22	0.81	0.85	0.81	0.83	55030
2011-08-23	0.87	0.87	0.83	0.83	33840
2011-08-24	0.8	0.87	0.8	0.83	1680
2011-08-25	0.87	0.87	0.83	0.83	10040
2011-08-26	0.87	0.87	0.84	0.85	12660
2011-08-29	0.89	0.89	0.89	0.89	10500
2011-08-30	0.93	0.93	0.93	0.93	10
2011-08-31	0.97	0.97	0.97	0.97	2020
2011-09-01	1.02	1.02	1.02	1.02	130
2011-09-05	1.07	1.07	1.02	1.06	870
2011-09-06	1.02	1.02	1.01	1.01	870
2011-09-07	0.96	1.06	0.96	0.97	7270
2011-09-08	1.02	1.02	1.02	1.02	12020
2011-09-09	1.06	1.07	1.02	1.02	5590
2011-09-12	1.02	1.02	1.02	1.02	10670
2011-09-13	1.03	1.03	1.0	1.0	8860
2011-09-14	1.0	1.04	0.96	1.04	20410
2011-09-15	0.99	1.02	0.99	1.02	7670
2011-09-16	1.02	1.02	0.97	0.97	19040
2011-09-19	0.97	0.97	0.97	0.97	8630
2011-09-20	0.94	0.97	0.94	0.94	10760
2011-09-21	0.97	0.98	0.96	0.96	6510
2011-09-22	0.96	0.98	0.96	0.98	2310
2011-09-23	0.97	1.01	0.95	0.95	13020
2011-09-26	0.95	0.98	0.95	0.98	840
2011-09-27	0.97	0.97	0.97	0.97	50
2011-09-28	0.94	0.94	0.94	0.94	1010
2011-09-29	0.91	0.98	0.89	0.89	1870
2011-09-30	0.89	0.93	0.85	0.85	1130
2011-10-03	0.82	0.82	0.82	0.82	1020
2011-10-04	0.82	0.85	0.8	0.85	2340
2011-10-05	0.89	0.89	0.89	0.89	24460
2011-10-06	0.93	0.93	0.93	0.93	1560
2011-10-07	0.97	0.97	0.97	0.97	6790
2011-10-10	1.02	1.02	1.02	1.02	11380
2011-10-11	1.07	1.07	1.07	1.07	46550
2011-10-12	1.11	1.11	1.02	1.07	17730
2011-10-13	1.07	1.07	1.07	1.07	1800
2011-10-14	1.02	1.11	1.02	1.11	28670
2011-10-17	1.09	1.09	1.06	1.06	3430
2011-10-18	1.01	1.07	1.01	1.02	306060
2011-10-19	1.02	1.02	1.02	1.02	10
2011-10-20	0.97	1.02	0.97	1.02	3010
2011-10-21	1.02	1.02	1.02	1.02	2000
2011-10-24	1.02	1.02	1.02	1.02	0
2011-10-25	0.98	0.98	0.97	0.97	21360
2011-10-26	0.93	0.93	0.93	0.93	14240
2011-10-27	0.9	0.9	0.88	0.9	13160
