time	open	high	low	close	volume
2009-06-18	6.01	6.01	6.01	6.01	3000
2009-06-19	6.31	6.31	6.31	6.31	1010
2009-06-22	6.61	6.61	6.51	6.61	213500
2009-06-23	6.91	6.91	6.61	6.61	197450
2009-06-24	6.61	6.63	6.28	6.28	81740
2009-06-25	6.26	6.31	5.98	5.98	37430
2009-06-26	5.71	5.71	5.71	5.71	11920
2009-06-29	5.43	5.43	5.43	5.43	10870
2009-06-30	5.18	5.18	5.18	5.18	8630
2009-07-01	4.93	4.93	4.93	4.93	2250
2009-07-02	4.71	4.71	4.71	4.71	75870
2009-07-03	4.48	4.93	4.48	4.78	58710
2009-07-06	4.78	4.88	4.63	4.81	54660
2009-07-07	4.58	4.71	4.58	4.61	46060
2009-07-08	4.51	4.63	4.38	4.63	23860
2009-07-09	4.63	4.76	4.61	4.66	14990
2009-07-10	4.63	4.76	4.63	4.63	9160
2009-07-13	4.66	4.66	4.46	4.58	25080
2009-07-14	4.58	4.58	4.36	4.38	16380
2009-07-15	4.58	4.58	4.43	4.48	5360
2009-07-16	4.68	4.68	4.61	4.66	35230
2009-07-17	4.51	4.53	4.51	4.51	8720
2009-07-20	4.38	4.51	4.31	4.46	18190
2009-07-21	4.46	4.56	4.46	4.48	4760
2009-07-22	4.48	4.48	4.41	4.48	12730
2009-07-23	4.48	4.61	4.48	4.51	6700
2009-07-24	4.73	4.73	4.63	4.73	82030
2009-07-27	4.96	4.96	4.78	4.86	51220
2009-07-28	4.63	4.88	4.63	4.66	22570
2009-07-29	4.58	4.68	4.58	4.63	38390
2009-07-30	4.56	4.56	4.51	4.51	19950
2009-07-31	4.63	4.63	4.51	4.56	20790
2009-08-03	4.46	4.51	4.46	4.48	25320
2009-08-04	4.58	4.58	4.48	4.48	30660
2009-08-05	4.46	4.58	4.46	4.58	31270
2009-08-06	4.56	4.66	4.56	4.63	21300
2009-08-07	4.61	4.61	4.51	4.51	34420
2009-08-10	4.68	4.68	4.51	4.66	48120
2009-08-11	4.63	4.63	4.61	4.63	14880
2009-08-12	4.53	4.63	4.53	4.53	38040
2009-08-13	4.53	4.61	4.53	4.56	38360
2009-08-14	4.61	4.61	4.53	4.61	66180
2009-08-17	4.81	4.83	4.81	4.83	109270
2009-08-18	5.03	5.03	4.96	5.01	146440
2009-08-19	5.03	5.06	4.91	4.96	57990
2009-08-20	4.81	4.88	4.81	4.81	45040
2009-08-21	4.76	4.88	4.76	4.76	46000
2009-08-24	4.78	4.86	4.71	4.86	59730
2009-08-25	4.71	4.81	4.71	4.78	22950
2009-08-26	4.73	4.86	4.73	4.83	15760
2009-08-27	4.88	4.88	4.78	4.88	26030
2009-08-28	4.88	5.01	4.88	4.98	165310
2009-08-31	5.11	5.11	5.03	5.11	90340
2009-09-01	5.36	5.36	5.06	5.36	166010
2009-09-03	5.48	5.51	5.36	5.48	68670
2009-09-04	5.46	5.51	5.36	5.46	117930
2009-09-07	5.38	5.46	5.21	5.38	93550
2009-09-08	5.41	5.48	5.31	5.41	97720
2009-09-09	5.38	5.41	5.23	5.38	48670
2009-09-10	5.36	5.43	5.18	5.36	156140
2009-09-11	5.43	5.61	5.43	5.48	92850
2009-09-14	5.51	5.56	5.48	5.56	37920
2009-09-15	5.56	5.83	5.56	5.83	242070
2009-09-16	6.06	6.06	5.93	5.93	117580
2009-09-17	5.93	6.08	5.73	5.73	155800
2009-09-18	5.71	5.88	5.51	5.86	138060
2009-09-21	5.91	5.98	5.63	5.63	87970
2009-09-22	5.63	5.73	5.51	5.66	65070
2009-09-23	5.66	5.88	5.56	5.66	133490
2009-09-24	5.51	5.66	5.51	5.51	92530
2009-09-25	5.51	5.56	5.33	5.56	121700
2009-09-28	5.56	5.56	5.33	5.38	93580
2009-09-29	5.33	5.56	5.33	5.38	117180
2009-09-30	5.38	5.38	5.13	5.33	80060
2009-10-01	5.51	5.51	5.16	5.31	32530
2009-10-02	5.08	5.13	5.06	5.08	82320
2009-10-05	5.06	5.33	5.06	5.13	36460
2009-10-06	5.36	5.38	5.13	5.38	244890
2009-10-07	5.63	5.63	5.51	5.63	205300
2009-10-08	5.91	5.91	5.86	5.91	219620
2009-10-09	6.18	6.18	6.16	6.18	268520
2009-10-12	6.48	6.48	6.21	6.48	324030
2009-10-13	6.71	6.71	6.48	6.48	259600
2009-10-14	6.28	6.63	6.26	6.63	274100
2009-10-15	6.36	6.76	6.33	6.33	117480
2009-10-16	6.18	6.31	6.03	6.06	127840
2009-10-19	6.03	6.36	6.03	6.26	104430
2009-10-20	6.41	6.41	6.06	6.13	59140
2009-10-21	5.88	6.08	5.83	5.83	190570
2009-10-22	6.06	6.08	5.81	5.88	59310
2009-10-23	5.98	5.98	5.73	5.76	122360
2009-10-26	6.03	6.03	5.88	5.88	214750
2009-10-27	6.08	6.08	5.76	5.78	134900
2009-10-28	5.78	6.01	5.78	5.83	89810
2009-10-29	5.66	5.73	5.56	5.58	88510
2009-10-30	5.58	5.76	5.51	5.71	111140
2009-11-02	5.43	5.51	5.43	5.43	60170
2009-11-03	5.23	5.26	5.18	5.18	53400
2009-11-04	5.43	5.43	5.21	5.21	44060
2009-11-05	5.41	5.46	5.41	5.46	48880
2009-11-06	5.63	5.66	5.41	5.41	19950
2009-11-09	5.18	5.56	5.16	5.21	82480
2009-11-10	5.33	5.33	5.15	5.33	13050
2009-11-11	5.26	5.51	5.21	5.39	44060
2009-11-12	5.39	5.49	5.39	5.39	32400
2009-11-13	5.39	5.39	5.15	5.39	27130
2009-11-16	5.26	5.36	5.23	5.26	8590
2009-11-17	5.26	5.26	5.26	5.26	36620
2009-11-18	5.18	5.31	5.15	5.31	28330
2009-11-19	5.15	5.49	5.15	5.33	16940
2009-11-20	5.33	5.33	5.26	5.28	15460
2009-11-23	5.39	5.39	5.21	5.21	21840
2009-11-24	5.21	5.21	5.05	5.05	11020
2009-11-25	4.9	4.92	4.82	4.82	32120
2009-11-26	4.59	4.59	4.59	4.59	44820
2009-11-27	4.39	4.8	4.39	4.77	13160
2009-11-30	4.64	4.77	4.54	4.62	22090
2009-12-01	4.67	4.85	4.67	4.85	67980
2009-12-02	4.87	4.87	4.69	4.69	3870
2009-12-03	4.56	4.77	4.56	4.77	2220
2009-12-04	4.77	4.95	4.74	4.95	16670
2009-12-07	4.74	5.0	4.92	5.0	11520
2009-12-08	5.05	5.05	4.77	5.0	13810
2009-12-09	4.8	4.92	4.77	4.77	21440
2009-12-10	4.74	4.74	4.54	4.54	4950
2009-12-11	4.33	4.36	4.33	4.33	10040
2009-12-14	4.23	4.54	4.23	4.41	4950
2009-12-15	4.41	4.49	4.36	4.49	5520
2009-12-16	4.28	4.31	4.28	4.28	11270
2009-12-17	4.28	4.28	4.08	4.13	16350
2009-12-18	4.21	4.28	4.18	4.21	7980
2009-12-21	4.31	4.36	4.31	4.31	2920
2009-12-22	4.41	4.41	4.13	4.23	10360
2009-12-23	4.36	4.41	4.13	4.41	12550
2009-12-24	4.41	4.41	4.36	4.41	17100
2009-12-25	4.49	4.62	4.49	4.62	17940
2009-12-28	4.62	4.69	4.49	4.49	9870
2009-12-29	4.41	4.62	4.33	4.62	14370
2009-12-30	4.69	4.69	4.44	4.62	78610
2009-12-31	4.62	4.74	4.62	4.74	73240
2010-01-04	4.74	4.98	4.74	4.98	12330
2010-01-05	4.98	5.18	4.98	5.0	18950
2010-01-06	4.8	4.98	4.77	4.77	53900
2010-01-07	4.74	4.98	4.72	4.98	22600
2010-01-08	5.08	5.08	4.95	4.95	18350
2010-01-11	4.95	4.95	4.8	4.8	1010
2010-01-12	4.67	4.72	4.67	4.69	4450
2010-01-13	4.77	4.77	4.56	4.77	17030
2010-01-14	4.87	4.95	4.64	4.87	260
2010-01-15	4.87	4.87	4.64	4.64	22210
2010-01-18	4.51	4.62	4.46	4.46	4140
2010-01-19	4.59	4.59	4.33	4.33	2010
2010-01-20	4.28	4.46	4.28	4.46	4670
2010-01-21	4.46	4.56	4.26	4.46	6770
2010-01-22	4.31	4.46	4.28	4.31	8270
2010-01-25	4.44	4.44	4.28	4.28	11010
2010-01-26	4.28	4.44	4.28	4.44	7810
2010-01-27	4.36	4.44	4.36	4.36	5190
2010-01-28	4.36	4.46	4.36	4.36	9940
2010-01-29	4.36	4.49	4.36	4.36	6900
2010-02-01	4.36	4.44	4.36	4.36	100320
2010-02-02	4.36	4.41	4.36	4.41	5580
2010-02-03	4.41	4.41	4.36	4.41	3970
2010-02-04	4.49	4.49	4.36	4.41	18060
2010-02-05	4.41	4.41	4.36	4.39	12100
2010-02-08	4.33	4.36	4.33	4.33	4900
2010-02-09	4.33	4.36	4.23	4.36	16820
2010-02-10	4.36	4.36	4.31	4.31	13680
2010-02-11	4.31	4.36	4.31	4.36	3080
2010-02-12	4.36	4.41	4.36	4.36	12320
2010-02-22	4.56	4.56	4.41	4.44	16350
2010-02-23	4.36	4.44	4.36	4.36	3000
2010-02-24	4.36	4.39	4.36	4.39	6960
2010-02-25	4.39	4.41	4.39	4.39	3710
2010-02-26	4.59	4.59	4.39	4.59	49930
2010-03-01	4.62	4.62	4.59	4.62	14930
2010-03-02	4.62	4.62	4.39	4.49	8620
2010-03-03	4.49	4.54	4.49	4.54	17460
2010-03-04	4.49	4.59	4.46	4.56	24690
2010-03-05	4.56	4.56	4.49	4.56	6730
2010-03-08	4.62	4.62	4.54	4.56	6600
2010-03-09	4.56	4.59	4.56	4.56	4100
2010-03-10	4.49	4.49	4.41	4.49	24610
2010-03-11	4.49	4.62	4.49	4.49	4140
2010-03-12	4.49	4.59	4.49	4.49	10710
2010-03-15	4.62	4.62	4.56	4.62	34380
2010-03-16	4.62	4.62	4.49	4.49	10180
2010-03-17	4.54	4.56	4.49	4.54	1920
2010-03-18	4.67	4.67	4.59	4.67	4650
2010-03-19	4.51	4.7	4.51	4.51	5500
2010-03-22	4.38	4.51	4.38	4.46	7670
2010-03-23	4.51	4.51	4.33	4.33	11920
2010-03-24	4.3	4.51	4.3	4.3	28270
2010-03-25	4.38	4.38	4.38	4.38	4610
2010-03-26	4.41	4.41	4.33	4.41	2160
2010-03-29	4.3	4.3	4.3	4.3	10000
2010-03-30	4.51	4.51	4.3	4.3	2610
2010-03-31	4.3	4.33	4.3	4.3	4170
2010-04-01	4.46	4.46	4.33	4.46	4030
2010-04-02	4.62	4.62	4.41	4.41	12860
2010-04-05	4.41	4.41	4.41	4.41	5300
2010-04-06	4.46	4.54	4.41	4.41	15760
2010-04-07	4.41	4.43	4.38	4.41	13890
2010-04-08	4.41	4.43	4.41	4.41	21030
