time	open	high	low	close	volume
2008-07-29	4.64	4.64	4.64	4.64	6080
2008-07-30	4.51	4.51	4.51	4.51	1340
2008-07-31	4.38	4.38	4.38	4.38	1060
2008-08-01	4.26	4.26	4.26	4.26	60
2008-08-04	4.13	4.13	4.13	4.13	50
2008-08-05	4.01	4.01	4.01	4.01	10
2008-08-06	3.9	3.9	3.9	3.9	20
2008-08-07	3.78	3.78	3.78	3.78	10
2008-08-08	3.68	3.68	3.68	3.68	10
2008-08-11	3.58	3.78	3.57	3.57	71510
2008-08-12	3.46	3.47	3.46	3.46	36830
2008-08-13	3.37	3.37	3.37	3.37	2880
2008-08-14	3.27	3.46	3.27	3.46	384410
2008-08-15	3.53	3.56	3.46	3.56	164690
2008-08-18	3.4	3.42	3.38	3.38	31260
2008-08-19	3.23	3.23	3.22	3.22	29310
2008-08-20	3.07	3.07	3.07	3.07	32610
2008-08-21	2.92	2.92	2.92	2.92	35130
2008-08-22	2.78	3.07	2.78	3.06	280120
2008-08-25	3.2	3.2	3.04	3.2	150850
2008-08-26	3.36	3.36	3.36	3.36	64420
2008-08-27	3.52	3.52	3.34	3.48	144270
2008-08-28	3.31	3.31	3.31	3.31	22770
2008-08-29	3.14	3.14	3.14	3.14	2080
2008-09-03	3.1	3.28	2.99	2.99	152920
2008-09-04	2.85	2.96	2.85	2.9	129190
2008-09-05	2.8	2.9	2.79	2.8	129570
2008-09-08	2.89	2.94	2.8	2.94	95240
2008-09-09	3.09	3.09	2.95	3.09	121270
2008-09-10	3.23	3.23	3.0	3.08	85850
2008-09-11	3.05	3.05	2.93	2.93	51350
2008-09-12	2.79	2.79	2.79	2.79	21190
2008-09-15	2.65	2.92	2.65	2.7	101410
2008-09-16	2.63	2.7	2.57	2.58	253500
2008-09-17	2.57	2.59	2.49	2.56	97410
2008-09-18	2.5	2.5	2.44	2.44	96820
2008-09-19	2.55	2.55	2.55	2.55	47390
2008-09-22	2.68	2.68	2.68	2.68	33740
2008-09-23	2.55	2.68	2.55	2.55	91100
2008-09-24	2.55	2.55	2.44	2.44	36300
2008-09-25	2.37	2.47	2.37	2.47	50240
2008-09-26	2.58	2.58	2.51	2.51	36110
2008-09-29	2.47	2.47	2.39	2.39	36560
2008-09-30	2.27	2.27	2.27	2.27	3400
2008-10-01	2.23	2.38	2.19	2.3	21710
2008-10-02	2.32	2.39	2.31	2.32	29780
2008-10-03	2.27	2.27	2.21	2.27	30270
2008-10-06	2.17	2.17	2.17	2.17	38890
2008-10-07	2.06	2.09	2.06	2.07	88180
2008-10-08	1.99	2.06	1.98	1.98	48350
2008-10-09	1.98	2.08	1.98	1.98	32490
2008-10-10	1.91	1.93	1.89	1.89	77470
2008-10-13	1.96	1.97	1.89	1.97	103330
2008-10-14	2.07	2.07	2.07	2.07	103360
2008-10-15	2.15	2.15	2.07	2.08	71120
2008-10-16	1.98	2.05	1.98	1.99	39390
2008-10-17	2.07	2.09	2.06	2.09	45300
2008-10-20	2.19	2.19	2.13	2.19	65980
2008-10-21	2.29	2.29	2.19	2.29	56220
2008-10-22	2.21	2.28	2.21	2.23	28180
2008-10-23	2.14	2.14	2.13	2.13	32520
2008-10-24	2.03	2.13	2.02	2.02	58890
2008-10-27	1.92	1.92	1.92	1.92	61440
2008-10-28	1.92	1.92	1.84	1.84	31490
2008-10-29	1.92	1.92	1.83	1.84	62550
2008-10-30	1.78	1.86	1.78	1.85	18220
2008-10-31	1.93	1.93	1.79	1.84	122120
2008-11-03	1.84	1.86	1.8	1.82	59340
2008-11-04	1.87	1.91	1.82	1.91	94420
2008-11-05	1.99	1.99	1.84	1.93	118630
2008-11-06	1.86	1.94	1.84	1.86	80880
2008-11-07	1.79	1.81	1.78	1.8	28340
2008-11-10	1.88	1.89	1.82	1.84	117220
2008-11-11	1.92	1.92	1.9	1.92	163900
2008-11-12	1.92	1.95	1.89	1.92	51750
