	time	open	high	low	close	volume
0	2018-12-25	16.31	16.31	16.31	16.31	0
1	2018-12-26	16.31	16.31	16.31	16.31	0
2	2018-12-27	16.31	16.31	16.31	16.31	0
3	2018-12-28	16.31	16.31	16.31	16.31	0
4	2019-01-02	16.31	16.31	16.31	16.31	0
5	2019-01-03	16.31	16.31	16.31	16.31	0
6	2019-01-04	16.31	16.31	16.31	16.31	0
7	2019-01-07	16.31	16.31	16.31	16.31	0
8	2019-01-08	9.83	9.83	9.83	9.83	58000
9	2019-01-09	9.83	9.83	9.83	9.83	0
10	2019-01-10	9.83	9.83	9.83	9.83	0
11	2019-01-11	9.83	9.83	9.83	9.83	0
12	2019-01-14	9.83	9.83	9.83	9.83	0
13	2019-01-15	9.83	9.83	9.83	9.83	0
14	2019-01-16	9.83	9.83	9.83	9.83	0
15	2019-01-17	9.83	9.83	9.83	9.83	0
16	2019-01-18	9.83	9.83	9.83	9.83	0
17	2019-01-21	9.83	9.83	9.83	9.83	0
18	2019-01-22	9.83	9.83	9.83	9.83	0
19	2019-01-23	9.83	9.83	9.83	9.83	0
20	2019-01-24	9.83	9.83	9.83	9.83	0
21	2019-01-25	9.83	9.83	9.83	9.83	0
22	2019-01-28	9.83	9.83	9.83	9.83	0
23	2019-01-29	9.83	9.83	9.83	9.83	0
24	2019-01-30	9.83	9.83	9.83	9.83	0
25	2019-01-31	9.83	9.83	9.83	9.83	0
26	2019-02-01	9.83	9.83	9.83	9.83	0
27	2019-02-11	9.83	9.83	9.83	9.83	0
28	2019-02-12	9.83	9.83	9.83	9.83	0
29	2019-02-13	9.83	9.83	9.83	9.83	0
30	2019-02-14	9.83	9.83	9.83	9.83	0
31	2019-02-15	9.83	9.83	9.83	9.83	0
32	2019-02-18	9.83	9.83	9.83	9.83	0
33	2019-02-19	9.83	9.83	9.83	9.83	0
34	2019-02-20	9.83	9.83	9.83	9.83	0
35	2019-02-21	9.83	9.83	9.83	9.83	0
36	2019-02-22	9.83	9.83	9.83	9.83	0
37	2019-02-25	13.7	13.7	13.7	13.7	100
38	2019-02-26	13.7	13.7	13.7	13.7	0
39	2019-02-27	13.7	13.7	13.7	13.7	0
40	2019-02-28	13.7	13.7	13.7	13.7	0
41	2019-03-01	13.7	13.7	13.7	13.7	0
42	2019-03-04	13.7	13.7	13.7	13.7	0
43	2019-03-05	13.7	13.7	13.7	13.7	0
44	2019-03-06	13.7	13.7	13.7	13.7	0
45	2019-03-07	13.7	13.7	13.7	13.7	0
46	2019-03-08	13.7	13.7	13.7	13.7	0
47	2019-03-11	13.7	13.7	13.7	13.7	0
48	2019-03-12	13.7	13.7	13.7	13.7	0
49	2019-03-13	13.7	13.7	13.7	13.7	0
50	2019-03-14	13.7	13.7	13.7	13.7	0
51	2019-03-15	13.7	13.7	13.7	13.7	0
52	2019-03-18	13.7	13.7	13.7	13.7	0
53	2019-03-19	13.7	13.7	13.7	13.7	0
54	2019-03-20	13.7	13.7	13.7	13.7	0
55	2019-03-21	13.7	13.7	13.7	13.7	0
56	2019-03-22	13.7	13.7	13.7	13.7	0
57	2019-03-25	13.7	13.7	13.7	13.7	0
58	2019-03-26	13.7	13.7	13.7	13.7	0
59	2019-03-27	13.7	13.7	13.7	13.7	0
60	2019-03-28	13.7	13.7	13.7	13.7	0
61	2019-03-29	13.7	13.7	13.7	13.7	0
62	2019-04-01	13.7	13.7	13.7	13.7	0
63	2019-04-02	13.7	13.7	13.7	13.7	0
64	2019-04-03	13.7	13.7	13.7	13.7	0
65	2019-04-04	13.7	13.7	13.7	13.7	0
66	2019-04-05	13.7	13.7	13.7	13.7	0
67	2019-04-08	13.7	13.7	13.7	13.7	0
68	2019-04-09	13.7	13.7	13.7	13.7	0
69	2019-04-10	13.7	13.7	13.7	13.7	0
70	2019-04-11	16.71	16.71	16.71	16.71	2900
71	2019-04-12	16.71	16.71	16.71	16.71	0
72	2019-04-16	16.71	16.71	16.71	16.71	0
73	2019-04-17	16.71	16.71	16.71	16.71	0
74	2019-04-18	16.71	16.71	16.71	16.71	0
75	2019-04-19	16.71	16.71	16.71	16.71	0
76	2019-04-22	16.71	16.71	16.71	16.71	0
77	2019-04-23	16.71	16.71	16.71	16.71	0
78	2019-04-24	16.71	16.71	16.71	16.71	0
79	2019-04-25	16.71	16.71	16.71	16.71	0
80	2019-04-26	16.71	16.71	16.71	16.71	0
81	2019-05-02	16.71	16.71	16.71	16.71	0
