	time	open	high	low	close	volume
0	2018-07-04	22.53	22.53	22.13	22.13	1300
1	2018-07-05	20.12	20.12	19.11	19.11	1300
2	2018-07-06	19.52	19.52	19.52	19.52	0
3	2018-07-09	20.12	20.12	20.12	20.12	200
4	2018-07-10	17.1	17.1	17.1	17.1	400
5	2018-07-11	18.17	18.17	14.7	14.75	2000
6	2018-07-12	14.96	14.96	14.96	14.96	200
7	2018-07-13	14.96	14.96	14.96	14.96	0
8	2018-07-16	14.96	14.96	14.96	14.96	0
9	2018-07-17	14.96	14.96	14.96	14.96	0
10	2018-07-18	14.96	14.96	14.96	14.96	0
11	2018-07-19	14.96	14.96	14.96	14.96	0
12	2018-07-20	14.96	14.96	14.96	14.96	0
13	2018-07-23	14.96	14.96	14.96	14.96	0
14	2018-07-24	14.96	14.96	14.43	14.43	300
15	2018-07-25	14.59	14.59	14.59	14.59	0
16	2018-07-26	14.59	14.59	14.59	14.59	0
17	2018-07-27	14.59	14.59	14.59	14.59	0
18	2018-07-30	12.45	12.56	12.45	12.56	300
19	2018-07-31	10.69	10.69	10.69	10.69	100
20	2018-08-01	10.69	10.69	10.69	10.69	0
21	2018-08-02	10.69	10.69	10.69	10.69	0
22	2018-08-03	10.69	10.69	10.69	10.69	0
23	2018-08-06	11.22	11.22	11.22	11.22	200
24	2018-08-07	11.22	11.22	11.22	11.22	0
25	2018-08-08	11.22	11.22	11.22	11.22	0
26	2018-08-09	11.22	11.22	11.22	11.22	0
27	2018-08-10	11.22	11.22	11.22	11.22	0
28	2018-08-13	11.22	11.22	11.22	11.22	0
29	2018-08-14	11.76	11.76	11.49	11.49	700
30	2018-08-15	11.54	11.54	11.54	11.54	0
31	2018-08-16	13.25	13.25	13.25	13.25	100
32	2018-08-17	15.23	15.23	15.23	15.23	100
33	2018-08-20	15.23	15.23	15.23	15.23	0
34	2018-08-21	14.43	17.42	14.43	17.42	900
35	2018-08-22	17.1	17.1	17.1	17.1	0
36	2018-08-23	17.1	17.1	17.1	17.1	0
37	2018-08-24	17.1	17.1	17.1	17.1	0
38	2018-08-27	17.1	17.1	17.1	17.1	0
39	2018-08-28	17.1	17.1	17.1	17.1	0
40	2018-08-29	14.96	14.96	14.96	14.96	500
41	2018-08-30	14.96	14.96	14.96	14.96	0
42	2018-08-31	14.96	14.96	14.96	14.96	0
43	2018-09-04	14.96	14.96	14.96	14.96	0
44	2018-09-05	14.96	14.96	14.96	14.96	0
45	2018-09-06	14.96	14.96	14.96	14.96	0
46	2018-09-07	14.96	14.96	14.96	14.96	0
47	2018-09-10	17.16	17.16	17.16	17.16	100
48	2018-09-11	17.16	17.16	17.16	17.16	0
49	2018-09-12	17.16	17.16	17.16	17.16	0
50	2018-09-13	17.16	17.16	17.16	17.16	0
51	2018-09-14	17.16	17.16	17.16	17.16	0
52	2018-09-17	17.16	17.16	17.16	17.16	0
53	2018-09-18	17.16	17.16	17.16	17.16	0
54	2018-09-19	17.16	17.16	17.16	17.16	0
55	2018-09-20	17.16	17.16	17.16	17.16	0
56	2018-09-21	17.16	17.16	17.16	17.16	0
57	2018-09-24	17.16	17.16	17.16	17.16	0
58	2018-09-25	17.16	17.16	17.16	17.16	0
59	2018-09-26	17.16	17.16	17.16	17.16	0
60	2018-09-27	17.16	17.16	17.16	17.16	0
61	2018-09-28	17.16	17.16	17.16	17.16	0
62	2018-10-01	17.16	17.16	17.16	17.16	0
63	2018-10-02	17.16	17.16	17.16	17.16	0
64	2018-10-03	17.16	17.16	17.16	17.16	0
65	2018-10-04	19.67	19.67	19.67	19.67	200
66	2018-10-05	19.67	19.67	19.67	19.67	0
67	2018-10-08	19.67	19.67	19.67	19.67	0
68	2018-10-09	19.67	19.67	19.67	19.67	0
69	2018-10-10	19.67	19.67	19.67	19.67	0
70	2018-10-11	16.73	16.73	16.73	16.73	500
71	2018-10-12	16.73	16.73	16.73	16.73	0
72	2018-10-15	16.73	16.73	16.73	16.73	0
73	2018-10-16	16.57	16.57	15.61	15.61	200
74	2018-10-17	16.14	16.14	16.14	16.14	100
75	2018-10-18	16.14	16.14	16.14	16.14	0
76	2018-10-19	16.14	16.14	16.14	16.14	0
77	2018-10-22	16.14	16.14	16.14	16.14	0
78	2018-10-23	16.14	16.14	16.14	16.14	0
79	2018-10-24	16.14	16.14	16.14	16.14	100
80	2018-10-25	16.14	16.14	16.14	16.14	0
81	2018-10-26	16.14	16.14	16.14	16.14	0
82	2018-10-29	16.14	16.14	16.14	16.14	0
83	2018-10-30	16.14	16.14	16.14	16.14	0
84	2018-10-31	16.14	16.14	16.14	16.14	0
85	2018-11-01	16.14	16.14	16.14	16.14	0
86	2018-11-02	16.14	16.14	16.14	16.14	0
87	2018-11-05	16.14	16.14	16.14	16.14	0
88	2018-11-06	16.14	16.14	16.14	16.14	0
89	2018-11-07	16.14	16.14	16.14	16.14	0
90	2018-11-08	17.63	17.63	17.63	17.63	100
91	2018-11-09	17.63	17.63	17.63	17.63	0
92	2018-11-12	17.63	17.63	17.63	17.63	0
93	2018-11-13	17.63	17.63	17.63	17.63	0
94	2018-11-14	17.63	17.63	17.63	17.63	0
95	2018-11-15	15.48	15.48	15.48	15.48	200
96	2018-11-16	15.48	15.48	15.48	15.48	0
97	2018-11-19	15.48	15.48	15.48	15.48	0
98	2018-11-20	15.48	15.48	15.48	15.48	0
99	2018-11-21	15.48	15.48	15.48	15.48	0
100	2018-11-22	15.48	15.48	15.48	15.48	0
101	2018-11-23	15.48	15.48	15.48	15.48	0
102	2018-11-26	15.48	15.48	15.48	15.48	0
103	2018-11-27	15.48	15.48	15.48	15.48	0
104	2018-11-28	15.48	15.48	15.48	15.48	0
105	2018-11-29	15.48	15.48	15.48	15.48	0
106	2018-11-30	15.48	15.48	15.48	15.48	0
107	2018-12-03	15.48	15.48	15.48	15.48	0
108	2018-12-04	15.48	15.48	15.48	15.48	0
109	2018-12-05	15.48	15.48	15.48	15.48	100
110	2018-12-06	15.48	16.03	15.48	16.03	200
111	2018-12-07	15.75	16.03	16.03	16.03	0
112	2018-12-10	15.75	16.03	16.03	16.03	0
113	2018-12-11	15.48	15.48	15.48	15.48	900
114	2018-12-12	15.48	15.48	15.48	15.48	0
115	2018-12-13	15.48	15.48	15.48	15.48	0
116	2018-12-14	15.48	15.48	15.48	15.48	0
117	2018-12-17	15.48	15.48	15.48	15.48	0
118	2018-12-18	17.08	17.08	17.08	17.08	100
119	2018-12-19	17.08	17.08	17.08	17.08	0
120	2018-12-20	19.62	19.62	19.62	19.62	100
121	2018-12-21	19.62	19.62	19.62	19.62	0
122	2018-12-24	19.62	19.62	19.62	19.62	0
123	2018-12-25	19.62	19.62	19.62	19.62	0
124	2018-12-26	19.62	19.62	19.62	19.62	0
125	2018-12-27	17.69	17.69	17.69	17.69	200
126	2018-12-28	17.69	17.69	17.69	17.69	0
127	2019-01-02	17.69	17.69	17.69	17.69	0
128	2019-01-03	17.69	17.69	17.69	17.69	0
129	2019-01-04	15.04	15.04	15.04	15.04	1100
130	2019-01-07	15.04	15.04	15.04	15.04	0
131	2019-01-08	13.82	13.82	13.82	13.82	100
132	2019-01-09	13.82	14.4	14.4	14.4	0
133	2019-01-10	13.82	14.4	14.4	14.4	0
134	2019-01-11	13.82	14.4	14.4	14.4	0
135	2019-01-14	13.82	14.4	14.4	14.4	0
136	2019-01-15	13.82	14.4	14.4	14.4	0
137	2019-01-16	13.82	14.4	14.4	14.4	0
138	2019-01-17	13.82	14.4	14.4	14.4	0
139	2019-01-18	13.82	14.4	14.4	14.4	0
140	2019-01-21	13.88	13.88	13.88	13.88	1800
141	2019-01-22	13.88	13.88	13.88	13.88	0
142	2019-01-23	13.88	13.88	13.88	13.88	0
143	2019-01-24	13.93	13.93	13.93	13.93	100
144	2019-01-25	13.93	13.93	13.93	13.93	0
145	2019-01-28	13.93	13.93	13.93	13.93	0
146	2019-01-29	13.93	13.93	13.93	13.93	0
147	2019-01-30	13.93	13.93	13.93	13.93	0
148	2019-01-31	13.93	13.93	13.93	13.93	0
149	2019-02-01	13.93	13.93	13.93	13.93	0
150	2019-02-11	13.93	13.93	13.93	13.93	0
151	2019-02-12	13.93	13.93	13.93	13.93	0
152	2019-02-13	16.01	16.01	13.99	13.99	700
153	2019-02-14	14.28	13.99	13.99	13.99	0
154	2019-02-15	14.28	13.99	13.99	13.99	0
155	2019-02-18	14.28	13.99	13.99	13.99	0
156	2019-02-19	14.28	13.99	13.99	13.99	0
157	2019-02-20	14.28	13.99	13.99	13.99	0
158	2019-02-21	14.28	13.99	13.99	13.99	0
159	2019-02-22	14.28	13.99	13.99	13.99	0
160	2019-02-25	14.28	13.99	13.99	13.99	0
161	2019-02-26	14.28	13.99	13.99	13.99	0
162	2019-02-27	14.97	14.97	14.97	14.97	1000
163	2019-02-28	14.97	14.97	14.97	14.97	0
164	2019-03-01	14.45	14.45	14.45	14.45	100
165	2019-03-04	14.45	14.45	14.45	14.45	0
166	2019-03-05	13.24	13.24	13.24	13.24	100
167	2019-03-06	13.24	13.24	13.24	13.24	0
168	2019-03-07	13.24	13.24	13.24	13.24	0
169	2019-03-08	14.97	14.97	14.97	14.97	200
170	2019-03-11	14.97	14.97	14.97	14.97	0
171	2019-03-12	14.97	14.97	14.97	14.97	0
172	2019-03-13	14.97	14.97	14.97	14.97	0
173	2019-03-14	14.97	14.97	14.97	14.97	0
174	2019-03-15	12.78	12.78	12.78	12.78	100
175	2019-03-18	12.78	12.78	12.78	12.78	0
176	2019-03-19	12.78	12.78	12.78	12.78	0
177	2019-03-20	12.78	12.78	12.78	12.78	0
178	2019-03-21	14.68	14.68	14.68	14.68	200
179	2019-03-22	14.68	14.68	14.68	14.68	0
180	2019-03-25	14.68	14.68	14.68	14.68	0
181	2019-03-26	14.68	14.68	14.68	14.68	0
182	2019-03-27	14.68	14.68	14.68	14.68	0
183	2019-03-28	14.68	14.68	14.68	14.68	0
184	2019-03-29	14.68	14.68	14.68	14.68	0
185	2019-04-01	12.5	12.5	12.5	12.5	100
186	2019-04-02	12.5	12.5	12.5	12.5	0
187	2019-04-03	10.65	10.65	10.65	10.65	100
188	2019-04-04	9.85	9.85	9.85	9.85	100
189	2019-04-05	9.85	9.85	9.85	9.85	0
190	2019-04-08	11.29	11.29	11.29	11.29	100
191	2019-04-09	11.29	11.29	11.29	11.29	0
192	2019-04-10	11.29	11.29	11.29	11.29	0
193	2019-04-11	11.29	11.29	11.29	11.29	0
194	2019-04-12	12.96	12.96	12.96	12.96	100
195	2019-04-16	12.96	14.22	14.22	14.22	0
196	2019-04-17	12.96	14.22	14.22	14.22	0
197	2019-04-18	12.96	14.22	14.22	14.22	0
198	2019-04-19	12.96	14.22	14.22	14.22	0
199	2019-04-22	12.96	14.22	14.22	14.22	0
200	2019-04-23	12.96	14.22	14.22	14.22	0
201	2019-04-24	11.19	11.19	11.19	11.19	100
202	2019-04-25	11.19	11.19	11.19	11.19	0
203	2019-04-26	11.19	11.19	11.19	11.19	0
204	2019-05-02	9.73	9.73	9.73	9.73	100
205	2019-05-03	9.73	9.73	9.73	9.73	0
206	2019-05-06	9.73	9.73	9.73	9.73	0
207	2019-05-07	9.73	9.73	9.73	9.73	0
208	2019-05-08	9.73	9.73	9.73	9.73	0
209	2019-05-09	11.19	11.19	11.19	11.19	100
210	2019-05-10	12.83	12.83	12.83	12.83	100
211	2019-05-13	12.83	12.83	12.83	12.83	0
212	2019-05-14	12.83	12.83	12.83	12.83	0
213	2019-05-15	12.83	12.83	12.83	12.83	0
214	2019-05-16	14.73	14.73	14.73	14.73	200
215	2019-05-17	14.73	14.73	14.73	14.73	0
216	2019-05-20	14.73	14.73	14.73	14.73	0
217	2019-05-21	14.73	14.73	14.73	14.73	0
218	2019-05-22	16.87	16.87	16.87	16.87	1000
219	2019-05-23	14.35	14.35	14.35	14.35	100
220	2019-05-24	14.35	14.35	14.35	14.35	0
221	2019-05-27	14.35	14.35	14.35	14.35	0
222	2019-05-28	12.26	12.26	12.26	12.26	100
223	2019-05-29	14.09	14.09	14.09	14.09	200
224	2019-05-30	14.09	14.09	14.09	14.09	0
225	2019-05-31	14.09	14.09	14.09	14.09	0
226	2019-06-03	14.09	14.09	14.09	14.09	0
227	2019-06-04	14.09	14.09	14.09	14.09	0
228	2019-06-05	14.09	14.09	14.09	14.09	0
229	2019-06-06	14.09	14.09	14.09	14.09	0
230	2019-06-07	14.09	14.09	14.09	14.09	0
231	2019-06-10	14.09	14.09	14.09	14.09	0
232	2019-06-11	14.09	14.09	14.09	14.09	0
233	2019-06-12	14.09	14.09	14.09	14.09	0
234	2019-06-13	14.09	14.09	14.09	14.09	0
235	2019-06-14	14.09	14.09	14.09	14.09	0
236	2019-06-17	14.09	14.09	14.09	14.09	0
237	2019-06-18	14.09	14.09	14.09	14.09	0
238	2019-06-19	14.09	14.09	14.09	14.09	0
239	2019-06-20	14.09	14.09	14.09	14.09	0
240	2019-06-21	14.09	14.09	14.09	14.09	0
241	2019-06-24	14.09	14.09	14.09	14.09	0
242	2019-06-25	16.18	16.18	16.18	16.18	200
243	2019-06-26	16.18	16.18	16.18	16.18	0
244	2019-06-27	16.18	16.18	16.18	16.18	0
245	2019-06-28	16.18	16.18	16.18	16.18	0
246	2019-07-01	16.18	16.18	16.18	16.18	0
247	2019-07-02	16.18	16.18	16.18	16.18	0
248	2019-07-03	16.18	16.18	16.18	16.18	0
249	2019-07-04	16.18	16.18	16.18	16.18	0
250	2019-07-05	16.18	16.18	16.18	16.18	0
251	2019-07-08	16.18	16.18	16.18	16.18	0
252	2019-07-09	16.18	16.18	16.18	16.18	0
253	2019-07-10	16.18	16.18	16.18	16.18	0
254	2019-07-11	16.18	16.18	16.18	16.18	0
255	2019-07-12	16.18	16.18	16.18	16.18	0
256	2019-07-15	16.18	16.18	16.18	16.18	0
257	2019-07-16	16.18	16.18	16.18	16.18	0
258	2019-07-17	16.18	16.18	16.18	16.18	0
259	2019-07-18	16.18	16.18	16.18	16.18	0
260	2019-07-19	16.18	16.18	16.18	16.18	0
261	2019-07-22	15.8	15.8	15.8	15.8	50000
262	2019-07-23	15.8	15.8	15.8	15.8	0
263	2019-07-24	15.8	15.8	15.8	15.8	0
264	2019-07-25	15.8	15.8	15.8	15.8	0
265	2019-07-26	15.8	15.8	15.8	15.8	0
266	2019-07-29	15.8	15.8	15.8	15.8	0
267	2019-07-30	15.8	15.8	15.8	15.8	0
268	2019-07-31	15.8	15.8	15.8	15.8	0
269	2019-08-01	15.8	15.8	15.8	15.8	0
270	2019-08-02	15.8	15.8	15.8	15.8	0
271	2019-08-05	15.8	15.8	15.8	15.8	0
272	2019-08-06	15.8	15.8	15.8	15.8	0
273	2019-08-07	15.8	15.8	15.8	15.8	0
274	2019-08-08	15.8	15.8	15.8	15.8	0
275	2019-08-09	15.8	15.8	15.8	15.8	0
276	2019-08-12	15.8	15.8	15.8	15.8	0
277	2019-08-13	15.8	15.8	15.8	15.8	0
278	2019-08-14	15.8	15.8	15.8	15.8	0
279	2019-08-15	15.8	15.8	15.8	15.8	0
280	2019-08-16	15.8	15.8	15.8	15.8	0
281	2019-08-19	15.8	15.8	15.8	15.8	0
282	2019-08-20	15.8	15.8	15.8	15.8	0
283	2019-08-21	15.8	15.8	15.8	15.8	0
284	2019-08-22	15.8	15.8	15.8	15.8	0
285	2019-08-23	15.74	15.74	15.74	15.74	100
286	2019-08-26	15.74	15.74	15.74	15.74	0
287	2019-08-27	15.74	15.74	15.74	15.74	0
288	2019-08-28	15.74	15.74	15.74	15.74	0
289	2019-08-29	15.74	15.74	15.74	15.74	0
290	2019-08-30	15.74	15.74	15.74	15.74	0
291	2019-09-03	15.74	15.74	15.74	15.74	0
292	2019-09-04	15.74	15.74	15.74	15.74	0
293	2019-09-05	15.74	15.74	15.74	15.74	0
294	2019-09-06	15.74	15.74	15.74	15.74	0
295	2019-09-09	15.8	16.43	15.8	16.43	300
296	2019-09-10	15.99	16.43	16.43	16.43	0
297	2019-09-11	15.99	16.43	16.43	16.43	0
298	2019-09-12	15.99	17.11	17.11	17.11	0
299	2019-09-13	15.99	17.11	17.11	17.11	0
300	2019-09-16	15.99	17.11	17.11	17.11	0
301	2019-09-17	15.99	17.11	17.11	17.11	0
302	2019-09-18	15.99	17.11	17.11	17.11	0
303	2019-09-19	15.99	17.11	17.11	17.11	0
304	2019-09-20	15.99	17.11	17.11	17.11	0
305	2019-09-23	15.99	17.11	17.11	17.11	0
306	2019-09-24	15.99	17.11	17.11	17.11	0
307	2019-09-25	17.11	17.11	17.11	17.11	100
308	2019-09-26	17.11	17.11	17.11	17.11	0
309	2019-09-27	17.11	17.11	17.11	17.11	0
310	2019-09-30	17.11	17.11	17.11	17.11	0
311	2019-10-01	17.11	17.11	17.11	17.11	0
312	2019-10-02	17.11	17.11	17.11	17.11	0
313	2019-10-03	17.11	17.11	17.11	17.11	0
314	2019-10-04	17.11	17.11	17.11	17.11	0
315	2019-10-07	17.11	17.11	17.11	17.11	0
316	2019-10-08	17.11	17.11	17.11	17.11	0
317	2019-10-09	17.11	17.11	17.11	17.11	0
318	2019-10-10	17.11	17.11	17.11	17.11	0
319	2019-10-11	17.11	17.11	17.11	17.11	0
320	2019-10-14	17.11	17.11	17.11	17.11	0
321	2019-10-15	17.11	17.11	17.11	17.11	0
322	2019-10-16	17.11	17.11	17.11	17.11	0
323	2019-10-17	17.11	17.11	17.11	17.11	0
324	2019-10-18	17.11	17.11	17.11	17.11	0
325	2019-10-21	17.11	17.11	17.11	17.11	0
326	2019-10-22	17.11	17.11	17.11	17.11	0
327	2019-10-23	17.11	17.11	17.11	17.11	0
328	2019-10-24	17.11	17.11	17.11	17.11	0
329	2019-10-25	17.11	17.11	17.11	17.11	0
330	2019-10-28	17.11	17.11	17.11	17.11	0
331	2019-10-29	15.79	15.79	15.79	15.79	1000
332	2019-10-30	15.79	15.79	15.79	15.79	0
333	2019-10-31	15.79	15.79	15.79	15.79	0
334	2019-11-01	15.79	15.79	15.79	15.79	0
335	2019-11-04	15.79	15.79	15.79	15.79	0
336	2019-11-05	15.79	15.79	15.79	15.79	0
337	2019-11-06	15.79	15.79	15.79	15.79	0
338	2019-11-07	15.79	15.79	15.79	15.79	0
339	2019-11-08	15.79	15.79	15.79	15.79	0
340	2019-11-11	15.79	15.79	15.79	15.79	0
341	2019-11-12	15.79	15.79	15.79	15.79	0
342	2019-11-13	15.79	15.79	15.79	15.79	0
343	2019-11-14	15.79	15.79	15.79	15.79	0
344	2019-11-15	15.79	15.79	15.79	15.79	0
345	2019-11-18	15.79	15.79	15.79	15.79	0
346	2019-11-19	15.79	15.79	15.79	15.79	0
347	2019-11-20	15.79	15.79	15.79	15.79	0
348	2019-11-21	15.79	15.79	15.79	15.79	0
349	2019-11-22	15.79	15.79	15.79	15.79	0
350	2019-11-25	15.79	15.79	15.79	15.79	0
351	2019-11-26	15.79	15.79	15.79	15.79	0
352	2019-11-27	15.79	15.79	15.79	15.79	0
353	2019-11-28	15.79	15.79	15.79	15.79	0
354	2019-11-29	15.79	15.79	15.79	15.79	0
355	2019-12-02	15.79	15.79	15.79	15.79	0
356	2019-12-03	15.79	15.79	15.79	15.79	0
357	2019-12-04	15.79	15.79	15.79	15.79	0
358	2019-12-05	15.79	15.79	15.79	15.79	0
359	2019-12-06	15.79	15.79	15.79	15.79	0
360	2019-12-09	15.79	15.79	15.79	15.79	0
361	2019-12-10	15.79	15.79	15.79	15.79	0
362	2019-12-11	15.79	15.79	15.79	15.79	0
363	2019-12-12	15.79	15.79	15.79	15.79	0
364	2019-12-13	15.79	15.79	15.79	15.79	0
365	2019-12-16	15.79	15.79	15.79	15.79	0
366	2019-12-17	15.79	15.79	15.79	15.79	0
367	2019-12-18	15.79	15.79	15.79	15.79	0
368	2019-12-19	15.79	15.79	15.79	15.79	0
369	2019-12-20	15.79	15.79	15.79	15.79	0
370	2019-12-23	15.79	15.79	15.79	15.79	0
371	2019-12-24	15.79	15.79	15.79	15.79	0
