	time	open	high	low	close	volume
0	2017-01-13	15.21	15.21	15.21	15.21	600
1	2017-01-16	17.49	17.49	17.49	17.49	10400
2	2017-01-17	20.1	20.1	19.92	20.1	64517
3	2017-01-18	23.06	23.06	20.12	21.93	10387
4	2017-01-19	21.53	21.53	20.12	20.93	36126
5	2017-01-20	19.92	20.53	19.92	20.53	53302
6	2017-01-23	20.12	20.16	20.12	20.12	11545
7	2017-01-24	20.12	20.32	20.12	20.18	15410
8	2017-01-25	20.12	20.18	20.12	20.12	19900
9	2017-02-02	20.14	20.42	20.12	20.32	10466
10	2017-02-03	19.32	20.28	19.32	20.12	3125
11	2017-02-06	19.22	19.22	18.11	19.12	10365
12	2017-02-07	20.06	20.06	18.92	18.92	21674
13	2017-02-08	18.51	18.92	18.51	18.92	6764
14	2017-02-09	18.61	19.32	18.61	19.26	14400
15	2017-02-10	19.32	19.36	19.16	19.22	12750
16	2017-02-13	19.22	19.3	19.22	19.26	15245
17	2017-02-14	19.22	19.42	19.18	19.4	29368
18	2017-02-15	19.12	19.22	19.12	19.22	13410
19	2017-02-16	19.32	19.72	19.22	19.72	21900
20	2017-02-17	19.82	19.92	19.72	19.82	17060
21	2017-02-20	20.16	20.65	19.72	20.08	11571
22	2017-02-21	20.12	20.22	20.08	20.14	23431
23	2017-02-22	20.12	20.12	20.08	20.1	8270
24	2017-02-23	20.02	20.1	19.92	19.92	16150
25	2017-02-24	19.52	19.92	19.52	19.92	8054
26	2017-02-27	19.54	19.58	19.54	19.54	2121
27	2017-02-28	19.42	19.92	19.12	19.92	8986
28	2017-03-01	19.74	19.74	19.72	19.72	2294
29	2017-03-02	19.58	19.58	19.54	19.54	1120
30	2017-03-03	19.72	19.74	19.72	19.72	6212
31	2017-03-06	19.72	19.88	19.72	19.88	12106
32	2017-03-07	19.84	19.84	19.52	19.52	5462
33	2017-03-08	19.72	19.92	19.72	19.84	9875
34	2017-03-09	19.84	19.84	19.84	19.84	708
35	2017-03-10	19.72	19.72	19.32	19.32	12265
36	2017-03-13	19.72	19.72	19.34	19.34	800
37	2017-03-14	19.46	19.72	19.46	19.72	7274
38	2017-03-15	19.72	19.74	19.72	19.72	3907
39	2017-03-16	19.72	19.72	19.72	19.72	3741
40	2017-03-17	19.42	19.42	19.42	19.42	575
41	2017-03-20	19.52	19.72	19.42	19.42	2598
42	2017-03-21	19.62	19.62	19.62	19.62	1732
43	2017-03-22	19.62	19.62	19.62	19.62	945
44	2017-03-23	19.62	19.62	19.62	19.62	0
45	2017-03-24	19.42	19.42	19.32	19.42	1399
46	2017-03-27	19.62	22.26	19.42	19.42	899
47	2017-03-28	19.62	19.62	19.62	19.62	350
48	2017-03-29	19.62	19.62	19.62	19.62	10
49	2017-03-30	19.32	19.32	17.25	19.32	1199
50	2017-03-31	19.12	19.12	18.92	19.12	12030
51	2017-04-03	19.12	19.12	19.12	19.12	10
52	2017-04-04	18.11	18.92	18.11	18.11	12100
53	2017-04-05	18.92	18.92	18.92	18.92	100
54	2017-04-07	18.71	18.92	16.1	18.92	1200
55	2017-04-10	18.71	18.71	18.41	18.41	1910
56	2017-04-11	18.15	18.15	18.11	18.15	2950
57	2017-04-12	18.11	18.21	18.11	18.21	4640
58	2017-04-13	18.11	18.11	18.11	18.11	600
59	2017-04-14	18.71	18.71	18.71	18.71	167
60	2017-04-17	18.11	18.29	18.11	18.11	1134
61	2017-04-18	18.11	18.11	18.11	18.11	500
62	2017-04-19	18.11	18.11	18.11	18.11	1381
63	2017-04-20	18.11	18.11	18.11	18.11	2010
64	2017-04-21	18.11	18.21	18.11	18.21	1702
65	2017-04-24	17.91	18.11	17.91	17.91	1100
66	2017-04-25	17.91	17.91	17.91	17.91	100
67	2017-04-26	18.01	18.01	18.01	18.01	100
68	2017-04-27	17.91	18.11	17.91	18.11	900
69	2017-04-28	17.1	17.31	17.1	17.31	1800
70	2017-05-03	17.29	17.29	17.29	17.29	0
71	2017-05-04	17.1	17.16	17.1	17.14	1910
72	2017-05-05	17.1	17.1	17.1	17.1	2013
73	2017-05-08	16.9	16.9	16.7	16.7	2673
74	2017-05-09	16.7	17.1	16.7	17.1	4403
75	2017-05-10	17.91	17.91	17.91	17.91	1009
76	2017-05-11	17.91	17.91	17.91	17.91	0
77	2017-05-12	18.11	18.11	18.11	18.11	24
78	2017-05-15	17.81	17.81	17.5	17.5	7000
79	2017-05-16	17.5	17.6	17.5	17.5	12500
80	2017-05-17	17.5	17.71	17.46	17.5	28500
81	2017-05-18	17.5	17.5	17.5	17.5	100
82	2017-05-19	17.54	17.91	17.54	17.91	10600
83	2017-05-22	17.91	17.91	17.71	17.87	4017
84	2017-05-23	17.91	17.91	17.52	17.52	4300
85	2017-05-24	18.11	17.54	17.54	17.54	0
86	2017-05-25	17.93	17.93	17.93	17.93	0
87	2017-05-26	18.11	18.11	17.91	17.91	5211
88	2017-05-29	17.81	17.91	17.81	17.91	3600
89	2017-05-30	17.54	17.71	17.54	17.71	4300
90	2017-05-31	17.62	17.62	17.6	17.6	3200
91	2017-06-01	17.62	17.62	17.62	17.62	4400
92	2017-06-02	18.13	18.13	17.35	17.35	3310
93	2017-06-05	17.35	17.48	17.35	17.46	2610
94	2017-06-06	17.37	17.37	17.01	17.01	8655
