	time	open	high	low	close	volume
0	2022-12-20	14.24	14.24	14.24	14.24	51400
1	2022-12-21	16.36	16.36	16.36	16.36	20500
2	2022-12-22	18.8	18.8	18.8	18.8	5300
3	2022-12-23	21.6	21.6	21.6	21.6	44800
4	2022-12-26	24.8	24.8	23.5	23.8	30400
5	2022-12-27	24.3	25.0	20.7	20.7	13700
6	2022-12-28	20.3	20.3	20.3	20.3	2900
7	2022-12-29	17.4	19.8	17.3	17.3	50871
8	2022-12-30	16.0	17.0	16.0	17.0	1329
9	2023-01-03	16.9	19.4	16.9	17.9	13500
10	2023-01-04	17.6	17.9	17.0	17.7	8300
11	2023-01-05	15.8	17.3	15.8	17.0	1200
12	2023-01-06	14.6	16.8	14.5	15.0	5700
13	2023-01-09	14.8	16.9	14.7	16.9	1600
14	2023-01-10	16.3	16.3	14.2	14.4	3700
15	2023-01-11	15.2	16.0	13.9	15.9	3200
16	2023-01-12	15.1	15.5	15.1	15.5	5200
17	2023-01-13	15.4	15.4	14.0	14.0	700
18	2023-01-16	14.4	15.2	14.4	14.9	6400
19	2023-01-17	14.5	14.9	14.1	14.9	5400
20	2023-01-18	16.0	16.0	15.9	16.0	3100
21	2023-01-19	15.2	16.3	14.2	16.3	15400
22	2023-01-27	16.9	16.9	14.5	15.6	6200
23	2023-01-30	15.8	16.4	15.8	16.0	3400
24	2023-01-31	15.9	16.9	15.8	16.0	4400
25	2023-02-01	16.4	16.4	15.5	16.3	1200
26	2023-02-02	17.8	17.8	15.1	16.5	2903
27	2023-02-03	15.5	16.1	15.0	16.1	3900
28	2023-02-06	15.8	16.4	15.8	15.8	700
29	2023-02-07	16.6	16.6	14.3	15.9	2850
30	2023-02-08	14.7	15.8	14.7	15.8	3800
31	2023-02-09	14.1	15.7	13.9	15.7	9100
32	2023-02-10	15.6	15.6	15.6	15.6	100
33	2023-02-13	13.6	14.5	13.3	14.5	4900
34	2023-02-14	15.2	15.2	15.2	15.2	100
35	2023-02-15	14.8	14.8	14.4	14.5	800
36	2023-02-16	15.0	15.0	14.5	14.5	3200
37	2023-02-17	14.0	14.7	13.3	14.7	1200
38	2023-02-20	14.5	14.8	13.0	14.4	6100
39	2023-02-21	15.9	15.9	15.5	15.5	747
40	2023-02-22	15.2	15.2	15.2	15.2	108
41	2023-02-23	14.9	15.4	14.1	14.6	1800
42	2023-02-24	13.0	15.0	13.0	15.0	900
43	2023-02-27	13.2	14.8	13.2	14.8	900
44	2023-02-28	14.0	14.9	13.4	14.5	3100
45	2023-03-01	14.9	14.9	13.3	14.7	9575
46	2023-03-02	13.5	14.9	13.4	14.7	1432
47	2023-03-03	12.8	13.6	12.8	13.3	2930
48	2023-03-06	13.5	13.5	13.3	13.4	1758
49	2023-03-07	14.0	14.2	13.9	14.0	919
50	2023-03-08	13.4	13.9	13.3	13.9	2600
51	2023-03-09	14.2	14.2	13.4	13.9	3601
52	2023-03-10	14.1	14.1	13.4	14.0	2000
53	2023-03-13	13.3	14.0	12.8	14.0	1804
54	2023-03-14	12.5	12.9	12.5	12.9	1100
55	2023-03-15	12.7	14.4	12.7	14.2	5910
56	2023-03-16	12.9	14.0	12.7	14.0	1341
57	2023-03-17	13.5	14.5	13.5	14.5	2593
58	2023-03-20	14.5	15.5	14.3	15.5	4400
59	2023-03-21	13.3	15.2	13.3	15.2	1090
60	2023-03-22	14.4	15.2	14.4	14.4	2200
61	2023-03-23	15.1	15.1	14.3	14.3	2310
62	2023-03-24	14.6	14.6	14.2	14.6	2451
63	2023-03-27	15.1	15.1	14.2	15.0	1445
64	2023-03-28	14.9	14.9	14.3	14.3	1800
65	2023-03-29	15.0	15.0	14.9	14.9	633
66	2023-03-30	15.0	15.0	15.0	15.0	100
67	2023-03-31	14.9	15.0	14.9	14.9	800
68	2023-04-03	14.2	14.8	14.2	14.8	800
69	2023-04-04	14.9	14.9	14.1	14.6	7300
70	2023-04-05	14.3	14.3	14.3	14.3	0
71	2023-04-06	14.8	14.8	14.2	14.7	500
72	2023-04-07	14.4	14.7	14.4	14.4	700
73	2023-04-10	14.8	14.9	14.6	14.6	7400
74	2023-04-11	14.7	14.7	14.1	14.7	4000
75	2023-04-12	14.2	14.5	14.2	14.5	1836
76	2023-04-13	14.9	14.9	14.7	14.7	1200
77	2023-04-14	14.1	14.1	14.1	14.1	2800
78	2023-04-17	14.9	14.9	14.9	14.9	100
79	2023-04-18	14.1	14.2	14.1	14.2	700
80	2023-04-19	14.0	14.9	14.0	14.2	2000
81	2023-04-20	14.1	14.1	14.1	14.1	100
82	2023-04-21	14.2	14.2	13.9	13.9	2500
83	2023-04-24	13.9	13.9	13.9	13.9	100
84	2023-04-25	13.9	13.9	13.9	13.9	3000
85	2023-04-26	13.8	13.8	13.8	13.8	500
86	2023-04-27	13.8	14.8	13.8	14.8	1690
87	2023-04-28	13.9	13.9	13.9	13.9	2500
88	2023-05-04	13.9	13.9	13.8	13.9	1211
89	2023-05-05	14.9	14.9	13.7	14.2	3700
90	2023-05-08	13.7	13.9	13.7	13.9	1918
91	2023-05-09	13.8	14.0	13.8	13.9	2300
92	2023-05-10	14.0	14.0	14.0	14.0	1000
93	2023-05-11	14.0	14.3	13.9	14.1	1000
94	2023-05-12	14.5	14.5	14.2	14.2	786
95	2023-05-15	14.2	14.2	14.2	14.2	255
96	2023-05-16	14.7	14.7	13.9	14.1	910
97	2023-05-17	14.2	14.4	13.9	14.4	2420
98	2023-05-18	14.5	14.5	14.5	14.5	101
99	2023-05-19	14.0	14.0	13.8	14.0	5400
100	2023-05-22	13.9	14.0	13.8	14.0	3811
101	2023-05-23	13.8	14.3	13.7	14.3	3972
102	2023-05-24	13.8	13.8	13.8	13.8	1300
103	2023-05-25	13.8	13.9	13.8	13.9	1324
104	2023-05-26	14.0	14.0	14.0	14.0	200
105	2023-05-29	13.8	16.1	13.8	15.5	1400
106	2023-05-30	14.5	14.5	14.5	14.5	500
107	2023-05-31	14.5	14.5	14.5	14.5	0
108	2023-06-01	13.9	13.9	13.9	13.9	1400
109	2023-06-02	13.9	14.1	13.9	14.1	2500
110	2023-06-05	14.1	14.1	14.1	14.1	600
111	2023-06-06	14.1	14.1	14.1	14.1	0
112	2023-06-07	14.1	14.1	14.0	14.0	1200
113	2023-06-08	13.9	13.9	13.8	13.8	1800
114	2023-06-09	13.8	13.8	13.8	13.8	100
115	2023-06-12	13.8	13.8	13.8	13.8	200
116	2023-06-13	13.9	14.3	11.8	14.0	6503
117	2023-06-14	14.0	14.0	14.0	14.0	80
118	2023-06-15	14.0	14.8	14.0	14.0	1005
119	2023-06-16	14.4	14.4	14.4	14.4	123
120	2023-06-19	14.3	14.3	13.9	13.9	2211
121	2023-06-20	13.9	13.9	13.9	13.9	800
122	2023-06-21	14.1	14.1	14.1	14.1	100
123	2023-06-22	14.0	14.0	14.0	14.0	3908
124	2023-06-23	14.0	14.0	14.0	14.0	0
125	2023-06-26	14.0	14.0	14.0	14.0	0
126	2023-06-27	14.0	14.0	14.0	14.0	15
127	2023-06-28	14.0	14.0	14.0	14.0	0
128	2023-06-29	13.5	16.1	13.5	16.1	405
129	2023-06-30	14.2	14.2	14.2	14.2	0
130	2023-07-03	14.2	14.2	14.2	14.2	0
131	2023-07-04	14.2	14.2	14.2	14.2	60
132	2023-07-05	13.8	13.9	13.7	13.7	2043
133	2023-07-06	13.7	13.7	13.7	13.7	400
134	2023-07-07	13.7	13.7	13.7	13.7	303
135	2023-07-10	13.7	13.7	13.7	13.7	101
136	2023-07-11	15.7	15.7	13.8	13.8	1800
137	2023-07-12	13.9	13.9	13.9	13.9	103
138	2023-07-13	13.9	13.9	13.9	13.9	0
139	2023-07-14	13.8	13.8	13.8	13.8	100
140	2023-07-17	13.8	13.8	13.5	13.6	1153
141	2023-07-18	13.6	13.6	13.6	13.6	0
142	2023-07-19	13.5	13.6	13.5	13.6	903
143	2023-07-20	13.5	13.5	13.5	13.5	200
144	2023-07-21	13.5	13.5	13.5	13.5	1202
145	2023-07-24	13.5	13.5	13.5	13.5	0
146	2023-07-25	12.6	14.8	12.0	14.8	1802
147	2023-07-26	14.8	14.8	14.8	14.8	125
148	2023-07-27	14.8	14.8	14.0	14.0	200
149	2023-07-28	14.4	14.4	14.4	14.4	0
150	2023-07-31	14.4	14.4	14.4	14.4	7
151	2023-08-01	14.4	14.4	14.4	14.4	130
152	2023-08-02	14.0	14.0	13.9	13.9	603
153	2023-08-03	14.0	14.0	14.0	14.0	400
154	2023-08-04	14.0	14.0	14.0	14.0	0
155	2023-08-07	14.0	14.0	14.0	14.0	1
156	2023-08-08	13.6	13.6	12.6	12.6	2000
