	time	open	high	low	close	volume
0	2015-06-12	2.13	0.0	0.0	0.0	0
1	2015-06-15	2.13	0.0	0.0	0.0	0
2	2015-06-16	2.13	0.0	0.0	0.0	0
3	2015-06-17	2.13	0.0	0.0	0.0	0
4	2015-06-18	2.13	0.0	0.0	0.0	0
5	2015-06-19	2.13	0.0	0.0	0.0	0
6	2015-06-22	2.13	0.0	0.0	0.0	0
7	2015-06-23	2.13	0.0	0.0	0.0	0
8	2015-06-24	2.13	2.13	2.13	2.13	300
9	2015-06-25	1.99	1.99	1.99	1.99	200
10	2015-06-26	1.99	1.99	1.99	1.99	0
11	2015-06-29	1.99	1.99	1.99	1.99	0
12	2015-06-30	1.86	1.86	1.86	1.86	200
13	2015-07-01	1.86	1.86	1.86	1.86	0
14	2015-07-02	1.86	1.86	1.86	1.86	0
15	2015-07-03	1.86	1.86	1.86	1.86	0
16	2015-07-06	1.86	1.86	1.86	1.86	0
17	2015-07-07	1.86	1.86	1.86	1.86	0
18	2015-07-08	1.86	1.86	1.86	1.86	300
19	2015-07-09	1.86	1.86	1.86	1.86	0
20	2015-07-10	1.86	1.86	1.86	1.86	0
21	2015-07-13	1.86	1.86	1.86	1.86	0
22	2015-07-14	1.86	1.86	1.86	1.86	0
23	2015-07-15	1.86	1.86	1.86	1.86	0
24	2015-07-16	1.86	1.86	1.86	1.86	0
25	2015-07-17	1.86	1.86	1.86	1.86	0
26	2015-07-20	1.86	1.86	1.86	1.86	0
27	2015-07-21	1.86	1.86	1.86	1.86	0
28	2015-07-22	1.86	1.86	1.86	1.86	0
29	2015-07-23	2.13	2.13	1.84	2.13	5400
30	2015-07-24	2.11	2.11	2.11	2.11	4200
31	2015-07-27	2.11	2.11	2.11	2.11	0
32	2015-07-28	2.11	2.11	2.11	2.11	1000
33	2015-07-29	2.11	2.11	1.84	2.11	15000
34	2015-07-30	2.16	2.19	2.16	2.19	1400
35	2015-07-31	2.03	2.03	1.87	1.87	500
36	2015-08-03	1.87	1.87	1.87	1.87	0
37	2015-08-04	2.18	2.18	2.11	2.11	1600
38	2015-08-05	2.11	2.11	2.11	2.11	0
39	2015-08-06	2.11	2.11	2.11	2.11	0
40	2015-08-07	2.28	2.28	2.28	2.28	500
41	2015-08-10	2.23	2.23	2.23	2.23	200
42	2015-08-11	2.23	2.23	2.23	2.23	0
43	2015-08-12	2.36	2.4	2.36	2.4	2000
44	2015-08-13	2.41	2.41	2.3	2.3	2200
45	2015-08-14	2.3	2.3	2.3	2.3	300
46	2015-08-17	2.3	2.3	2.3	2.3	0
47	2015-08-18	2.45	2.45	2.31	2.31	4200
48	2015-08-19	2.36	2.36	2.36	2.36	100
49	2015-08-20	2.36	2.36	2.36	2.36	0
50	2015-08-21	2.36	2.36	2.36	2.36	0
51	2015-08-24	2.36	2.36	2.36	2.36	0
52	2015-08-25	2.36	2.36	2.36	2.36	0
53	2015-08-26	2.36	2.36	2.36	2.36	0
54	2015-08-27	2.36	2.36	2.36	2.36	0
55	2015-08-28	2.36	2.36	2.36	2.36	0
56	2015-08-31	2.28	2.31	2.21	2.31	20000
57	2015-09-01	2.31	2.31	2.31	2.31	0
58	2015-09-03	2.31	2.31	2.31	2.31	0
59	2015-09-04	2.31	2.31	2.31	2.31	0
60	2015-09-07	2.6	2.6	2.6	2.6	100
61	2015-09-08	2.25	2.45	2.25	2.45	600
62	2015-09-09	2.45	2.45	2.45	2.45	900
63	2015-09-10	2.79	2.79	2.79	2.79	100
64	2015-09-11	2.85	2.85	2.85	2.85	100
65	2015-09-14	2.57	2.57	2.57	2.57	300
66	2015-09-15	2.57	2.57	2.57	2.57	0
67	2015-09-16	2.57	2.57	2.57	2.57	0
68	2015-09-17	2.58	2.7	2.58	2.7	3400
69	2015-09-18	2.7	2.7	2.7	2.7	0
70	2015-09-21	2.67	2.67	2.53	2.53	300
71	2015-09-22	2.62	2.62	2.36	2.36	2300
72	2015-09-23	2.36	2.36	2.36	2.36	0
73	2015-09-24	2.77	2.77	2.77	2.77	100
74	2015-09-25	2.36	2.87	2.36	2.36	3900
75	2015-09-28	2.16	2.16	2.06	2.06	3300
76	2015-09-29	2.4	2.4	1.86	1.86	500
77	2015-09-30	2.11	2.25	2.11	2.25	1818900
78	2015-10-01	2.25	2.25	2.25	2.25	6200
79	2015-10-02	2.25	2.25	2.25	2.25	0
80	2015-10-05	2.57	2.57	2.57	2.57	100
81	2015-10-06	2.57	2.57	2.57	2.57	0
82	2015-10-07	2.25	2.25	2.25	2.25	200
83	2015-10-08	2.25	2.25	2.25	2.25	0
84	2015-10-09	2.25	2.25	2.25	2.25	0
85	2015-10-12	2.25	2.25	2.25	2.25	0
86	2015-10-13	2.25	2.25	2.25	2.25	0
87	2015-10-14	2.28	2.28	2.28	2.28	500
88	2015-10-15	2.28	2.28	2.28	2.28	0
89	2015-10-16	2.28	2.28	2.28	2.28	0
90	2015-10-19	2.62	2.62	2.62	2.62	100
91	2015-10-20	2.62	2.62	2.62	2.62	0
92	2015-10-21	2.28	2.28	2.25	2.25	5000
93	2015-10-22	2.28	2.28	2.28	2.28	300
94	2015-10-23	2.28	2.28	2.28	2.28	0
95	2015-10-26	2.28	2.28	2.28	2.28	0
96	2015-10-27	2.28	2.28	2.28	2.28	0
97	2015-10-28	2.28	2.28	2.28	2.28	0
98	2015-10-29	2.28	2.28	2.28	2.28	0
99	2015-10-30	2.28	2.28	2.28	2.28	0
100	2015-11-02	2.28	2.28	2.28	2.28	0
101	2015-11-03	2.28	2.28	2.28	2.28	0
102	2015-11-04	2.28	2.28	2.28	2.28	0
103	2015-11-05	2.28	2.28	2.28	2.28	0
104	2015-11-06	2.28	2.28	2.28	2.28	0
105	2015-11-09	2.28	2.28	2.28	2.28	0
106	2015-11-10	2.28	2.28	2.28	2.28	0
107	2015-11-11	2.28	2.28	2.28	2.28	0
108	2015-11-12	2.28	2.28	2.28	2.28	0
109	2015-11-13	2.28	2.28	2.28	2.28	0
110	2015-11-16	2.28	2.28	2.28	2.28	0
111	2015-11-17	2.28	2.28	2.28	2.28	0
112	2015-11-18	2.28	2.28	2.28	2.28	0
113	2015-11-19	2.28	2.28	2.28	2.28	0
114	2015-11-20	2.28	2.28	2.28	2.28	0
115	2015-11-23	2.28	2.28	2.28	2.28	0
116	2015-11-24	2.28	2.28	2.28	2.28	0
117	2015-11-25	2.36	2.36	2.36	2.36	400
118	2015-11-26	2.36	2.36	2.36	2.36	0
119	2015-11-27	2.36	2.36	2.36	2.36	0
120	2015-11-30	2.36	2.36	2.36	2.36	500
121	2015-12-01	2.36	2.36	2.36	2.36	0
122	2015-12-02	2.36	2.36	2.36	2.36	0
123	2015-12-03	2.28	2.28	2.28	2.28	100
124	2015-12-04	2.28	2.28	2.28	2.28	0
125	2015-12-07	2.28	2.28	2.28	2.28	0
