	time	open	high	low	close	volume
0	2017-08-18	4.59	0.0	0.0	0.0	0
1	2017-08-21	4.59	4.59	4.59	4.59	0
2	2017-08-22	4.59	4.59	4.59	4.59	0
3	2017-08-23	4.59	4.59	4.59	4.59	0
4	2017-08-24	5.11	5.11	5.11	5.11	100
5	2017-08-25	5.8	5.8	5.8	5.8	100
6	2017-08-28	6.66	6.66	6.66	6.66	100
7	2017-08-29	7.61	7.61	7.61	7.61	100
8	2017-08-30	8.74	8.74	6.58	6.58	1000
9	2017-08-31	7.44	7.44	7.44	7.44	0
10	2017-09-01	6.49	6.49	6.49	6.49	5000
11	2017-09-05	7.44	7.44	7.44	7.44	100
12	2017-09-06	7.53	7.53	7.53	7.53	100
13	2017-09-07	7.44	7.44	7.44	7.44	0
14	2017-09-08	7.27	7.27	7.27	7.27	500
15	2017-09-11	6.58	8.31	6.58	8.31	5300
16	2017-09-12	8.57	8.57	8.57	8.57	100
17	2017-09-13	7.53	7.53	7.53	7.53	100
18	2017-09-14	7.53	7.53	7.53	7.53	0
19	2017-09-15	6.58	6.58	6.58	6.58	600
20	2017-09-18	7.53	7.53	7.53	7.53	200
21	2017-09-19	6.92	6.92	6.92	6.92	200
22	2017-09-20	6.23	6.23	6.23	6.23	200
23	2017-09-21	7.1	7.1	7.1	7.1	400
24	2017-09-22	6.14	6.66	6.14	6.58	700
25	2017-09-25	6.66	6.92	6.66	6.92	200
26	2017-09-26	6.84	6.84	6.84	6.84	0
27	2017-09-27	6.92	6.92	6.92	6.92	6500
28	2017-09-28	7.61	7.61	7.61	7.61	100
29	2017-09-29	8.65	8.65	8.22	8.22	25400
30	2017-10-02	8.31	8.65	8.31	8.65	2100
31	2017-10-03	8.65	8.65	8.65	8.65	0
32	2017-10-04	7.44	7.79	7.44	7.79	500
33	2017-10-05	7.79	7.79	7.79	7.79	500
34	2017-10-06	7.79	8.65	7.79	8.65	300
35	2017-10-09	8.05	8.05	8.05	8.05	0
36	2017-10-10	8.22	8.22	8.22	8.22	300
37	2017-10-11	8.22	8.22	8.22	8.22	0
38	2017-10-12	8.22	8.22	8.22	8.22	0
39	2017-10-13	8.22	8.22	8.22	8.22	0
40	2017-10-16	8.22	8.22	8.22	8.22	0
41	2017-10-17	7.87	7.87	7.87	7.87	5000
42	2017-10-18	7.79	7.79	7.79	7.79	100
43	2017-10-19	7.79	7.79	7.79	7.79	0
44	2017-10-20	7.79	8.05	7.79	8.05	4800
45	2017-10-23	7.79	7.79	7.79	7.79	7400
46	2017-10-24	7.79	7.79	7.79	7.79	5500
47	2017-10-25	7.79	7.79	7.79	7.79	6100
48	2017-10-26	7.79	7.79	7.79	7.79	0
49	2017-10-27	7.35	7.87	7.35	7.79	14100
50	2017-10-30	7.87	7.87	7.79	7.79	4700
51	2017-10-31	7.79	7.87	7.79	7.79	6400
52	2017-11-01	7.87	8.05	7.87	8.05	11300
53	2017-11-02	8.13	8.13	8.13	8.13	1200
54	2017-11-03	8.22	8.22	8.22	8.22	300
55	2017-11-06	8.22	8.22	8.13	8.22	6300
56	2017-11-07	8.22	8.22	8.22	8.22	0
57	2017-11-08	8.31	8.39	8.31	8.31	9200
58	2017-11-09	8.57	8.57	8.57	8.57	1000
59	2017-11-10	8.57	8.65	8.57	8.65	725000
60	2017-11-13	8.65	8.65	8.65	8.65	5000
61	2017-11-14	8.65	8.65	8.65	8.65	0
62	2017-11-15	8.22	8.22	8.22	8.22	5000
63	2017-11-16	8.65	8.65	8.65	8.65	9000
64	2017-11-17	8.65	8.65	8.65	8.65	0
65	2017-11-20	8.48	8.57	8.48	8.57	5400
66	2017-11-21	8.48	8.65	8.48	8.65	8600
67	2017-11-22	8.48	8.48	8.48	8.48	12000
68	2017-11-23	8.57	8.57	8.57	8.57	5000
69	2017-11-24	8.65	8.65	8.65	8.65	17000
70	2017-11-27	8.65	8.65	8.65	8.65	1000
71	2017-11-28	8.65	8.65	8.65	8.65	38600
72	2017-11-29	8.22	8.22	8.22	8.22	100
73	2017-11-30	8.65	8.65	8.57	8.57	9100
74	2017-12-01	8.57	8.57	8.57	8.57	5000
75	2017-12-04	8.65	8.65	8.57	8.57	11800
76	2017-12-05	8.48	8.57	8.39	8.48	11700
77	2017-12-06	8.39	8.39	8.39	8.39	5000
78	2017-12-07	8.39	8.39	8.39	8.39	0
79	2017-12-08	8.65	8.65	8.65	8.65	10400
80	2017-12-11	8.65	8.65	8.65	8.65	0
81	2017-12-12	8.22	8.22	8.22	8.22	2000
82	2017-12-13	7.79	8.65	7.79	8.65	44000
83	2017-12-14	8.57	8.57	8.57	8.57	0
84	2017-12-15	8.57	8.57	8.57	8.57	2000
85	2017-12-18	8.57	8.57	8.48	8.48	24900
86	2017-12-19	8.57	8.57	8.57	8.57	5000
87	2017-12-20	8.57	8.57	8.57	8.57	2000
88	2017-12-21	8.57	8.57	8.57	8.57	0
89	2017-12-22	8.57	8.57	8.57	8.57	0
90	2017-12-25	8.22	8.22	8.22	8.22	12000
91	2017-12-26	8.22	8.22	8.22	8.22	5000
92	2017-12-27	8.22	8.22	7.79	7.96	21900
93	2017-12-28	7.27	8.57	6.75	8.57	37200
94	2017-12-29	7.27	7.27	7.27	7.27	5000
95	2018-01-02	8.31	8.31	8.05	8.31	1500
96	2018-01-03	8.57	8.65	8.57	8.65	49300
97	2018-01-04	8.57	8.65	8.57	8.65	30500
98	2018-01-05	8.57	8.65	8.39	8.65	45100
99	2018-01-08	8.57	8.65	8.57	8.65	30500
100	2018-01-09	8.65	8.65	8.31	8.31	20100
101	2018-01-10	8.65	8.65	8.65	8.65	2000
102	2018-01-11	8.65	8.65	8.22	8.22	40000
103	2018-01-12	8.65	8.65	8.31	8.39	38100
104	2018-01-15	8.57	8.57	8.57	8.57	0
