	time	open	high	low	close	volume
0	2017-02-21	6.51	0.0	0.0	0.0	0
1	2017-02-22	6.51	0.0	0.0	0.0	0
2	2017-02-23	5.43	5.43	5.43	5.43	4500
3	2017-02-24	5.43	5.43	5.43	5.43	0
4	2017-02-27	5.43	5.43	5.43	5.43	6541
5	2017-02-28	5.43	5.43	5.43	5.43	0
6	2017-03-01	5.43	5.43	5.43	5.43	0
7	2017-03-02	5.73	5.73	5.73	5.73	100
8	2017-03-03	5.73	5.73	5.73	5.73	0
9	2017-03-06	5.73	5.73	5.73	5.73	1700
10	2017-03-07	5.73	5.73	5.73	5.73	0
11	2017-03-08	5.73	5.73	5.73	5.73	0
12	2017-03-09	5.73	5.73	5.73	5.73	1100
13	2017-03-10	5.73	5.73	5.73	5.73	400
14	2017-03-13	5.91	5.91	5.91	5.91	1000
15	2017-03-14	5.73	5.91	5.73	5.91	4600
16	2017-03-15	5.73	5.73	5.73	5.73	1400
17	2017-03-16	5.85	5.91	5.73	5.73	3600
18	2017-03-17	5.91	5.91	5.91	5.91	1000
19	2017-03-20	5.85	5.91	5.85	5.91	9170
20	2017-03-21	5.91	5.91	5.91	5.91	400
21	2017-03-22	5.91	5.91	5.91	5.91	330
22	2017-03-23	5.91	5.91	5.91	5.91	2400
23	2017-03-24	5.91	5.91	5.91	5.91	1400
24	2017-03-27	5.91	5.91	5.12	5.91	3600
25	2017-03-28	5.91	5.91	5.91	5.91	0
26	2017-03-29	5.97	6.03	5.97	6.03	1700
27	2017-03-30	5.97	5.97	5.97	5.97	0
28	2017-03-31	6.09	6.09	6.09	6.09	600
29	2017-04-03	6.09	6.27	6.09	6.09	1500
30	2017-04-04	6.03	6.21	5.31	6.21	3400
31	2017-04-05	6.03	6.03	5.25	6.03	3900
32	2017-04-07	6.03	6.03	6.03	6.03	0
33	2017-04-10	6.03	6.03	6.03	6.03	0
34	2017-04-11	6.03	6.03	6.03	6.03	1200
35	2017-04-12	5.91	5.91	5.91	5.91	400
36	2017-04-13	5.91	5.91	5.91	5.91	1000
37	2017-04-14	5.91	5.91	5.91	5.91	0
38	2017-04-17	5.91	5.91	5.91	5.91	0
39	2017-04-18	5.91	5.91	5.91	5.91	0
40	2017-04-19	5.49	5.49	5.49	5.49	600
41	2017-04-20	5.49	5.49	5.49	5.49	0
42	2017-04-21	5.49	5.49	5.49	5.49	0
43	2017-04-24	5.49	5.49	5.49	5.49	0
44	2017-04-25	6.03	6.03	6.03	6.03	100
45	2017-04-26	6.03	6.03	6.03	6.03	0
46	2017-04-27	6.03	6.03	6.03	6.03	11
47	2017-04-28	6.03	6.03	6.03	6.03	0
48	2017-05-03	6.03	6.03	6.03	6.03	0
49	2017-05-04	6.03	6.03	6.03	6.03	0
50	2017-05-05	6.03	6.03	6.03	6.03	0
51	2017-05-08	6.03	6.03	6.03	6.03	0
52	2017-05-09	6.03	6.03	6.03	6.03	0
53	2017-05-10	5.79	5.79	5.12	5.73	1900
54	2017-05-11	5.73	5.73	5.73	5.73	100
55	2017-05-12	5.73	5.73	5.73	5.73	0
56	2017-05-15	4.94	4.94	4.88	4.88	1600
57	2017-05-16	4.82	5.55	4.82	5.55	2000
58	2017-05-17	5.55	5.55	5.55	5.55	100
59	2017-05-18	5.43	5.43	4.94	4.94	2100
60	2017-05-19	5.61	5.61	5.61	5.61	100
61	2017-05-22	5.12	5.79	5.12	5.79	600
62	2017-05-23	5.25	5.25	5.25	5.25	0
63	2017-05-24	5.19	5.61	5.12	5.61	200
64	2017-05-25	5.73	5.73	5.73	5.73	200
65	2017-05-26	5.73	5.73	5.73	5.73	0
66	2017-05-29	5.73	5.73	5.73	5.73	0
67	2017-05-30	5.73	5.73	5.73	5.73	0
68	2017-05-31	5.73	5.73	5.73	5.73	0
69	2017-06-01	5.73	5.73	5.73	5.73	0
70	2017-06-02	5.0	5.0	5.0	5.0	2000
71	2017-06-05	5.0	5.0	5.0	5.0	0
72	2017-06-06	5.0	5.0	5.0	5.0	0
73	2017-06-07	5.0	5.0	5.0	5.0	0
74	2017-06-08	5.67	5.67	5.67	5.67	100
75	2017-06-09	5.67	5.67	5.67	5.67	0
76	2017-06-12	6.45	6.45	5.12	5.12	1011
77	2017-06-13	5.37	5.37	5.37	5.37	100
78	2017-06-14	5.37	5.37	5.37	5.37	0
79	2017-06-15	5.37	5.37	5.37	5.37	0
80	2017-06-16	5.55	5.55	5.55	5.55	100
81	2017-06-19	5.55	5.55	5.55	5.55	0
82	2017-06-20	6.21	6.21	6.21	6.21	100
83	2017-06-21	6.21	6.21	6.21	6.21	0
84	2017-06-22	6.99	6.99	6.99	6.99	100
85	2017-06-23	6.99	6.99	6.99	6.99	0
86	2017-06-26	6.99	6.99	6.99	6.99	0
87	2017-06-27	6.99	6.99	6.99	6.99	0
88	2017-06-28	5.97	5.97	5.97	5.97	1100
89	2017-06-29	5.43	5.43	5.37	5.37	3100
90	2017-06-30	5.37	5.37	5.37	5.37	3000
91	2017-07-03	5.37	5.37	5.37	5.37	0
92	2017-07-04	5.37	5.37	5.37	5.37	0
93	2017-07-05	6.15	6.15	6.15	6.15	200
94	2017-07-06	6.15	6.15	6.15	6.15	0
95	2017-07-07	6.15	6.15	6.15	6.15	11
96	2017-07-10	6.15	6.15	6.15	6.15	0
97	2017-07-11	6.15	6.15	6.15	6.15	0
98	2017-07-12	6.15	6.15	6.15	6.15	0
99	2017-07-13	6.15	6.15	6.15	6.15	0
100	2017-07-14	6.15	6.15	6.15	6.15	0
101	2017-07-17	6.15	6.15	6.15	6.15	0
102	2017-07-18	6.15	6.15	6.15	6.15	0
103	2017-07-19	6.15	6.15	6.15	6.15	0
104	2017-07-20	6.15	6.15	6.15	6.15	0
105	2017-07-21	6.15	6.15	6.15	6.15	0
106	2017-07-24	6.15	6.15	6.15	6.15	0
107	2017-07-25	6.15	6.15	6.15	6.15	0
108	2017-07-26	6.15	6.15	6.15	6.15	0
