	time	open	high	low	close	volume
0	2015-09-24	5.91	0.0	0.0	0.0	0
1	2015-09-25	5.91	0.0	0.0	0.0	0
2	2015-09-28	5.91	0.0	0.0	0.0	0
3	2015-09-29	5.91	0.0	0.0	0.0	0
4	2015-09-30	5.91	0.0	0.0	0.0	0
5	2015-10-01	5.91	0.0	0.0	0.0	0
6	2015-10-02	5.91	0.0	0.0	0.0	0
7	2015-10-05	5.91	0.0	0.0	0.0	0
8	2015-10-06	5.91	0.0	0.0	0.0	0
9	2015-10-07	5.96	5.96	5.96	5.96	2000
10	2015-10-08	5.96	5.96	5.96	5.96	0
11	2015-10-09	5.96	5.96	5.96	5.96	0
12	2015-10-12	5.96	5.96	5.96	5.96	0
13	2015-10-13	5.96	5.96	5.96	5.96	0
14	2015-10-14	5.96	5.96	5.96	5.96	0
15	2015-10-15	5.96	5.96	5.96	5.96	0
16	2015-10-16	5.96	5.96	5.96	5.96	0
17	2015-10-19	5.24	5.24	5.24	5.24	100
18	2015-10-20	5.24	5.24	5.24	5.24	0
19	2015-10-21	5.24	5.24	5.24	5.24	0
20	2015-10-22	4.77	4.77	4.77	4.77	100
21	2015-10-23	4.77	4.77	4.77	4.77	0
22	2015-10-26	4.77	4.77	4.77	4.77	0
23	2015-10-27	4.77	4.77	4.77	4.77	0
24	2015-10-28	4.77	4.77	4.77	4.77	0
25	2015-10-29	4.77	4.77	4.77	4.77	0
26	2015-10-30	4.77	4.77	4.77	4.77	0
27	2015-11-02	4.77	4.77	4.77	4.77	0
28	2015-11-03	4.77	4.77	4.77	4.77	0
29	2015-11-04	4.77	4.77	4.77	4.77	0
30	2015-11-05	4.77	4.77	4.77	4.77	0
31	2015-11-06	4.77	4.77	4.77	4.77	0
32	2015-11-09	4.77	4.77	4.77	4.77	0
33	2015-11-10	4.77	4.77	4.77	4.77	0
34	2015-11-11	4.77	4.77	4.77	4.77	0
35	2015-11-12	4.77	4.77	4.77	4.77	0
36	2015-11-13	4.77	4.77	4.77	4.77	0
37	2015-11-16	4.77	4.77	4.77	4.77	0
38	2015-11-17	4.77	4.77	4.77	4.77	0
39	2015-11-18	4.77	4.77	4.77	4.77	0
40	2015-11-19	4.77	4.77	4.77	4.77	0
41	2015-11-20	4.77	4.77	4.77	4.77	0
42	2015-11-23	4.77	4.77	4.77	4.77	0
43	2015-11-24	4.77	4.77	4.77	4.77	0
44	2015-11-25	4.19	4.19	4.19	4.19	10000
45	2015-11-26	4.19	4.19	4.19	4.19	0
46	2015-11-27	4.19	4.19	4.19	4.19	0
47	2015-11-30	4.19	4.19	4.19	4.19	0
48	2015-12-01	4.19	4.19	4.19	4.19	0
49	2015-12-02	4.19	4.19	4.19	4.19	0
50	2015-12-03	4.19	4.19	4.19	4.19	0
51	2015-12-04	4.19	4.19	4.19	4.19	0
52	2015-12-07	4.19	4.19	4.19	4.19	0
53	2015-12-08	4.19	4.19	4.19	4.19	0
54	2015-12-09	4.19	4.19	4.19	4.19	0
55	2015-12-10	4.19	4.19	4.19	4.19	0
56	2015-12-11	4.19	4.19	4.19	4.19	0
57	2015-12-14	4.77	4.77	4.77	4.77	1000
58	2015-12-15	4.77	4.77	4.77	4.77	0
59	2015-12-16	4.77	4.77	4.77	4.77	0
60	2015-12-17	4.77	4.77	4.77	4.77	0
61	2015-12-18	4.77	4.77	4.77	4.77	0
62	2015-12-21	4.77	4.77	4.77	4.77	0
63	2015-12-22	4.77	4.77	4.77	4.77	0
64	2015-12-23	4.77	4.77	4.77	4.77	0
65	2015-12-24	4.77	4.77	4.77	4.77	0
66	2015-12-25	4.77	4.77	4.77	4.77	0
67	2015-12-28	4.77	4.77	4.77	4.77	0
68	2015-12-29	4.77	4.77	4.77	4.77	0
69	2015-12-30	4.77	4.77	4.77	4.77	0
70	2015-12-31	4.77	4.77	4.77	4.77	0
71	2016-01-04	4.77	4.77	4.77	4.77	0
72	2016-01-05	4.77	4.77	4.77	4.77	0
73	2016-01-06	4.77	4.77	4.77	4.77	0
74	2016-01-07	4.77	4.77	4.77	4.77	0
75	2016-01-08	4.77	4.77	4.77	4.77	0
76	2016-01-11	4.77	4.77	4.77	4.77	0
