	time	open	high	low	close	volume
0	2010-03-01	10.51	9.85	9.85	9.85	0
1	2010-03-02	10.51	9.85	9.85	9.85	0
2	2010-03-03	10.51	9.85	9.85	9.85	0
3	2010-03-04	10.51	9.85	9.85	9.85	0
4	2010-03-05	10.51	9.85	9.85	9.85	0
5	2010-03-08	10.51	9.85	9.85	9.85	0
6	2010-03-09	10.51	9.85	9.85	9.85	0
7	2010-03-10	10.51	9.85	9.85	9.85	0
8	2010-03-11	9.85	9.85	9.85	9.85	103
9	2010-03-12	9.85	9.85	9.85	9.85	0
10	2010-03-15	9.85	9.85	9.85	9.85	1579
11	2010-03-16	9.85	9.85	9.85	9.85	0
12	2010-03-17	9.85	9.85	9.85	9.85	0
13	2010-03-18	9.85	9.85	9.85	9.85	0
14	2010-03-19	9.85	9.85	9.85	9.85	0
15	2010-03-22	9.85	9.85	9.85	9.85	0
16	2010-03-23	9.85	9.85	9.85	9.85	0
17	2010-03-24	9.85	9.85	9.85	9.85	0
18	2010-03-26	9.85	9.85	9.85	9.85	0
19	2010-03-29	9.85	9.85	9.85	9.85	0
20	2010-03-30	9.85	0.0	0.0	0.0	0
21	2010-03-31	9.85	10.78	9.85	10.78	977
22	2010-04-01	9.31	9.31	9.31	9.31	10
23	2010-04-02	9.31	9.31	9.31	9.31	6501
24	2010-04-05	9.31	9.31	9.31	9.31	0
25	2010-04-06	9.8	9.8	9.8	9.8	2785
26	2010-04-07	9.8	9.8	9.8	9.8	0
27	2010-04-08	10.78	10.78	10.78	10.78	1866
28	2010-04-09	10.78	10.78	10.78	10.78	0
29	2010-04-12	11.52	11.52	11.52	11.52	1000
30	2010-04-13	11.76	11.76	11.76	11.76	85
31	2010-04-14	11.76	0.0	0.0	0.0	0
32	2010-04-15	11.76	11.76	11.76	11.76	0
33	2010-04-16	11.76	11.76	11.76	11.76	0
34	2010-04-19	11.76	11.76	11.76	11.76	0
35	2010-04-20	11.76	11.76	11.76	11.76	0
36	2010-04-21	11.76	11.76	11.76	11.76	0
37	2010-04-22	11.76	11.76	11.76	11.76	0
38	2010-04-26	11.76	11.76	11.76	11.76	0
39	2010-04-27	11.69	11.76	11.76	11.76	0
40	2010-04-28	11.69	11.76	11.76	11.76	0
41	2010-04-29	12.13	12.13	12.13	12.13	1000
42	2010-05-04	12.13	12.13	12.13	12.13	0
43	2010-05-05	11.27	11.27	11.27	11.27	1000
44	2010-05-06	11.27	11.27	11.27	11.27	0
45	2010-05-07	11.27	11.27	11.27	11.27	0
46	2010-05-10	11.27	11.27	11.27	11.27	0
47	2010-05-11	11.27	11.27	11.27	11.27	0
48	2010-05-12	11.27	11.27	11.27	11.27	0
49	2010-05-13	11.27	11.27	11.27	11.27	0
50	2010-05-14	11.27	11.27	11.27	11.27	0
51	2010-05-17	11.27	11.27	11.27	11.27	0
52	2010-05-18	11.27	0.0	0.0	0.0	0
53	2010-05-19	11.27	11.27	11.27	11.27	0
54	2010-05-20	11.27	11.27	11.27	11.27	0
55	2010-05-21	11.27	11.27	11.27	11.27	0
56	2010-05-25	11.27	11.27	11.27	11.27	0
57	2010-05-26	11.27	11.27	11.27	11.27	0
58	2010-05-27	11.27	11.27	11.27	11.27	0
59	2010-05-28	11.27	11.27	11.27	11.27	0
60	2010-05-31	11.27	11.27	11.27	11.27	0
61	2010-06-01	10.78	10.78	10.78	10.78	3000
62	2010-06-02	10.78	10.78	10.78	10.78	0
63	2010-06-03	10.78	10.78	10.78	10.78	0
64	2010-06-07	10.78	10.78	10.78	10.78	0
65	2010-06-08	10.78	10.78	10.78	10.78	0
66	2010-06-10	10.78	10.78	10.78	10.78	0
67	2010-06-14	10.78	10.78	10.78	10.78	0
68	2010-06-15	10.78	10.78	10.78	10.78	0
69	2010-06-16	10.78	0.0	0.0	0.0	0
70	2010-06-17	10.78	10.78	10.78	10.78	0
71	2010-06-18	10.78	10.78	10.78	10.78	0
72	2010-06-21	10.78	10.78	10.78	10.78	0
73	2010-06-22	10.78	10.78	10.78	10.78	0
74	2010-06-24	10.78	10.78	10.78	10.78	0
75	2010-06-25	10.78	10.78	10.78	10.78	0
76	2010-06-28	10.78	10.78	10.78	10.78	0
77	2010-06-29	10.78	10.78	10.78	10.78	0
78	2010-06-30	10.78	10.78	10.78	10.78	0
79	2010-07-01	10.78	10.78	10.78	10.78	0
80	2010-07-02	10.78	10.78	10.78	10.78	0
81	2010-07-05	11.03	11.39	11.03	11.39	10000
82	2010-07-06	11.88	12.32	11.88	12.32	3647
83	2010-07-07	11.91	11.91	11.91	12.32	3506
84	2010-07-08	10.73	10.73	10.73	10.73	417
85	2010-07-09	9.68	9.68	9.68	9.68	28
86	2010-07-12	9.68	9.68	9.68	9.68	0
87	2010-07-13	10.63	10.63	10.63	10.63	2610
88	2010-07-14	10.63	10.63	10.63	10.63	0
89	2010-07-15	11.52	11.52	11.52	11.52	87
90	2010-07-19	11.64	11.64	11.64	11.64	0
91	2010-07-20	11.64	11.64	11.64	11.64	0
92	2010-07-21	11.64	11.64	11.64	11.64	0
93	2010-07-22	11.64	11.64	11.64	11.64	0
94	2010-07-23	11.39	11.39	11.39	11.39	100
95	2010-07-26	11.39	11.39	11.39	11.39	0
96	2010-07-27	11.39	11.39	11.39	11.39	0
97	2010-07-28	11.39	11.39	11.39	11.39	0
98	2010-07-29	10.29	10.29	10.29	10.29	400
99	2010-07-30	10.29	0.0	0.0	0.0	0
100	2010-08-02	9.34	0.0	0.0	0.0	0
101	2010-08-04	10.27	10.27	10.27	10.27	0
102	2010-08-05	10.27	0.0	0.0	0.0	0
103	2010-08-06	10.27	10.27	10.27	10.27	0
104	2010-08-09	10.27	10.27	10.27	10.27	1900
105	2010-08-10	10.27	10.27	10.27	10.27	0
106	2010-08-11	10.27	10.27	10.27	10.27	0
107	2010-08-12	10.27	10.27	10.27	10.27	0
108	2010-08-13	10.27	10.27	10.27	10.27	0
109	2010-08-16	10.27	10.27	10.27	10.27	0
110	2010-08-17	10.27	10.27	10.27	10.27	0
111	2010-08-18	10.27	10.27	10.27	10.27	0
112	2010-08-19	10.27	10.27	10.27	10.27	0
113	2010-08-20	10.27	10.27	10.27	10.27	500
114	2010-08-23	10.29	10.54	10.27	10.54	5200
115	2010-08-25	9.56	9.56	9.56	9.56	2000
116	2010-08-26	9.43	9.43	9.43	9.43	2100
117	2010-08-27	9.43	9.43	9.43	9.43	0
118	2010-08-30	10.36	10.36	10.36	10.36	2000
119	2010-08-31	10.36	10.36	10.36	10.36	0
120	2010-09-01	10.36	11.27	9.36	9.36	7400
121	2010-09-06	10.63	9.36	9.36	9.36	0
122	2010-09-07	10.63	9.36	9.36	9.36	0
123	2010-09-08	10.63	9.36	9.36	9.36	0
124	2010-09-09	10.63	9.36	9.36	9.36	0
125	2010-09-10	10.63	9.36	9.36	9.36	0
126	2010-09-13	10.63	9.36	9.36	9.36	0
127	2010-09-14	10.63	9.36	9.36	9.36	0
128	2010-09-15	10.63	9.36	9.36	9.36	0
129	2010-09-16	9.8	9.8	9.8	9.8	3100
130	2010-09-17	9.8	9.8	9.8	9.8	0
131	2010-09-20	9.8	9.8	9.8	9.8	0
132	2010-09-21	9.8	9.8	9.8	9.8	0
133	2010-09-22	9.8	9.8	9.8	9.8	0
134	2010-09-23	9.8	9.8	9.8	9.8	0
135	2010-09-24	9.8	9.8	9.8	9.8	0
136	2010-09-27	9.8	9.8	9.8	9.8	0
137	2010-09-28	9.8	9.8	9.8	9.8	0
138	2010-09-29	9.8	9.8	9.8	9.8	0
139	2010-09-30	9.8	9.8	9.8	9.8	0
140	2010-10-01	9.8	9.8	9.8	9.8	0
141	2010-10-04	9.8	9.8	9.8	9.8	0
142	2010-10-05	9.8	9.8	9.8	9.8	0
143	2010-10-06	9.8	9.8	9.8	9.8	0
144	2010-10-07	9.8	9.8	9.8	9.8	0
145	2010-10-08	9.8	9.8	9.8	9.8	0
146	2010-10-11	9.8	9.8	9.8	9.8	0
147	2010-10-12	9.8	9.8	9.8	9.8	0
148	2010-10-13	9.8	9.8	9.8	9.8	0
149	2010-10-14	9.8	9.8	9.8	9.8	0
150	2010-10-15	9.8	9.8	9.8	9.8	0
151	2010-10-18	9.8	9.8	9.8	9.8	0
